M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97	M_98	M_99	M_100	M_101	M_102	M_103	M_104	M_105
80	70	55	73	54	62	72	64	91	84	77	79	66	72	86	84	90	87	67	67	68	61	58	63	70	69	61	72	74	55	75	67	69	63	83	69	62	72	70	58	87	84	89	69	71	67	63	72	59	70	71	71	76	72	73	66	72	71	74	79	65	80	64	68	67	63	71	81	66	66	77	68	71	57	65	67	68	71	79	53	65	62	61	74	64	55	65	69	85	80	76	76	74	61	105	116	96	77	68	74	82	56	73	71	65
73	68	55	72	53	62	69	64	91	86	81	78	66	72	86	84	90	87	64	67	68	61	58	63	70	69	59	73	74	57	75	60	70	63	83	69	57	73	70	56	87	84	89	70	68	67	67	72	59	66	71	71	76	76	72	66	72	71	74	79	65	77	63	68	59	61	72	81	66	63	74	55	71	61	65	72	68	71	78	52	65	60	61	74	67	55	65	69	85	76	76	76	63	61	105	116	95	77	68	73	86	56	72	79	67
78	70	52	72	57	62	72	61	91	84	81	80	67	72	78	82	89	87	59	66	68	63	58	63	70	69	61	73	74	57	74	63	67	52	83	69	57	75	70	56	87	84	89	70	70	67	67	72	59	66	71	75	76	76	72	66	67	71	74	78	65	77	63	69	67	63	71	78	66	63	76	68	71	57	65	73	68	71	79	55	65	59	61	74	66	55	65	69	85	80	76	76	73	61	105	116	95	77	68	74	82	56	72	80	65
75	70	55	72	55	62	67	64	91	86	81	78	66	73	86	78	89	87	62	67	68	61	58	56	71	69	61	73	74	57	74	63	68	63	83	67	57	73	70	57	87	84	89	70	70	67	67	71	58	70	71	71	76	76	72	66	72	71	74	79	65	78	62	70	64	63	72	81	66	63	79	56	71	57	64	69	68	71	79	53	65	61	62	74	66	54	65	69	85	80	76	77	73	61	103	116	95	77	68	73	82	56	72	72	65
78	68	56	72	56	71	67	64	91	86	81	78	66	73	86	82	91	87	67	66	68	62	58	63	69	69	60	73	74	55	74	63	71	63	83	67	57	75	70	58	85	84	89	70	71	67	67	72	59	66	72	71	76	76	72	66	72	71	74	79	65	80	63	68	64	63	71	81	66	66	76	68	71	57	65	73	67	71	78	53	65	58	62	74	67	55	65	69	83	80	76	76	73	62	105	116	96	77	68	73	86	56	73	79	65
80	70	55	72	58	67	74	64	91	86	81	80	67	73	86	82	90	87	67	71	68	63	51	63	70	69	61	70	74	57	74	69	72	63	83	67	62	72	64	65	79	84	89	70	71	67	67	72	59	63	74	71	76	87	73	66	66	71	74	77	65	78	63	68	68	61	69	81	66	63	76	68	71	61	65	67	68	71	82	58	65	62	67	74	67	55	62	69	85	80	76	76	74	62	103	116	96	77	67	73	97	56	73	79	65
80	70	55	73	56	67	75	64	91	86	81	81	66	72	86	78	89	87	64	62	68	61	58	63	71	69	61	72	74	55	75	63	68	63	83	69	60	75	70	56	87	84	85	70	72	67	67	72	59	70	71	71	76	74	72	66	72	71	74	79	63	76	63	68	68	63	67	81	66	63	77	68	71	61	65	70	68	71	78	53	65	60	61	74	66	53	65	66	87	79	76	76	73	62	105	116	95	77	68	74	82	56	73	79	67
73	70	55	72	51	67	67	64	91	84	81	78	66	72	86	84	89	87	62	67	68	63	58	59	70	69	60	70	74	56	74	71	69	63	83	67	58	73	65	57	87	84	89	70	71	67	67	72	59	70	71	71	76	74	73	66	72	71	74	79	65	80	63	68	68	63	71	78	66	66	76	68	71	57	63	73	68	71	79	56	65	56	62	74	64	54	65	66	85	74	76	76	73	61	105	118	96	77	65	75	82	56	72	79	65
78	68	55	73	57	67	67	64	91	86	81	78	67	73	75	82	89	87	64	66	68	63	53	63	71	69	61	73	74	57	74	63	68	63	83	69	61	73	70	56	87	84	89	70	71	67	67	72	59	66	72	71	76	72	72	66	72	71	74	77	65	78	64	68	60	63	72	77	66	63	77	68	71	61	65	72	68	71	79	55	65	51	67	74	67	53	66	69	85	80	76	76	73	61	103	116	96	77	68	74	86	56	73	80	65
78	68	55	73	56	62	72	64	91	86	81	80	66	73	80	84	89	87	64	66	65	62	58	63	71	69	60	73	74	57	75	63	68	63	83	69	57	75	70	57	87	84	89	70	71	67	63	72	59	70	71	71	76	76	72	66	72	71	74	79	65	80	63	68	69	63	72	81	66	63	77	68	70	61	65	62	68	71	78	55	65	60	62	74	65	53	65	69	85	80	76	77	74	61	105	116	95	77	68	73	86	56	72	79	65
80	70	55	72	56	67	72	64	91	86	81	78	66	72	86	79	89	87	67	67	68	63	56	63	70	69	61	73	74	57	75	66	72	63	83	67	57	72	70	57	85	84	89	70	69	67	67	72	59	66	66	71	78	76	72	66	72	71	74	79	65	80	64	68	67	63	72	81	66	65	78	68	71	61	63	68	68	68	79	53	65	59	62	74	66	55	65	66	85	80	76	76	74	61	105	116	95	77	65	73	86	56	73	79	65
78	71	55	73	57	62	67	64	91	86	81	80	66	73	86	82	91	87	63	67	68	61	58	56	70	69	61	73	74	57	75	66	68	63	83	69	61	73	70	56	87	84	89	70	70	67	63	72	59	66	71	75	76	72	72	66	72	71	74	78	65	80	63	65	67	61	72	81	66	65	77	65	71	61	65	73	68	71	80	56	65	60	61	74	64	54	65	69	85	73	76	76	73	61	103	116	95	77	65	74	86	56	70	79	67
78	68	55	60	57	67	67	64	91	84	76	80	67	73	86	82	91	87	67	67	68	62	58	63	69	69	61	71	74	49	75	63	67	59	81	69	62	75	70	56	87	84	89	70	71	67	63	72	59	70	71	71	76	72	72	66	72	71	74	79	65	80	63	68	68	63	70	80	66	63	76	68	70	61	65	73	68	71	79	53	65	59	62	74	64	54	68	69	87	76	76	76	73	62	105	116	97	77	69	73	86	56	73	80	67
78	70	55	72	56	67	72	64	91	84	81	80	66	72	86	82	91	87	64	67	68	62	58	63	71	69	61	73	72	55	74	63	70	63	83	69	57	72	70	56	87	84	89	70	71	67	67	72	59	70	71	75	80	76	73	66	72	71	74	79	65	80	63	68	64	61	67	81	66	66	77	68	71	61	65	71	65	71	78	56	65	60	58	74	64	52	65	69	87	80	76	76	73	61	103	116	96	75	68	74	86	56	72	79	65
78	68	55	72	56	67	67	62	91	86	81	75	67	73	86	84	89	87	67	67	68	62	58	63	71	69	61	71	74	57	74	63	69	63	81	69	57	72	70	58	87	84	89	70	71	67	67	71	59	65	74	82	76	76	72	66	72	64	74	79	63	80	63	69	59	61	72	81	66	63	76	68	71	61	63	68	68	71	76	53	65	51	61	68	64	49	66	69	85	78	76	76	74	61	103	116	96	77	68	74	86	56	72	79	65
74	70	55	72	55	62	67	64	91	86	81	78	66	73	78	82	91	87	67	66	68	63	58	63	69	69	59	70	74	53	74	63	70	63	83	69	58	73	70	56	87	84	89	70	69	67	67	72	59	66	71	71	76	74	72	66	72	71	74	78	65	80	63	68	67	63	72	81	66	63	79	68	71	57	63	69	68	71	79	53	65	59	58	74	64	55	63	69	87	80	76	76	74	62	103	116	95	77	67	74	86	56	72	79	65
78	70	55	72	55	62	67	64	91	86	76	78	67	73	86	82	91	87	64	66	68	62	58	51	71	69	60	71	74	55	74	61	69	63	83	70	59	72	70	57	87	84	89	70	70	66	63	72	59	66	71	75	76	74	72	66	72	71	74	79	65	77	64	68	67	61	72	81	66	63	76	68	71	61	64	73	71	71	77	53	65	62	62	74	64	49	65	69	85	80	76	76	73	61	103	116	96	77	68	74	86	56	72	80	65
74	68	55	72	56	62	72	64	91	86	81	78	66	72	86	82	90	87	67	67	68	61	58	56	71	69	61	73	74	57	74	60	72	63	83	69	60	72	70	55	87	84	89	70	71	67	67	72	59	70	71	71	76	76	72	66	72	71	74	79	65	80	63	68	67	63	71	81	66	63	77	66	71	57	63	73	68	71	78	53	65	60	61	74	64	45	65	69	85	73	75	76	74	61	105	118	95	77	68	74	86	56	73	79	65
73	68	55	72	53	64	72	64	91	84	81	78	67	73	86	82	91	87	67	67	68	62	58	59	70	69	61	73	74	55	74	63	67	63	83	69	58	72	70	56	87	84	89	70	71	67	67	71	59	66	69	67	76	74	73	66	72	71	74	79	65	77	63	68	67	63	72	78	66	66	79	68	71	61	65	71	68	71	80	54	65	60	61	74	64	55	65	69	87	80	76	76	74	61	103	116	95	77	67	73	86	56	72	79	65
