M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
58	53	63	53	59	64	63	53	55	54	46	51	60	72	55	49	51	48	47	49	58	62	59	59	59	74	63	61	43	44	66	57	43	53	77	57	64	68	57	42	56	43	54	54	47	52	49	54	70	55	54	55	46	39	48	46	70	71	53	60	78	39	70	77	66	59	48	83	65	69	45	53	44	68	63	55	71	56	54	59	52	57	79	48	38	43	62	44	33	50	49	57	53	67	54	73	50
56	50	66	49	51	72	52	51	54	56	48	56	63	67	51	49	49	43	44	49	56	59	60	55	67	76	62	60	44	47	64	54	41	47	81	52	63	71	58	43	57	46	59	52	47	47	39	53	69	53	52	53	46	39	47	46	69	70	53	60	84	40	67	74	58	56	47	78	60	71	43	49	45	68	59	59	62	54	50	57	53	62	75	42	38	42	61	43	43	48	45	56	50	75	50	73	54
55	52	65	49	56	66	60	53	53	56	49	58	54	64	49	46	50	49	45	46	58	59	58	55	66	76	62	57	43	51	60	52	41	45	82	56	53	70	50	44	52	46	58	53	47	51	44	53	69	54	51	53	50	38	47	46	69	68	53	67	77	41	65	74	65	50	47	77	56	68	50	52	43	68	59	57	67	54	53	57	52	59	75	48	33	42	63	42	35	49	43	53	52	79	54	77	54
55	53	57	52	55	76	61	49	53	55	51	53	54	64	48	48	52	48	46	50	56	58	60	53	66	70	61	56	43	49	64	57	41	45	77	55	62	70	57	35	59	46	55	55	47	47	42	54	70	53	52	54	46	39	53	44	61	66	53	64	76	41	71	72	65	56	47	72	62	71	50	52	41	67	60	60	60	50	54	56	52	64	75	48	36	44	62	40	39	58	49	57	54	81	52	74	54
55	52	63	52	56	71	59	50	55	55	56	55	60	64	48	48	52	54	46	53	64	50	57	55	67	73	60	58	50	46	63	57	39	53	79	51	55	67	57	43	57	40	57	54	47	51	46	52	62	52	52	53	51	38	46	46	69	66	53	69	76	40	67	67	62	59	43	78	63	71	44	52	41	67	60	62	59	50	55	60	52	63	84	47	36	44	60	41	43	44	44	55	50	81	53	73	54
55	52	64	49	57	84	56	53	55	56	49	52	56	64	55	52	52	39	50	51	63	60	54	53	66	79	61	58	41	50	63	52	39	52	85	50	62	71	58	42	49	44	54	53	47	48	44	53	68	50	52	51	48	38	53	44	67	64	47	63	87	42	69	76	65	60	43	80	58	67	39	49	39	67	60	59	60	55	58	47	55	63	75	45	35	44	62	43	41	44	45	55	52	78	51	74	54
58	52	68	52	58	59	61	50	54	55	50	55	58	64	55	48	53	41	56	52	59	59	57	58	67	73	63	57	45	47	62	51	41	53	76	52	61	72	50	45	49	47	60	55	52	48	49	52	71	52	47	53	46	39	46	44	67	71	53	63	89	40	66	78	65	55	44	81	59	67	43	52	44	71	63	61	57	55	54	58	54	56	77	49	32	44	63	44	35	58	44	55	54	76	52	68	50
54	58	64	52	51	76	63	51	55	58	50	56	46	65	53	50	52	48	49	47	59	58	59	55	62	79	65	64	42	50	67	57	38	53	84	47	61	69	57	43	54	47	57	55	43	51	48	52	61	52	50	52	49	47	47	45	70	65	53	62	70	39	70	77	61	60	48	79	65	71	43	56	39	67	63	60	65	48	52	55	50	65	80	46	32	44	62	41	41	50	45	56	56	70	53	72	55
56	56	65	51	58	71	60	50	55	54	54	55	60	65	54	48	52	48	48	45	63	62	57	53	64	72	62	60	42	47	58	57	41	54	79	52	59	68	59	41	53	45	59	55	52	51	48	51	69	51	50	54	44	38	52	47	67	71	53	65	78	40	70	78	65	60	43	79	62	69	49	52	40	67	60	53	59	53	52	54	50	63	86	48	35	44	63	38	43	48	44	57	52	78	57	72	59
59	51	66	51	60	73	63	55	59	56	57	54	58	68	58	45	54	45	55	50	58	62	60	58	67	71	59	61	50	44	61	57	43	49	83	48	62	72	50	45	57	44	58	53	50	50	46	59	71	53	54	53	45	39	49	45	61	71	53	62	78	41	70	77	66	58	48	81	61	69	44	51	36	71	63	60	58	50	54	58	52	67	77	47	36	43	62	44	40	50	48	58	56	78	53	69	54
55	49	58	51	59	63	67	51	56	56	46	54	59	65	55	47	52	49	46	50	58	59	58	53	67	76	60	55	44	49	61	57	42	51	80	51	55	71	50	41	55	43	57	55	45	49	52	53	69	46	40	53	44	38	47	45	65	70	49	71	85	40	70	73	61	60	47	80	50	72	48	52	45	67	56	60	62	44	54	58	52	55	77	44	32	44	63	43	36	57	45	55	53	66	54	78	54
58	53	63	50	50	74	61	49	56	56	57	56	61	71	58	50	51	47	46	49	61	59	59	55	67	75	62	61	48	49	59	47	44	57	81	52	64	72	50	44	55	47	58	53	46	52	48	59	70	43	47	53	46	39	55	47	70	69	53	72	87	41	65	74	60	58	48	76	65	69	50	55	36	71	63	60	65	54	52	58	52	63	91	49	38	43	62	42	41	51	47	57	56	73	54	72	57
