M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
18	13	19	16	16	15	20	15	17	18	5	10	20	21	17	17	15	21	24	22	19	20	16	14	12	13	14	13	24	20	22	21	19	16	20	25	19	15	16	15	14	12	20	15	11	15	19	10	16	21	20	11	15	12	9	16	19	12	18	19	18	15	24	20	12	21	18	18	22	16	17	11	21	15	11	18	16	17	16	17	20	19	20	27	16	17	19	18	17	20	20	14	8	8	19	17	12
17	9	19	15	8	17	13	14	16	18	6	19	18	20	12	16	11	14	23	20	16	19	15	12	16	13	13	13	27	20	21	21	18	12	20	24	18	17	15	14	13	12	20	16	10	14	13	9	15	19	19	10	12	8	8	15	16	11	17	20	16	20	21	16	7	20	17	16	21	16	16	8	20	14	8	19	15	16	11	15	19	23	19	25	16	17	19	17	20	18	19	14	7	16	18	17	16
17	12	18	15	14	14	20	14	16	16	9	20	17	18	12	15	14	19	21	19	17	19	15	12	16	9	13	11	24	23	21	20	18	10	20	24	16	17	14	15	11	12	20	17	10	15	17	9	15	20	18	10	17	11	8	15	15	10	17	20	16	18	19	19	11	13	17	14	19	14	20	10	20	14	12	17	15	16	15	15	19	21	19	32	15	17	19	17	18	19	18	13	11	17	19	16	16
17	13	12	16	13	16	19	9	16	17	9	18	16	19	9	15	14	18	22	21	16	18	15	11	16	10	15	11	24	22	20	21	19	8	18	23	18	16	15	17	14	12	19	18	10	13	15	10	16	19	17	10	15	11	7	16	11	10	17	22	13	18	24	18	11	19	17	13	20	16	20	10	19	14	10	19	14	15	16	13	19	24	18	31	15	17	19	15	20	19	20	15	11	17	18	16	15
17	12	14	15	14	16	18	12	16	17	9	18	17	16	9	13	14	22	23	25	21	13	14	12	16	7	9	11	26	18	20	21	14	17	18	23	17	12	15	14	13	9	19	18	10	15	19	8	11	19	17	11	18	11	7	15	16	13	17	23	13	16	23	14	7	19	18	17	17	13	16	10	19	14	10	17	14	14	16	17	19	23	18	30	17	17	16	16	20	15	17	14	7	17	18	15	17
17	12	19	15	14	20	15	14	16	18	9	14	16	20	16	17	14	11	24	21	19	19	11	6	16	12	10	12	22	22	21	20	17	16	20	22	18	17	15	15	9	12	20	17	10	15	19	9	15	21	19	10	15	11	8	10	17	6	10	21	18	17	24	19	11	21	18	15	21	16	14	8	16	14	10	20	13	16	17	6	19	24	19	29	17	17	19	17	20	15	19	14	9	16	18	17	16
18	12	20	17	15	10	18	14	16	17	10	18	17	19	17	15	13	16	26	24	17	18	14	13	17	11	12	11	25	23	20	19	17	17	18	25	18	18	14	16	11	13	23	19	11	14	21	8	17	18	14	10	15	11	7	14	15	12	17	20	18	13	20	20	11	21	19	16	22	16	16	10	21	15	11	21	13	17	14	13	20	19	18	32	15	18	20	18	14	18	17	13	12	16	19	13	13
16	12	17	14	10	21	19	15	17	19	10	18	9	19	14	17	15	21	24	17	18	17	16	12	13	13	14	14	25	20	21	21	12	16	21	15	18	12	16	14	11	13	21	18	8	15	18	8	8	19	16	9	16	12	7	15	16	9	17	22	10	15	24	20	10	21	18	18	22	15	16	13	17	14	11	20	16	11	16	13	20	22	12	29	13	18	15	16	20	20	18	14	13	11	20	17	16
17	13	18	15	15	16	19	14	17	16	9	18	17	19	15	15	14	19	24	13	19	20	14	11	14	9	13	13	25	20	20	21	17	15	19	25	12	16	15	15	12	12	20	17	10	15	19	7	15	17	18	10	15	10	7	17	15	12	17	21	18	15	24	20	11	19	17	14	20	15	20	10	19	14	10	11	14	15	16	14	20	24	18	31	16	17	20	14	20	18	18	14	11	16	20	16	17
18	10	18	16	17	18	20	15	18	18	10	11	20	21	17	10	14	15	25	21	18	20	16	13	17	11	13	13	28	20	21	21	19	15	21	18	19	18	10	16	15	13	21	17	11	14	18	10	16	20	20	11	13	12	6	13	9	12	18	21	18	18	24	21	12	16	18	18	19	11	19	11	14	15	11	18	14	14	16	16	17	24	19	28	16	18	19	18	20	20	19	16	12	17	18	17	16
