M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87
2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000002219	2.81	2.81	2.81	2.81	2.80999999999787	2.80999999999787	2.8099999999975	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.8099999999975	2.8099999999975	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999946	2.81	2.81	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	212.029119447804	2.81	2.81	2.81	2.81	2.8099999999975	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.80999999999787	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000001531	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81000000000041	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999968	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	177.827701889907	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81000000000041	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.80999999999933	2.81	2.81	2.81	2.8099999999975	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999993	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	62.3195322137128	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787
2.81	163.5195547429	2.80999999999787	2.80999999999787	2.81	2.81	2.8099999999946	2.80999999999787	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81000000002219	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.80999999999993	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999944	2.8099999999975	2.81	129.600565275133	2.81	218.555509771996	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.8099999999975	2.81000000000003	2.81	2.80999999999993	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999797	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000001531	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.80999999999926	2.81	2.81	2.81	2.81	2.8099999999975	2.80999999999952	2.80999999999787	2.80999999999787	2.81	2.80999999999787	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999979	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	124.848796411326	2.81	2.81	2.8099999999946	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81
2.8099999999975	2.80999999999912	2.80999999999787	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	80.8846521692165	2.81	2.81	2.81	2.8099999999975	2.81	150.332898384714	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999933	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000000191	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	78.9718130129016	2.8099999999975	2.81	2.81	2.81000000002219	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975
2.81	2.81	2.8099999999975	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999978	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	59.9017389411415	2.80999999999775	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81000000002284	2.80999999999787	2.81	2.81	2.81000000002219	2.81	2.81	2.81	2.8099999999975	2.81	47.1966127322588
2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81000000002219	2.81	2.81	2.8099999999975	2.81	227.878730019272	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.81	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.80999999999787	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81000000002219	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.81	2.81	161.420042211964	2.80999999999926	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.8099999999975	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999912	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000000191	2.80999999999787	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.8099999999975	2.8099999999946	2.8099999999975	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.8099999999975	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999787	2.8099999999975	194.479292401991	2.81	2.81	2.81	2.81	2.81000000000041	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	182.395783264435	2.81	2.80999999999933	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81000000014949	2.81	2.81	2.81	2.8099999999946	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975
