M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87
62	67	72	65	72	71	70	65	65	67	70	50	71	67	59	87	70	57	60	51	67	81	75	68	96	79	64	54	63	68	61	64	77	90	56	67	72	69	49	56	62	61	62	70	62	65	53	73	59	60	92	88	61	72	76	51	67	76	82	75	59	87	61	73	50	72	66	66	57	56	64	67	58	59	72	80	48	58	61	53	64	54	73	65	66	85	61
64	67	72	67	69	71	77	65	71	67	70	50	71	68	69	75	71	58	60	50	67	81	76	67	95	79	62	54	64	69	61	67	77	92	58	66	72	70	50	62	61	55	62	68	73	65	53	73	58	60	93	91	65	74	70	51	65	80	84	72	60	87	61	71	48	66	71	66	59	57	64	67	57	58	73	80	48	58	60	49	66	60	73	64	66	85	57
64	67	79	67	71	71	78	65	65	65	70	50	71	67	69	74	71	61	60	51	67	81	76	69	95	79	64	53	66	69	60	64	77	92	58	67	69	69	49	56	62	55	62	68	62	66	55	60	58	60	93	85	61	72	76	51	71	77	84	75	60	87	63	70	48	66	71	66	57	56	64	69	57	59	73	85	41	58	60	50	65	60	78	64	66	83	58
65	72	72	56	72	72	70	65	70	67	70	50	70	68	67	75	70	57	57	50	67	81	75	68	95	79	64	53	63	69	60	64	70	92	57	66	69	70	50	56	62	61	62	68	69	73	55	60	62	60	88	85	61	72	70	51	71	80	82	73	62	87	61	71	48	66	71	64	57	56	63	71	58	57	73	80	48	58	60	49	65	54	71	64	66	83	57
64	67	79	67	72	72	73	65	65	67	70	50	71	68	67	74	73	58	57	50	67	77	76	67	95	79	62	53	64	69	69	64	70	91	55	66	69	69	50	56	62	61	62	68	63	65	53	73	58	60	93	88	65	74	76	48	67	76	82	73	60	88	59	71	48	66	71	64	57	57	63	67	57	59	60	80	46	58	60	53	65	60	71	64	66	85	57
64	70	72	56	73	72	77	65	65	67	70	50	69	68	69	75	71	58	57	51	67	81	75	67	97	79	63	53	65	69	61	64	77	92	51	65	72	68	50	62	63	56	62	68	62	65	53	73	58	66	87	88	61	72	76	52	66	80	84	75	60	87	60	73	48	66	71	66	57	56	63	67	62	57	72	80	48	58	60	49	65	60	73	64	66	85	55
64	67	80	61	69	72	78	65	65	67	70	50	70	68	63	74	71	57	57	49	67	77	76	68	95	79	62	53	64	69	61	64	77	92	58	67	69	69	50	62	62	63	60	68	72	71	55	60	58	60	93	88	61	70	70	51	66	80	82	73	59	87	59	73	48	72	77	66	57	57	64	67	57	58	73	80	45	57	60	49	63	54	73	64	66	89	57
62	67	72	65	73	71	75	65	66	67	70	64	70	67	67	74	71	57	60	50	67	81	76	69	92	79	64	54	68	69	60	68	76	97	58	67	69	70	50	62	64	52	60	68	62	65	55	60	59	60	93	88	61	72	76	51	65	73	82	76	62	89	59	73	46	66	71	66	57	57	64	67	57	56	75	84	48	57	61	49	64	59	71	64	64	85	57
61	67	69	59	69	70	77	65	65	67	70	50	69	67	69	74	71	58	57	50	67	81	76	69	98	79	68	53	64	68	60	68	77	92	58	67	72	69	49	62	62	55	62	68	62	65	55	64	58	61	93	85	61	72	73	50	71	78	82	75	59	89	61	71	48	66	71	66	57	57	64	69	57	57	72	80	48	58	64	49	64	54	76	64	66	85	57
64	67	72	70	69	71	77	65	71	67	70	50	70	67	67	74	71	57	60	51	67	81	74	68	96	79	63	54	64	69	61	67	76	92	56	67	72	69	50	62	62	63	62	69	69	65	53	60	58	60	93	85	61	74	76	51	65	80	82	75	59	89	61	68	48	68	71	66	56	57	63	71	57	58	73	80	48	58	61	48	65	54	76	64	66	89	55
71	67	80	67	77	72	77	65	71	67	70	50	67	67	67	76	71	58	60	50	67	81	76	67	95	79	62	51	63	68	60	68	76	92	58	65	69	70	50	62	62	61	62	68	62	68	53	61	59	60	93	85	61	72	76	51	68	80	82	75	60	89	61	71	48	68	71	66	57	57	64	71	57	57	74	80	48	58	60	49	65	60	75	65	66	85	57
62	67	72	56	77	72	77	65	65	66	67	50	70	67	63	80	71	58	60	50	67	77	76	69	95	79	63	54	64	71	60	59	77	92	58	66	69	69	50	62	64	61	60	68	62	65	53	73	58	60	92	85	65	72	76	50	67	80	84	76	59	89	61	71	48	66	71	66	57	57	64	67	57	58	75	80	45	58	60	53	64	56	73	64	66	83	61
