M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999912	166.793550296492	2.81	2.81	2.81	2.81	2.81	2.81000000000048	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999993	2.81	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	115.711844309172	2.80999999999787	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81
2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.80999999999993	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999946	2.8099999999975	2.81	2.81	2.81	2.81	107.738461633379	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.80999999999787	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.81	2.81000000002219	2.8099999999975	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999993	2.81	2.81	2.81	2.80999999897054	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.81	2.81	2.81	2.8099999999946	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	172.157900016171	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.8099999999946	2.80999999999787	2.81	2.80999999979649	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999989	2.81	2.80999999999989
2.81	163.5195547429	2.80999999999787	2.81	2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81	2.81000000002219	2.81	2.81	2.81000000001531	2.81	2.81	2.80999999999787	2.8099999999975	2.8099999999975	2.80999999999787	2.81	2.81	2.81	2.81000000000041	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8100000000302	2.80999999999933	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999946	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975
2.8099999999975	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.80999999999912	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81000000000155	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.81	178.516028472955	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999946	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999989
2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.80999999999787	2.81	2.80999999999984	2.81	2.81	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.80999999999821	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.80999999999993	2.80999999999787	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999989	163.21569089538	2.81
2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999228	2.81	2.81	2.8099999999975	2.81000000000155	2.80999999999787	2.81	2.81	2.80999999999787	2.81	2.81	2.81	111.613212016043	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999933	2.81	2.8099999999975	2.81	2.81	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999228	2.8099999999946	2.80999999999787	2.81	2.81	2.81	2.81	2.81	107.404907971005	2.81	2.8099999999975	2.80999999999989	2.81	2.80999999999989
2.81	2.81	2.80999999999787	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.80999999999957	2.81	2.80999999999228	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	119.561505894627	2.81	2.81	2.81	2.80999999999926	2.81	2.8099999999975	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.80999999999933	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.8099999999975	2.81	2.80999999999984	2.8099999999946	2.8099999999975	2.81	2.81	2.81	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81
2.80999999999787	2.81	2.80999999999787	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999775	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.81000000002284	2.81	2.81	2.81	2.81	2.81	2.8100000000302	2.81	161.107791033776	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.8099999999975	2.81	2.81000000001403	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999888	2.81	2.81	2.81	2.81	2.81	2.81	2.81	228.743450850138	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.8099999999946	2.80999999999787	2.81	2.81	2.81	2.80999999982271	2.8099999999975	2.81	2.81	2.81	2.80999999999989	2.81	2.81
2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000000048	2.81	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.80999999999787	249.185562432576	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	76.7239080408415	2.81	2.81	2.81	2.81	2.81	2.80999999999946	2.81	2.81	2.81	2.81	2.8099999999946	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999946	2.80999999999787	2.81	2.81	72.820396182283	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81
175.494131681944	2.81	2.8099999999975	2.80999999999787	2.8099999999975	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999797	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999916	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999998671	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.8099999999946	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999989	2.81	2.81
2.81	2.80999999999933	2.8099999999975	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.81	2.81	2.80999999999866	2.81	2.80999999999787	2.81	2.81	2.80999999999926	2.81	2.81	2.80999999999787	2.8099999999975	2.8099999999975	2.81	2.8099999999975	2.81	2.81	2.80999999999993	2.81	2.81	117.429331538476	2.81	2.8099999999975	2.81	2.8099999999975	2.80999999999787	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999946	2.81	2.81	2.81	2.81	2.81	2.81	218.555509771996	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	124.848796411326	2.81	2.81000000000041	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999989
2.81	2.81	2.80999999999787	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.80999999999775	2.81	2.81	2.81	2.80999999999957	2.81	2.80999999999787	2.81	2.81	2.80999999999787	2.81	2.81	2.81	2.8099999999975	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.8099999999975	2.8099999999975	2.81	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999842	2.81	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999946	2.8099999999975	2.81	2.81	2.81	2.80999999999787	2.81	107.404907971005	2.81	2.81	2.8099999999975	2.81	2.81
