M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
65	69	75	57	71	73	80	66	67	68	72	78	51	69	57	57	78	58	51	50	63	68	73	76	69	96	81	68	55	66	68	61	68	78	93	60	65	70	71	51	63	57	63	58	63	55	63	69	62	63	55	68	59	76	60	61	93	85	63	74	77	52	68	81	83	76	58	90	61	73	49	68	56	73	68	58	66	69	60	68	61	75	81	47	59	52	63	51	55	67	57	65	68	86	51	64	59
65	69	81	67	74	75	73	67	67	68	72	70	51	70	68	68	75	58	51	52	67	68	81	77	70	96	80	66	55	66	70	62	73	79	99	57	66	70	70	51	68	54	63	59	63	63	62	69	63	66	55	67	59	76	60	61	93	85	63	75	71	49	68	81	84	75	63	90	60	71	51	65	53	73	68	59	66	73	60	68	60	73	86	48	61	53	63	51	55	67	57	65	68	84	51	65	63
64	67	73	57	71	75	75	67	67	66	72	72	53	70	68	61	75	58	51	50	67	69	81	77	70	96	80	66	55	66	70	61	73	73	93	59	65	70	72	50	58	57	63	59	63	55	63	69	69	66	55	68	58	76	61	61	91	85	66	74	77	52	66	81	84	76	61	89	61	73	49	68	56	78	65	59	59	70	60	68	60	73	81	45	61	52	62	54	55	67	56	65	69	84	51	64	63
66	72	73	59	73	75	80	67	67	66	71	71	51	71	68	70	75	58	51	52	67	68	81	77	69	96	81	68	57	67	70	62	65	80	93	57	65	72	70	50	63	57	63	58	63	52	61	69	68	66	55	68	59	76	60	61	93	85	66	79	77	52	68	81	84	76	63	90	61	76	52	68	56	73	65	59	66	69	60	68	61	74	86	48	61	50	62	51	55	66	57	65	64	84	57	65	62
64	69	81	68	74	73	80	67	67	68	72	69	51	70	69	70	75	58	52	52	67	68	78	75	69	96	81	66	55	66	68	61	70	80	92	59	65	70	71	51	63	57	63	59	63	61	63	69	69	66	55	68	59	66	60	62	93	85	63	74	77	54	68	81	84	78	63	89	63	71	51	68	56	73	74	59	66	69	60	68	61	74	81	47	61	52	63	51	55	66	62	65	68	86	52	65	60
64	69	81	68	74	73	80	67	67	68	72	70	51	70	68	70	75	59	52	51	64	68	81	77	67	96	81	66	54	66	70	62	67	79	93	59	67	71	71	51	63	57	63	59	63	63	62	69	69	65	55	68	59	63	60	61	93	85	63	74	72	52	68	81	83	76	63	89	61	71	48	74	54	73	68	59	66	69	60	68	60	75	81	51	59	52	62	50	55	66	56	65	69	86	51	59	59
64	68	81	57	74	74	75	66	67	68	72	72	51	72	68	68	75	61	51	52	67	68	81	75	70	96	81	66	57	66	68	62	65	78	92	63	67	70	70	51	63	57	56	58	61	56	63	69	69	66	55	71	59	65	61	61	93	85	66	74	77	52	72	81	83	76	63	89	60	71	49	74	56	73	68	59	66	73	60	68	61	74	81	50	61	49	55	51	51	66	62	65	69	86	51	64	63
65	69	73	68	74	75	72	67	73	68	72	72	51	72	68	70	75	59	52	50	67	68	78	76	83	98	81	67	54	66	70	62	69	72	99	59	67	72	71	51	63	61	63	59	63	61	61	69	61	66	55	68	59	63	60	61	93	85	63	74	79	52	67	81	83	76	61	90	61	66	51	74	56	73	68	58	66	69	60	68	61	72	81	51	61	53	62	51	55	67	56	65	68	86	50	65	59
64	72	73	68	70	74	80	67	67	68	72	72	51	72	68	63	75	55	50	52	67	69	78	76	71	96	81	66	54	64	70	61	65	80	93	58	66	70	66	51	63	57	63	59	63	55	62	68	69	66	55	68	59	76	60	66	91	79	63	74	79	52	72	81	83	76	63	89	60	66	49	70	56	73	68	58	66	73	60	68	60	73	81	47	61	49	61	51	55	67	62	65	72	86	52	64	55
65	69	81	57	70	73	80	67	72	68	72	77	50	71	68	63	77	62	51	50	67	68	72	75	70	96	81	66	54	66	70	61	66	80	93	60	65	70	70	51	58	57	64	61	63	61	63	69	69	68	55	68	59	76	61	61	93	89	63	74	77	52	72	77	84	76	63	89	61	79	51	68	56	70	65	59	66	73	60	68	60	73	81	46	61	52	62	51	52	67	62	65	68	86	51	65	60
71	69	82	57	72	73	80	66	67	68	72	76	51	70	68	68	75	62	50	50	67	69	78	77	70	96	81	66	54	58	70	61	65	80	99	59	67	70	72	51	63	57	63	59	63	55	63	72	62	65	55	68	59	76	60	61	86	85	63	75	71	53	72	81	84	75	63	90	61	71	49	68	58	73	68	59	66	69	60	68	61	74	81	48	61	52	62	51	55	67	61	65	68	89	51	65	58
65	63	82	68	70	74	73	67	67	66	65	70	51	70	68	60	75	59	51	52	65	68	81	77	70	96	81	66	55	69	68	62	68	80	93	58	66	70	70	50	63	54	63	58	63	63	63	69	62	68	55	68	59	76	60	61	90	85	63	74	77	52	67	81	83	76	61	90	61	73	51	74	54	78	65	59	66	75	60	68	60	60	81	51	59	51	62	51	55	66	56	65	68	86	49	64	59
64	67	73	72	72	74	80	67	67	68	72	70	51	72	68	70	75	58	48	53	67	63	81	77	70	98	81	67	54	66	70	61	65	80	93	60	66	70	70	50	63	57	64	58	64	63	62	69	69	66	55	74	60	63	60	61	93	85	63	74	71	52	66	81	83	76	61	89	61	66	49	74	56	73	68	58	66	75	60	68	60	74	81	48	61	52	55	54	55	67	62	65	68	86	51	65	59
63	68	73	68	72	74	80	67	72	59	72	70	51	70	68	68	75	59	51	52	67	68	78	77	73	96	81	66	55	66	70	61	66	80	93	60	65	72	71	51	56	57	63	58	63	63	63	69	62	68	55	66	59	76	60	61	93	85	63	74	77	49	66	81	84	78	61	90	61	66	49	68	56	78	68	58	66	69	60	68	61	73	85	48	61	53	63	51	52	67	56	65	68	84	51	65	59
71	68	73	60	74	74	80	67	72	68	72	75	53	69	68	68	75	59	50	51	67	63	81	75	69	98	83	68	47	66	70	61	65	72	93	59	65	70	70	51	63	54	63	58	63	61	63	69	59	65	56	68	59	76	60	62	93	85	66	74	77	53	72	81	83	76	63	89	61	73	49	68	56	73	65	58	66	73	60	68	59	74	81	47	61	52	62	50	55	67	56	65	68	84	49	65	59
64	69	81	64	70	74	80	67	67	68	72	72	51	72	68	61	75	59	51	53	64	68	81	76	70	96	80	66	55	66	68	63	71	80	93	60	66	72	70	51	58	59	63	58	63	63	62	69	63	64	55	70	59	76	60	61	93	85	66	74	77	52	72	81	83	76	61	90	60	64	51	70	54	78	68	59	66	73	60	68	61	73	86	50	61	52	62	50	55	67	56	65	68	86	51	65	60
65	68	81	57	73	75	75	68	67	68	71	69	51	70	68	61	77	62	51	51	65	68	78	75	70	96	83	62	55	66	70	61	65	79	93	60	67	70	70	50	63	57	63	59	65	55	61	69	62	66	55	67	59	76	61	61	93	85	63	74	77	52	68	81	84	75	61	90	61	68	49	74	54	73	68	59	66	70	60	68	60	73	85	51	59	51	62	50	55	67	62	62	68	86	52	65	59
64	67	81	68	70	73	80	67	72	63	72	72	51	70	68	70	75	62	51	51	65	69	78	77	70	92	81	67	55	66	70	61	65	79	91	56	68	70	70	51	68	57	63	58	63	61	63	69	62	66	55	72	59	76	60	61	93	85	66	74	77	52	68	81	83	75	63	90	62	71	49	70	55	73	68	59	66	69	60	68	61	74	81	51	59	52	64	51	55	67	60	65	68	84	51	65	56
65	69	81	57	74	74	78	67	67	68	71	76	51	72	69	68	75	62	50	52	66	69	81	71	69	98	81	66	55	66	68	62	65	80	91	59	67	71	72	51	63	62	56	58	63	63	62	75	62	66	55	74	59	63	61	61	93	85	66	77	77	52	67	77	83	76	63	89	60	71	49	68	56	76	65	54	66	69	60	68	59	75	88	48	61	50	55	51	55	66	62	65	68	86	51	65	59
64	69	81	68	70	74	80	67	72	68	72	72	51	72	68	68	77	59	51	50	66	68	81	75	69	96	81	74	56	67	70	61	68	80	93	61	66	72	70	51	63	57	63	58	64	55	63	69	62	66	55	73	59	63	60	61	87	85	66	75	77	52	72	81	84	78	61	89	60	73	51	68	56	73	68	58	66	73	60	68	59	74	81	48	61	52	61	51	55	64	61	65	68	86	52	65	62
64	72	73	60	74	70	73	66	67	68	72	67	51	71	68	70	75	58	51	55	67	68	81	76	67	96	81	66	55	66	70	62	65	80	93	59	61	70	70	50	63	57	63	58	63	62	63	69	69	69	55	68	59	76	60	61	91	85	67	74	77	52	65	81	83	78	63	90	63	71	49	68	56	73	68	59	66	69	60	67	60	74	81	50	60	52	62	51	55	67	62	62	68	86	52	65	57
65	67	73	57	74	75	80	67	71	68	71	75	53	72	68	70	77	58	51	52	65	68	81	76	67	98	81	66	55	66	70	62	65	72	78	60	65	70	72	50	58	57	63	58	63	61	63	69	69	64	56	67	59	62	60	61	92	85	63	75	77	52	69	77	83	76	58	89	61	73	51	74	56	73	65	59	66	65	60	68	60	73	81	51	61	50	62	50	55	66	62	65	68	86	50	65	59
64	72	81	68	73	73	73	67	76	65	72	70	51	70	68	69	73	59	50	50	62	69	81	77	69	98	81	66	55	66	70	62	65	72	93	59	65	70	70	50	63	57	63	59	63	56	62	69	62	68	56	70	59	76	60	61	93	85	63	74	77	52	64	81	84	76	63	90	61	71	49	67	56	73	68	58	66	69	60	68	60	75	81	48	59	52	62	51	55	68	56	65	66	84	51	64	58
65	68	73	67	74	71	75	61	67	68	72	70	51	71	68	61	75	59	52	56	67	68	81	75	70	96	81	66	48	66	70	60	65	79	93	57	66	70	72	51	63	59	63	59	63	55	63	70	62	66	55	73	57	63	60	62	93	85	66	75	77	54	67	77	83	76	61	90	60	71	49	68	56	73	68	58	66	69	60	68	60	72	81	48	61	48	65	51	55	66	62	65	68	83	51	65	63
64	69	73	67	72	74	80	67	67	68	71	75	51	72	68	68	75	58	51	50	67	69	78	76	70	96	81	68	55	66	68	60	65	75	91	57	65	70	72	51	58	57	63	59	63	56	63	69	69	66	59	68	59	76	60	61	93	85	66	74	73	52	72	77	83	76	63	90	61	73	49	68	58	73	65	59	66	69	60	68	60	74	86	41	61	53	63	51	55	67	60	65	68	86	51	65	58
65	68	82	67	73	75	73	67	67	68	72	77	51	70	68	70	77	58	50	52	65	69	81	77	67	96	81	66	57	66	70	61	65	80	91	57	66	70	70	51	63	59	63	58	63	59	62	69	62	59	55	68	59	76	61	61	88	85	66	75	77	52	72	77	84	75	63	89	56	73	49	68	56	73	68	59	66	73	60	68	60	73	86	51	61	53	62	51	52	67	56	65	69	82	51	65	59
