M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
61	108	64	66	54	53	69	92	46	56	83	69	77	51	58	64	52	55	25	51
57	106	49	67	61	65	67	94	45	55	83	57	75	56	61	59	53	59	54	28
62	79	58	66	66	65	72	92	48	56	85	75	74	57	63	65	57	62	51	52
54	109	51	59	62	64	66	92	47	54	79	77	70	59	60	40	40	58	51	50
57	110	62	66	63	61	68	94	38	53	86	54	76	57	60	65	52	60	25	51
56	108	58	55	57	55	71	90	46	31	82	75	64	62	65	57	47	57	52	47
62	94	60	73	64	30	71	96	47	57	82	75	81	63	62	69	47	61	55	57
37	102	57	62	63	64	72	86	48	55	83	62	75	59	46	64	45	62	61	54
59	103	61	66	66	63	71	94	19	53	83	65	74	48	63	66	43	60	48	55
57	96	61	68	56	61	70	91	46	55	78	74	76	32	56	61	46	60	51	50
54	104	63	58	37	58	73	91	45	54	81	70	65	54	57	61	47	58	52	51
63	111	62	62	58	60	69	92	43	57	88	73	62	61	55	68	21	60	54	46
61	106	53	62	60	57	69	98	49	47	84	64	78	53	58	63	48	33	53	49
61	107	60	68	64	58	68	96	50	47	85	61	73	56	56	68	47	33	58	55
60	79	63	65	67	54	74	95	46	59	85	74	76	58	62	65	57	65	52	52
56	107	58	68	66	66	67	84	47	51	84	46	76	59	62	61	47	58	50	50
60	99	58	71	63	30	71	93	48	59	86	74	73	60	58	58	47	61	52	50
64	110	53	74	64	30	66	96	47	60	85	75	66	62	58	59	47	60	46	52
57	100	60	70	62	62	69	91	44	54	84	58	67	32	59	64	58	60	51	45
55	108	58	67	64	59	70	92	46	46	83	77	57	54	61	63	46	53	50	28
62	79	58	67	62	75	71	92	38	51	91	77	81	59	64	65	50	58	60	54
62	110	61	66	52	63	44	88	50	56	85	77	66	57	63	66	45	62	55	52
58	105	61	59	58	64	71	91	50	56	83	80	70	32	65	61	47	57	46	49
59	104	60	63	58	65	71	94	51	55	59	71	76	53	62	61	48	57	61	49
58	109	57	71	58	55	71	67	45	59	86	66	78	62	63	69	46	61	51	53
60	79	58	68	63	64	71	93	45	55	86	76	77	57	61	66	55	57	54	51
54	100	60	66	70	53	72	93	39	57	77	73	72	51	60	66	21	54	59	56
56	105	48	60	67	64	69	92	42	56	83	75	64	32	50	64	46	62	55	48
59	109	60	63	37	63	67	92	45	60	80	71	72	58	55	59	46	61	57	46
62	79	63	66	61	65	72	95	47	57	85	75	75	57	63	65	50	64	52	60
54	109	45	60	62	61	68	91	42	55	81	46	67	51	56	61	57	60	53	48
61	100	46	64	62	60	71	91	45	53	59	72	76	58	58	60	45	60	52	50
57	103	55	67	64	61	73	95	42	59	59	63	81	58	55	64	46	56	54	49
56	108	61	68	64	63	71	86	46	57	85	76	62	58	63	63	21	61	50	52
60	107	53	63	37	64	73	94	43	53	79	69	74	59	57	66	44	61	52	53
62	103	61	65	64	57	70	88	43	57	82	76	77	58	62	63	21	63	51	52
49	98	61	68	60	56	44	91	47	56	85	73	76	52	55	58	43	62	55	47
59	107	58	61	64	61	70	88	19	51	86	75	80	63	69	64	47	61	54	57
37	98	58	65	61	60	69	93	48	55	78	76	73	43	59	59	46	60	58	53
56	101	46	68	64	56	69	94	44	55	59	77	76	54	62	63	52	60	55	51
58	102	58	64	61	30	74	98	49	54	86	74	80	47	58	58	47	59	53	50
54	112	57	67	65	47	74	86	48	31	83	69	79	57	63	71	49	56	47	52
61	103	58	71	57	60	44	96	46	59	83	74	78	51	55	68	46	62	48	54
61	79	54	67	68	54	71	96	43	54	85	75	73	61	62	62	43	61	55	50
60	108	65	71	56	71	74	103	53	60	88	77	49	59	67	62	50	66	62	50
58	108	58	63	66	60	70	92	46	56	80	54	74	58	55	65	49	63	25	50
58	98	57	68	63	61	72	67	46	54	86	75	72	59	57	63	46	56	53	50
60	103	60	65	64	67	72	101	49	56	78	78	49	63	62	65	50	61	52	61
54	107	63	57	59	59	68	89	48	56	82	75	49	59	61	63	49	58	60	53
61	96	61	60	61	60	68	91	19	56	85	75	77	48	54	55	44	61	62	49
60	107	56	68	66	61	70	89	48	50	82	73	49	60	59	67	43	58	50	50
60	98	57	55	61	64	72	92	48	52	85	46	77	49	59	63	46	62	46	52
59	102	51	53	64	62	68	94	41	51	80	76	75	54	53	63	46	60	55	28
58	101	51	58	62	64	64	94	42	58	85	46	78	58	57	60	45	56	51	52
58	105	47	63	62	58	69	94	37	31	82	76	75	55	60	61	53	57	60	54
57	107	59	60	67	63	72	95	47	55	80	73	68	32	50	62	44	52	54	49
60	109	54	67	63	65	70	83	46	54	82	74	71	58	61	62	46	33	55	51
53	111	54	59	57	61	64	95	48	57	83	46	68	60	52	66	47	62	51	56
59	107	57	67	64	64	71	67	51	54	85	65	75	57	63	65	45	59	53	50
60	105	59	67	63	64	73	86	47	56	85	76	76	48	35	66	53	61	58	55
59	109	28	71	64	59	69	86	47	56	81	66	75	56	61	61	46	60	60	51
57	104	61	65	59	63	71	94	37	52	79	66	74	54	35	59	44	57	52	47
63	79	60	70	63	61	73	94	44	60	85	78	75	57	55	63	52	63	47	51
59	100	56	67	62	63	68	92	47	55	83	57	77	58	46	59	45	60	52	28
50	107	53	66	65	61	70	85	36	58	82	74	71	62	62	63	44	33	42	52
60	94	61	42	64	62	68	91	43	58	82	74	77	58	63	64	46	63	53	50
62	97	59	63	61	58	66	93	47	56	83	73	76	56	62	61	21	60	59	56
57	107	59	53	60	53	69	93	45	55	79	72	60	58	59	67	46	60	25	47
61	108	50	65	48	53	71	86	40	53	82	74	68	58	62	64	52	56	56	28
54	106	57	63	60	62	71	94	40	55	78	72	73	51	58	63	21	54	61	47
60	108	52	63	64	66	70	85	48	57	82	46	75	56	61	60	53	60	59	55
