M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
30	28	51	33	36	48	38	26	43	30	24	45	44	37	39	31	53	44	41	44
29	31	53	33	30	51	38	27	43	30	25	48	44	36	38	31	57	41	47	32
29	20	48	38	33	54	36	28	44	30	25	49	45	37	36	31	54	40	49	43
29	31	51	32	31	51	38	27	44	30	24	47	43	38	38	22	60	41	48	43
28	31	49	32	31	51	36	28	43	29	25	48	44	37	39	31	56	42	41	44
29	31	48	41	34	48	35	27	44	23	25	47	39	39	38	29	51	43	47	42
29	34	44	34	32	36	38	29	41	29	28	47	46	37	39	32	38	42	56	44
23	32	58	31	31	53	34	29	44	36	25	49	46	37	46	31	36	43	53	45
28	29	50	34	33	52	35	27	32	29	25	44	45	53	36	33	48	41	54	42
28	30	51	39	35	51	43	27	43	30	29	48	45	25	45	31	40	43	57	46
35	35	56	36	28	57	36	28	51	35	30	54	50	41	43	37	53	50	55	51
27	29	44	36	29	48	37	26	49	29	24	49	49	37	43	32	40	41	47	55
28	27	48	36	31	52	38	29	43	39	23	48	46	34	38	31	38	33	47	50
29	29	45	30	28	48	33	26	41	39	24	42	48	33	34	32	38	33	63	43
30	20	51	33	34	52	40	27	39	30	25	45	46	34	34	30	54	42	50	45
29	30	49	38	32	51	43	34	43	35	25	36	44	44	50	35	41	42	56	50
29	31	43	33	31	36	38	33	40	30	25	48	44	35	37	37	57	46	46	49
31	27	51	34	32	36	52	26	40	32	24	47	40	38	37	29	38	39	44	42
30	33	62	34	31	53	38	27	50	29	25	54	52	25	39	31	62	42	49	48
28	29	49	33	31	50	39	27	44	35	25	49	54	35	37	31	40	44	55	32
30	20	52	33	30	54	33	27	45	29	27	48	48	34	34	30	41	41	51	42
28	29	49	33	38	53	24	30	44	31	25	47	56	36	36	33	37	40	47	43
30	32	49	31	29	52	49	27	44	30	25	48	46	25	44	32	50	43	46	44
29	29	55	30	35	53	37	27	46	30	18	47	45	43	36	30	43	45	58	43
35	31	49	34	39	59	38	18	49	31	25	54	47	35	47	32	37	42	55	42
29	20	48	34	31	53	41	27	49	30	32	49	46	37	39	33	59	50	49	44
35	27	50	30	35	55	46	27	52	38	29	46	46	48	38	31	40	48	53	46
29	29	56	35	32	51	38	27	42	30	25	49	42	25	46	31	40	41	48	41
31	28	52	30	28	50	34	28	37	30	23	48	41	36	38	31	56	40	48	42
31	20	50	31	32	53	35	27	44	31	25	47	46	35	35	37	43	45	52	44
35	30	62	30	37	51	37	27	49	30	24	36	52	44	45	29	60	42	51	42
35	33	59	30	34	52	37	27	41	34	18	48	43	34	39	29	38	43	49	50
29	27	51	30	28	48	31	27	43	29	18	50	47	32	35	32	39	44	55	46
42	30	51	33	29	50	38	23	45	30	25	48	41	35	41	30	40	41	64	42
29	31	55	31	28	54	34	27	54	30	25	44	44	35	38	33	37	43	56	43
31	25	51	30	29	51	38	31	41	30	25	47	44	35	35	29	40	41	63	42
45	28	49	33	30	53	24	27	43	30	25	49	43	34	39	30	41	41	48	42
29	27	54	39	31	48	32	26	32	46	23	47	44	37	37	30	38	41	47	44
23	26	54	30	30	52	38	27	42	30	25	47	45	41	38	31	40	41	51	42
37	27	59	34	30	56	36	27	43	30	18	49	43	36	36	29	61	45	64	44
28	28	42	30	36	36	33	28	40	29	25	48	46	44	40	29	38	42	47	42
29	29	49	32	32	57	31	24	39	23	25	48	46	37	41	33	40	43	63	42
31	27	51	35	30	48	24	26	41	29	24	44	46	42	41	32	34	41	48	44
28	20	49	33	33	52	36	27	44	30	25	48	45	37	36	33	42	40	45	45
30	29	50	34	29	54	36	29	45	32	28	49	32	36	41	31	67	47	55	43
29	29	51	31	31	51	38	28	43	30	24	48	49	38	37	31	54	42	41	45
29	31	54	33	31	52	46	18	43	29	25	47	46	37	47	31	38	43	51	44
28	28	50	30	31	53	34	30	43	29	24	49	32	40	36	31	67	41	45	45
35	31	50	39	34	51	35	26	42	29	24	47	32	36	40	30	43	44	55	43
28	33	52	37	36	51	37	28	32	31	25	47	43	53	45	33	40	44	51	44
28	30	49	33	32	52	38	32	57	38	26	47	32	44	39	32	46	49	54	44
29	29	48	38	37	52	36	27	44	30	25	36	46	43	39	32	39	40	55	43
29	28	55	41	30	47	36	27	43	29	23	48	43	36	41	31	40	42	51	32
29	30	50	31	32	53	46	28	43	32	25	36	47	37	41	32	39	44	48	46
29	28	59	30	32	52	36	28	43	23	26	48	43	36	38	30	54	43	54	45
29	30	47	36	33	53	35	27	43	30	24	46	41	25	46	32	40	48	46	42
28	29	53	32	31	51	49	30	44	31	24	49	43	38	37	35	40	33	48	42
30	27	51	31	29	49	46	26	42	29	24	36	44	33	40	31	38	39	48	45
28	31	49	33	32	54	35	18	44	39	31	54	45	37	39	32	37	50	53	45
30	27	49	33	32	52	35	23	46	31	25	48	45	39	28	31	55	42	49	43
29	29	38	39	30	56	36	33	44	29	26	53	44	36	36	30	40	41	51	50
30	31	50	33	31	50	39	27	46	30	25	47	41	35	28	37	40	43	55	42
29	20	54	34	31	53	38	28	44	34	25	50	44	34	43	31	42	47	58	43
30	28	49	33	31	50	37	27	44	29	25	48	44	38	41	29	40	42	48	32
30	30	53	31	30	49	43	23	51	31	24	48	44	38	35	29	38	33	62	41
30	36	51	21	29	47	42	27	41	31	24	47	44	35	35	29	40	41	47	51
29	33	52	30	30	51	44	26	43	29	25	48	44	36	36	30	40	41	49	42
29	29	50	44	35	53	37	27	43	30	23	50	49	38	39	32	40	43	41	47
30	29	54	31	39	46	37	24	43	29	24	47	42	35	36	29	52	43	54	32
35	30	56	30	41	54	37	28	43	30	24	48	47	43	38	29	40	49	57	47
30	29	57	30	30	54	37	25	43	30	24	36	44	36	38	29	67	44	52	45
28	31	51	31	32	54	44	18	50	32	31	56	46	34	37	30	36	45	56	46
29	32	51	21	31	50	34	27	41	30	24	45	49	38	36	34	43	55	50	43
29	28	52	34	29	51	38	24	43	29	25	47	44	34	38	22	41	41	53	50
30	29	58	34	34	55	37	18	43	31	31	47	45	37	38	32	42	54	46	44
36	29	56	37	31	57	38	27	43	29	25	48	50	42	51	32	40	47	49	44
28	30	51	31	30	50	51	27	32	29	23	49	44	36	38	32	61	44	52	42
29	30	56	33	28	54	37	27	49	42	29	47	45	39	46	31	40	49	57	50
29	27	52	30	28	50	38	26	46	30	27	54	46	33	39	30	40	43	47	43
23	29	56	31	31	47	34	27	46	29	30	46	55	37	36	31	37	43	50	42
31	31	52	32	32	50	37	27	43	31	24	47	53	25	38	31	42	42	53	43
28	27	44	21	31	49	50	26	41	29	24	48	43	35	38	32	51	41	49	43
29	28	38	30	31	53	36	27	43	29	24	49	42	36	40	32	40	50	53	45
29	31	56	40	34	56	35	29	52	42	25	57	52	37	28	33	37	41	47	42
29	30	39	31	29	51	52	29	43	27	26	47	46	36	39	31	57	33	48	44
28	28	51	34	32	52	38	29	46	30	26	49	47	35	37	22	38	41	55	42
29	28	59	41	31	50	38	31	43	30	25	47	44	38	37	31	40	45	51	32
36	30	49	41	33	59	41	18	47	37	32	53	55	44	38	37	45	48	49	45
35	29	62	37	36	53	38	27	47	30	24	36	53	43	39	31	43	43	48	48
29	30	54	33	31	52	39	27	44	23	26	51	40	42	39	32	40	42	53	44
28	28	52	30	35	53	36	28	42	29	18	49	45	36	39	29	41	51	63	44
30	30	54	32	32	50	37	27	45	31	23	48	61	37	40	32	40	42	49	43
30	30	49	30	30	51	38	26	40	23	24	51	56	37	39	31	60	44	50	43
29	29	47	33	31	53	36	27	42	31	25	45	46	34	38	22	60	40	45	42
30	26	49	34	29	54	37	27	44	23	26	47	44	42	38	31	51	40	49	42
34	27	56	35	32	57	44	31	47	35	30	48	46	25	46	35	46	48	57	51
27	31	46	34	33	49	34	30	41	39	29	48	46	46	39	32	44	33	48	44
29	20	50	33	32	53	36	27	51	31	32	47	47	37	38	32	37	40	57	47
23	32	52	33	31	57	43	31	42	36	29	56	46	44	38	36	38	42	53	51
29	28	53	33	31	52	42	26	43	28	18	48	44	37	42	38	38	39	51	41
