M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
59	107	58	66	64	71	91	47	43	73	68	37	77	83	69	77	56	62	64	63	42	61	60	44
37	97	57	65	60	70	91	46	56	75	71	64	72	71	73	74	56	56	63	59	48	61	53	56
55	110	59	70	59	66	94	46	59	75	65	37	77	80	72	67	52	63	63	67	43	62	57	54
37	105	58	67	67	73	94	46	54	74	66	65	65	79	77	76	58	64	66	63	53	60	55	54
56	108	64	63	57	69	97	48	59	77	62	60	77	85	75	67	57	58	57	60	25	61	57	59
62	108	45	70	60	71	87	49	55	76	70	56	74	83	72	69	57	62	62	63	25	61	52	52
60	109	55	72	61	71	99	43	58	75	68	64	77	85	66	71	46	57	62	67	52	63	49	28
63	111	56	71	62	73	92	46	57	64	68	64	76	85	73	76	54	61	58	65	50	56	26	53
63	102	60	69	37	72	87	47	56	78	65	65	76	84	71	75	62	62	63	65	45	61	55	53
63	110	56	72	54	66	92	32	57	76	66	69	47	87	69	79	50	61	62	64	45	61	54	44
59	103	61	65	63	68	68	40	53	73	66	65	76	80	75	77	58	63	61	63	45	58	55	51
61	98	58	65	67	69	91	49	54	73	43	61	70	83	72	71	56	61	64	67	45	61	55	50
59	103	59	69	64	68	97	47	55	64	68	37	76	77	69	72	56	58	56	61	46	60	57	52
60	104	64	69	64	72	85	43	57	74	71	64	72	82	74	76	59	63	63	63	44	33	58	52
60	101	57	69	64	45	93	52	55	75	68	59	75	83	76	76	60	59	60	65	52	55	60	53
62	109	54	69	37	69	98	51	46	75	68	68	78	89	59	69	56	58	60	68	47	62	53	57
64	108	61	64	59	72	93	42	59	75	66	65	65	83	69	76	43	60	60	64	48	33	49	48
62	101	45	67	57	74	92	48	55	77	64	66	75	85	70	49	62	64	64	66	46	62	54	53
59	108	52	66	57	67	94	17	58	71	66	65	73	79	72	63	58	58	57	63	52	57	47	49
58	104	57	70	64	72	93	46	58	67	66	64	75	76	75	75	31	65	62	63	45	60	54	51
63	111	61	69	53	71	93	48	56	69	62	62	69	81	75	71	62	65	63	40	46	54	52	51
57	97	58	64	61	69	93	32	50	74	67	67	78	83	72	71	58	34	65	64	46	63	57	56
61	107	59	63	62	68	94	42	57	69	67	55	72	80	64	76	55	55	62	67	48	33	55	49
61	98	58	67	66	71	93	32	59	73	66	65	73	85	77	74	53	34	62	66	49	62	58	52
61	103	48	59	58	66	89	46	50	76	66	66	69	83	69	77	58	34	56	59	40	54	50	47
54	106	59	67	63	69	94	17	54	71	68	63	75	85	73	73	57	60	59	57	46	57	47	50
60	101	64	60	63	70	93	47	61	72	68	58	73	93	75	75	55	59	64	67	44	33	56	46
53	107	47	68	63	68	88	46	54	76	65	66	47	84	60	77	58	64	61	65	49	61	54	51
62	105	51	70	61	72	97	41	52	77	62	64	73	84	73	77	57	59	64	66	25	62	55	54
53	111	62	69	66	71	91	38	56	76	71	61	79	83	66	76	31	64	66	57	47	65	58	50
60	108	51	69	63	64	93	45	55	75	67	65	77	84	69	49	58	60	65	64	46	62	58	47
62	95	62	69	64	67	92	42	57	77	71	66	78	83	76	76	57	64	66	56	25	66	53	55
62	79	60	67	60	72	94	46	56	75	71	64	76	85	73	74	59	64	64	62	46	65	55	50
57	107	54	67	61	64	94	41	53	68	67	64	73	85	45	65	58	61	62	64	43	58	50	43
59	79	58	70	64	74	97	46	56	76	69	64	76	82	76	75	57	59	64	65	45	59	55	49
60	97	59	67	66	71	92	49	59	76	43	67	77	83	72	75	59	64	64	64	44	61	52	54
59	111	59	42	66	72	94	42	61	76	70	66	77	82	75	73	62	61	64	66	48	64	52	50
60	95	59	67	67	71	92	42	55	74	69	63	73	83	76	73	58	64	61	40	46	55	55	49
52	107	56	63	53	70	68	48	50	73	66	59	77	81	76	70	56	57	64	62	44	60	60	53
59	108	57	69	57	68	92	43	56	49	66	64	75	85	70	66	58	54	61	65	57	48	46	47
53	114	59	66	60	74	93	39	57	75	70	64	75	80	69	79	58	52	35	67	48	61	41	51
62	107	60	66	63	69	93	47	53	68	69	62	47	80	65	76	54	58	64	62	47	58	47	48
53	111	62	62	64	63	95	39	54	75	73	67	68	83	71	49	53	63	65	57	47	63	57	50
62	95	56	42	64	71	93	47	56	73	69	64	78	83	73	75	56	55	59	64	42	60	59	53
65	105	58	74	67	74	100	39	62	76	70	59	72	87	45	80	60	60	66	67	47	63	56	50
58	109	57	72	62	70	97	46	57	74	68	65	70	77	69	75	31	59	58	68	45	59	54	55
62	107	59	58	56	66	94	40	57	73	73	62	73	79	66	74	58	34	66	67	48	57	58	53
62	103	52	57	58	71	92	42	58	72	67	63	75	83	73	70	31	63	62	59	46	60	46	51
50	99	56	70	68	68	92	46	52	49	66	65	73	82	73	75	58	59	61	64	46	64	54	51
61	108	59	57	66	69	87	46	56	72	72	65	76	83	72	71	57	34	62	63	47	60	54	50
57	92	61	68	63	69	92	45	56	71	66	37	76	85	75	77	57	59	61	66	46	57	54	41
57	104	59	69	63	68	90	45	50	72	43	62	76	85	70	69	59	60	64	64	47	62	50	52
58	111	59	70	65	72	88	17	57	76	72	66	65	83	77	67	61	65	65	60	47	65	54	54
55	101	59	66	62	71	97	38	54	76	66	68	77	85	74	78	31	64	63	62	44	57	46	54
64	111	62	70	65	73	94	47	58	71	76	67	67	79	70	78	63	66	67	65	25	65	56	53
60	79	60	65	64	72	95	48	57	76	72	64	78	82	72	70	56	63	63	65	46	56	61	53
59	105	59	70	63	68	88	47	56	75	65	64	76	62	69	76	60	60	63	63	45	60	54	51
56	107	52	65	37	70	97	43	46	77	69	63	72	82	71	78	54	55	60	60	44	61	50	53
59	107	28	65	60	71	88	43	58	77	69	53	69	84	71	65	57	51	62	64	45	62	54	45
58	113	60	69	65	67	91	46	58	75	70	69	75	79	70	67	31	59	63	70	54	49	49	52
58	99	48	68	59	71	97	51	56	71	69	66	76	76	71	74	61	34	65	67	46	63	54	52
61	107	58	66	64	72	68	47	54	74	69	59	75	82	62	78	57	61	64	67	45	62	54	54
58	106	58	42	63	68	92	44	56	72	67	63	74	80	72	78	58	58	61	64	46	56	54	48
60	111	51	69	64	67	97	44	52	76	66	62	75	86	74	73	62	50	64	40	47	63	48	51
59	107	61	67	66	70	68	45	56	78	72	64	73	82	74	74	57	58	60	63	45	64	53	52
53	112	59	72	64	74	68	48	60	78	70	62	77	77	73	69	58	62	65	66	47	60	54	52
54	109	59	68	65	69	93	45	54	74	66	68	75	79	68	76	54	34	62	62	40	60	55	52
62	110	57	63	64	72	96	46	49	73	66	67	78	87	60	71	58	48	64	68	47	57	26	57
37	107	59	66	62	71	88	43	58	74	69	63	74	82	72	70	62	46	61	66	44	64	56	53
60	108	57	62	60	69	95	38	56	76	68	65	75	79	76	73	54	60	35	64	46	60	52	42
60	79	58	66	66	72	97	48	56	77	67	66	74	85	73	72	61	58	61	67	48	61	53	51
57	107	28	68	63	63	94	41	55	77	68	63	73	80	68	76	54	61	64	66	46	60	47	50
59	105	58	64	37	75	82	47	55	76	68	55	77	80	76	71	59	64	63	69	46	61	64	53
53	110	59	67	61	66	96	47	55	66	69	68	77	78	69	75	58	63	35	65	46	61	53	44
60	107	54	68	63	72	97	47	61	74	70	62	77	79	71	62	58	34	66	66	51	50	55	56
58	112	50	42	57	70	92	44	59	72	67	67	73	86	69	77	63	65	64	66	48	61	52	49
52	109	60	66	63	73	91	43	59	77	70	65	77	85	64	77	58	60	63	66	25	65	51	44
60	102	56	64	66	72	97	47	56	49	70	68	75	85	76	72	62	66	63	56	49	52	52	52
60	106	62	61	61	69	91	46	50	73	62	64	75	80	45	75	54	61	63	63	47	62	51	51
59	110	56	69	65	70	68	48	55	76	70	64	73	83	74	71	57	63	64	67	46	61	50	48
60	103	58	63	64	69	86	52	53	73	70	69	47	83	73	77	56	56	62	62	43	64	51	52
60	103	58	68	64	70	88	50	58	77	71	65	47	82	74	77	58	64	62	64	49	63	55	42
60	105	57	67	67	69	91	39	54	73	65	67	76	62	75	68	58	58	62	61	57	63	56	51
60	110	28	66	62	70	93	43	57	63	70	62	73	85	75	69	53	64	63	66	44	62	47	54
62	110	55	55	64	69	96	49	59	75	68	68	74	89	61	81	63	60	61	60	47	33	51	55
52	97	59	67	55	70	97	45	30	74	67	62	75	73	72	76	58	58	62	65	47	58	59	48
61	110	59	64	65	74	92	44	51	77	68	67	76	62	64	78	61	62	65	63	46	58	53	54
58	101	55	70	64	68	95	48	49	71	66	64	75	82	78	49	58	62	62	66	42	62	55	50
37	106	56	67	66	69	87	44	58	72	66	64	75	83	68	75	43	48	60	64	46	60	53	50
58	107	61	68	63	68	88	36	58	75	66	61	74	84	70	62	58	55	62	58	55	58	46	28
59	105	63	64	65	71	92	17	58	74	71	63	73	77	64	77	58	57	62	60	46	59	48	51
55	105	59	66	57	72	99	43	57	77	68	62	69	91	68	66	48	60	35	65	62	64	53	44
60	106	51	66	62	64	93	42	56	75	66	64	74	85	72	68	59	57	60	66	25	61	59	48
62	102	60	71	66	71	68	49	56	75	70	65	74	74	73	78	59	62	65	66	44	63	55	51
60	96	60	68	63	68	91	47	54	76	65	56	75	86	71	70	31	65	61	64	47	60	57	49
52	111	61	69	56	69	96	46	55	75	71	67	74	81	73	69	51	64	67	60	25	63	50	57
58	108	59	64	61	71	94	44	59	76	69	66	71	77	73	65	31	64	62	62	45	56	55	54
59	105	56	66	61	70	89	45	55	49	70	61	69	81	67	73	59	62	62	67	44	59	49	51
54	103	49	70	65	45	94	47	54	76	66	64	76	83	75	67	53	52	64	58	40	59	47	47
60	102	59	67	64	63	93	46	55	49	70	63	75	84	76	75	57	64	65	65	45	57	55	52
