M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
29	29	51	30	30	36	25	43	38	35	36	29	38	25	44	44	36	36	38	31	40	41	53	44
23	32	52	30	30	34	27	45	30	36	44	41	38	30	47	55	35	43	48	37	42	41	58	43
29	30	52	34	30	40	27	42	30	37	46	29	39	24	49	45	36	36	39	32	41	41	48	43
23	28	47	33	33	36	27	43	29	36	34	43	45	23	47	45	37	38	39	32	55	39	47	42
28	29	51	32	32	34	27	45	30	35	43	39	36	25	44	44	36	36	40	31	37	43	47	43
29	28	53	40	37	37	30	43	31	37	34	45	43	32	46	52	37	45	46	37	37	42	53	44
31	29	49	35	30	39	30	41	31	32	30	42	34	24	48	44	41	38	37	31	57	45	50	35
30	29	43	34	31	30	26	41	29	44	29	38	33	25	47	45	34	41	39	35	54	48	41	40
29	26	51	34	28	35	33	44	31	36	34	41	37	25	47	46	39	39	44	32	37	43	49	44
28	27	47	34	29	39	28	47	29	36	29	37	26	24	49	48	38	38	37	33	40	40	46	40
30	29	49	32	31	37	14	46	29	36	34	42	37	23	47	44	38	37	38	31	40	43	48	42
28	38	49	38	32	38	27	44	29	37	28	42	37	25	54	44	38	37	42	32	40	41	48	44
29	33	53	38	30	41	27	42	29	45	35	29	38	28	48	46	43	45	41	30	43	43	58	45
28	28	52	33	29	37	25	41	30	37	40	45	39	25	49	44	35	35	37	29	69	32	48	42
29	37	50	38	31	25	27	42	30	37	34	46	36	25	49	44	39	39	46	31	58	49	48	42
29	28	48	33	28	35	29	41	42	38	29	38	34	25	47	45	34	36	35	32	38	43	47	44
31	30	54	34	31	38	27	43	30	37	34	42	34	25	50	44	41	37	38	30	52	32	48	43
30	29	62	33	30	42	27	43	30	36	41	39	36	25	49	32	39	38	40	32	39	40	46	42
31	30	47	31	41	36	28	32	31	36	34	43	36	23	47	41	38	38	36	29	55	44	47	42
31	27	58	34	29	37	28	43	31	42	34	42	37	28	48	43	29	38	38	31	38	43	46	42
29	30	50	34	36	35	28	43	30	38	46	52	41	24	46	44	39	38	40	22	40	44	47	42
29	26	53	33	32	39	27	45	32	37	34	45	38	25	47	43	38	32	39	32	42	42	50	43
29	27	51	31	30	38	29	42	30	36	34	50	40	24	44	44	35	37	38	32	52	32	46	43
28	26	51	33	32	41	28	45	29	36	38	43	36	26	47	44	37	32	37	32	44	41	49	43
29	29	50	30	31	47	26	42	28	37	33	42	36	25	48	43	38	32	38	31	41	42	48	44
35	31	49	33	37	39	27	32	29	43	34	41	37	25	47	47	37	40	39	41	40	43	63	44
28	29	50	32	31	39	28	43	31	39	35	46	36	27	49	43	37	37	39	30	69	32	52	42
31	30	59	33	31	36	26	40	29	37	33	41	26	25	45	45	38	37	38	31	52	39	48	42
29	28	46	34	33	35	29	42	29	37	43	40	37	25	46	46	37	36	39	32	37	41	47	43
35	31	52	31	33	35	26	50	31	39	37	51	38	25	45	46	29	37	40	35	37	43	49	44
28	32	48	35	32	45	27	44	29	37	34	43	38	25	49	32	38	40	39	32	40	43	50	41
32	34	50	34	33	41	27	42	31	36	35	40	38	25	46	45	37	37	39	40	37	42	48	43
28	20	47	33	37	35	27	44	31	38	35	41	38	25	47	45	38	37	39	32	41	43	47	42
29	29	50	30	30	37	27	42	29	46	38	49	36	25	35	43	38	39	37	31	41	42	50	42
28	20	49	34	32	41	29	43	31	37	34	39	37	25	54	47	36	47	39	31	39	42	49	51
28	29	47	33	33	35	27	44	30	37	28	39	38	25	45	47	36	36	39	32	61	40	45	42
43	30	49	21	33	36	27	44	31	37	34	41	37	25	46	46	39	39	39	32	52	44	47	45
