M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.81	2.81000000000038	2.81	2.81	2.80999999999986	30.9710757683486	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.80999999999986	35.067054993524	2.81	2.80999999999986	2.81000000000125	2.81	2.80999999999986	2.80999999998671	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999986	2.80999999999993	2.81	2.80999999999986	2.80999999999993	2.81	52.7862881095793	2.80999999999993	2.81	2.80999999999986	2.80999999998671	2.80999999999993	2.81	2.81	2.80999999999968	2.81	2.81	2.81	2.81
2.81	2.80999999999986	2.81	2.81	2.80999999999921	2.81	2.81	2.80999999999986	2.81	2.80999999999968	2.80999999999986	2.81	2.81	2.81	27.1544623043066	2.81	2.81	2.81000000000015	2.81	2.81000000000109
2.81	2.80999999999986	2.8099999999982	2.81	2.8099999999993	2.80999999999968	2.81000000000014	2.80999999999986	2.81	2.80999999999875	2.80999999999986	2.81	2.81	26.8053291635319	2.81	2.81000000000009	2.81	2.81	2.81000000000117	2.81000000000015
2.81	2.80999999999986	2.80999999999993	32.4417133854347	2.80999999999986	2.81	2.81	2.80999999999986	2.80999999999993	2.81	2.81	2.81000000000041	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999986	2.80999999999993	2.81	2.80999999999986	35.067054993524	2.81	2.80999999999986	2.81	2.81	2.81000000000039	2.81	2.80999999999993	2.81	2.81	2.81	2.80999999999993	2.81	2.80999999999993	2.81
2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.81	2.80999999999945	2.81	2.81	2.81	27.1544623043066	2.81	2.81	2.81000000000202	2.81	2.81
2.81	2.81	2.81	2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.81	72.6016183472235	2.80999999998671	2.81	2.81	2.81	2.81	2.81	2.80999999999968	2.81	2.81
2.81	2.80999999999986	2.81	2.81	2.81000000000109	2.81	2.81	2.80999999999986	2.81	2.81	2.80999999999986	30.9710757683486	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
