M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
22	26	23	21	24	20	23	21	23	22	23	9	23	19	20	20	24	19	19	21
24	25	22	22	24	8	21	22	12	21	22	25	22	18	20	22	24	18	19	21
27	26	24	21	27	23	19	17	28	23	23	27	27	18	18	20	16	16	18	18
26	26	23	22	22	19	22	23	26	19	21	24	23	19	9	21	24	16	23	17
24	26	21	22	22	20	20	25	28	19	21	21	21	9	21	21	23	21	20	16
26	27	24	10	25	18	21	25	28	23	22	20	21	21	20	23	16	21	21	21
27	27	26	24	26	8	22	25	14	23	18	24	24	21	22	23	23	21	21	21
26	28	22	21	23	21	22	23	14	22	20	20	23	19	9	20	19	13	19	21
25	27	22	22	24	21	22	24	26	21	12	30	23	19	21	21	20	19	19	19
27	26	21	21	20	21	21	22	19	21	22	9	22	20	19	19	17	21	23	18
22	28	24	22	24	19	22	24	27	21	24	25	17	20	22	23	25	19	10	20
26	25	23	22	23	20	21	17	23	21	21	25	24	19	19	21	16	16	21	20
25	24	22	22	22	8	24	21	19	21	21	23	17	18	19	17	14	18	20	18
24	26	24	22	20	21	11	22	26	21	19	24	23	19	20	21	24	19	19	18
15	26	23	22	24	21	22	23	26	21	26	22	23	19	20	21	24	18	18	21
25	28	25	21	26	17	24	23	6	23	24	25	23	19	22	22	14	21	21	22
26	29	24	24	24	17	11	25	27	23	22	25	21	21	23	23	22	21	20	14
24	26	25	22	24	22	22	25	27	19	23	27	23	20	23	23	24	21	10	16
27	23	25	24	26	22	24	17	28	23	24	30	25	18	22	22	14	16	21	22
24	27	23	22	24	22	21	24	26	21	12	28	23	19	20	21	23	19	19	19
24	25	24	10	24	15	19	24	16	21	20	24	23	18	13	20	15	18	23	21
26	26	23	22	24	18	21	23	6	21	19	24	23	14	18	21	23	19	19	20
26	27	25	19	26	25	24	25	28	9	22	26	24	18	21	23	25	21	21	22
24	26	23	22	12	17	22	23	26	19	22	22	24	20	20	21	24	19	22	19
23	28	22	22	23	8	20	23	26	21	22	24	23	19	20	20	23	19	19	20
27	27	25	24	27	23	11	25	26	23	23	24	22	15	22	23	25	21	21	22
27	23	26	24	25	23	23	17	21	23	25	32	24	21	22	23	27	21	26	22
26	27	23	22	24	18	21	23	26	21	22	24	21	19	21	21	7	19	19	19
24	26	22	22	23	20	19	22	15	21	21	23	23	18	19	21	7	19	19	23
25	26	23	20	23	20	23	23	24	22	19	24	23	20	20	12	17	16	19	20
21	25	22	16	24	18	23	26	26	21	21	9	23	17	16	21	19	19	21	19
27	26	25	20	26	23	25	27	20	21	12	31	25	21	22	23	25	20	21	20
22	22	23	21	24	19	21	23	26	21	21	26	23	19	20	21	16	9	19	22
23	18	23	22	24	22	20	23	26	21	22	25	26	19	21	20	24	19	19	21
23	26	24	16	26	23	19	23	28	21	19	26	22	19	22	24	25	21	10	19
22	25	23	22	22	21	21	24	15	21	21	24	23	19	20	12	16	19	19	20
25	26	23	22	24	19	21	24	26	21	22	9	21	19	20	21	22	18	18	21
24	27	25	21	23	20	23	24	19	22	22	23	23	19	20	21	7	19	23	19
25	24	20	20	24	21	22	23	19	21	21	25	21	19	20	21	22	19	17	5
15	30	20	17	25	21	23	25	21	23	25	28	22	15	21	23	20	21	21	22
25	26	11	16	24	25	20	23	26	20	21	26	22	19	20	22	24	16	19	21
26	29	24	24	28	24	24	22	18	9	24	25	20	22	22	23	23	16	21	23
24	26	23	22	23	21	23	25	26	21	12	24	26	19	20	21	21	19	19	19
15	31	21	24	27	27	24	27	23	23	25	28	24	15	23	25	20	18	27	26
24	29	25	24	26	21	26	25	24	23	25	27	8	21	21	23	26	15	24	19
23	26	22	22	26	21	21	22	21	21	22	24	22	9	19	19	16	19	20	23
15	27	26	24	26	22	20	23	19	21	22	25	22	19	19	22	15	18	21	22
21	24	24	23	20	20	11	21	26	21	21	27	24	20	20	17	20	20	19	21
22	25	22	21	24	19	22	23	17	21	22	23	23	17	20	21	7	19	18	20
24	26	23	22	23	19	22	17	23	21	19	30	25	19	15	21	23	18	19	20
24	25	25	22	23	19	20	22	19	21	21	24	22	18	19	22	7	18	19	21
21	25	23	22	24	16	20	23	26	21	23	27	23	17	16	21	22	9	19	16
26	27	24	10	24	23	23	25	28	22	24	26	23	17	21	23	24	15	21	23
15	26	21	26	24	22	24	23	21	23	23	23	21	18	19	25	20	20	19	23
23	26	21	22	22	17	22	23	6	21	22	22	20	19	19	19	24	21	19	17
24	25	22	22	12	20	21	24	26	21	22	24	23	19	20	22	22	19	19	19
25	26	25	24	24	21	20	23	16	21	21	23	8	18	19	20	17	19	23	21
22	26	21	23	22	19	19	23	6	20	20	24	24	19	18	20	19	20	19	21
24	25	23	22	24	21	22	23	26	21	22	24	23	19	20	22	21	21	19	5
24	26	23	22	24	21	22	23	21	21	20	27	20	19	20	19	24	9	17	18
25	27	25	22	24	20	22	23	26	21	12	29	22	19	22	22	20	18	24	17
28	29	25	23	25	22	23	25	28	9	25	23	22	14	23	23	23	21	21	22
25	25	22	19	21	21	21	24	26	22	23	24	20	16	20	18	24	19	15	5
26	26	23	22	24	22	20	23	26	21	23	23	23	19	20	21	23	19	19	5
25	27	22	22	24	20	22	24	26	21	12	27	23	19	20	21	25	19	19	21
22	27	22	18	24	18	22	24	24	20	12	26	26	19	20	20	19	19	23	20
26	26	22	20	26	11	19	25	19	19	22	9	20	17	17	23	16	21	21	18
26	26	23	22	24	21	20	23	14	9	22	24	22	20	20	21	16	19	18	19
26	26	25	24	26	8	19	25	12	23	23	27	23	21	15	20	25	19	18	21
27	28	26	24	27	21	25	25	17	23	24	26	23	22	9	23	25	21	21	24
27	29	26	23	26	23	25	24	28	9	25	26	20	19	23	22	26	21	21	22
23	26	25	22	26	23	22	25	27	21	24	24	16	9	21	24	25	21	21	16
24	26	20	22	23	20	21	24	26	21	12	23	25	19	20	22	24	19	19	21
25	26	25	22	23	18	23	21	19	21	21	9	23	19	20	17	12	19	25	16
26	28	19	19	24	16	17	25	17	23	24	9	24	18	19	17	13	18	21	20
25	26	22	22	24	18	23	24	14	21	22	28	8	20	20	21	18	19	19	20
15	27	22	23	24	18	22	23	26	20	23	25	23	19	21	21	16	16	19	20
26	27	20	25	26	20	26	26	24	23	12	28	28	17	22	23	22	22	22	22
24	26	22	10	24	21	21	23	22	21	22	20	23	21	19	21	25	17	19	20
21	26	24	10	25	15	23	25	25	23	22	24	23	21	13	22	21	20	22	22
24	24	22	21	23	17	24	24	26	21	23	9	23	19	20	21	22	19	22	19
26	29	26	24	26	20	25	27	29	23	23	25	21	16	22	25	27	23	10	23
26	29	27	24	25	25	24	17	21	23	25	27	25	21	21	22	20	15	24	22
25	30	26	23	26	22	24	26	20	21	20	22	24	9	25	19	29	23	25	23
27	27	24	25	26	22	24	26	24	20	24	25	24	21	21	20	14	18	18	5
26	25	22	21	12	17	20	22	26	19	22	24	22	20	19	19	23	18	22	22
24	27	25	20	24	22	22	23	26	22	19	25	20	19	19	12	19	18	19	21
22	26	23	10	24	19	20	23	26	21	22	24	22	19	20	21	24	19	18	20
26	25	24	24	25	22	24	17	24	23	25	23	24	19	20	23	18	20	23	25
22	27	21	22	21	21	22	25	28	21	23	21	23	9	22	23	16	21	21	20
25	25	22	22	21	21	23	24	26	21	21	24	20	16	15	20	22	19	19	5
27	23	22	21	26	25	25	22	28	23	23	28	22	18	19	21	7	22	18	21
28	30	20	20	27	20	21	28	27	20	12	28	25	21	17	23	17	21	21	21
23	28	25	24	12	18	22	25	25	23	21	27	23	19	20	21	22	21	22	22
27	27	25	19	26	18	23	25	6	23	24	27	23	16	20	23	24	21	20	22
23	27	22	10	21	17	21	21	26	18	22	22	21	18	20	18	14	16	18	21
26	28	22	24	20	8	22	25	14	23	24	20	23	22	21	23	25	15	21	21
26	23	24	24	24	17	11	25	28	23	23	24	17	22	21	17	24	21	21	21
25	25	11	22	24	21	21	23	24	21	19	23	20	19	14	21	23	19	14	20
26	26	26	24	24	22	24	17	28	23	24	30	22	20	21	23	24	20	19	16
