M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
43	28	51	29	31	46	36	32	43	32	26	37	43	34	37	31	52	40	51	42
35	28	53	28	32	37	34	26	49	31	24	45	43	34	35	30	51	39	47	41
33	34	49	37	33	48	42	18	39	33	24	44	45	39	44	39	51	43	57	51
31	28	50	30	32	51	35	27	42	31	26	47	43	35	26	33	53	40	59	52
31	30	51	30	31	53	42	29	47	33	25	46	48	25	37	32	52	42	73	43
35	27	50	20	32	45	35	25	40	30	29	51	40	33	36	30	41	38	54	39
30	29	49	28	32	37	32	26	47	32	31	44	41	33	37	30	48	38	47	39
31	28	49	27	31	46	34	24	49	29	25	52	43	32	26	31	43	61	48	41
30	27	48	28	29	45	34	24	44	31	18	45	57	34	37	31	47	38	51	39
30	28	58	29	39	50	35	31	38	39	26	37	42	34	36	36	41	38	53	45
41	31	51	28	32	41	34	29	42	32	25	43	55	34	36	31	49	43	38	39
31	35	62	31	42	55	35	18	44	32	31	45	42	34	38	32	50	43	50	47
34	29	61	30	33	37	34	28	40	31	25	46	54	34	40	37	47	40	51	48
28	28	56	31	40	45	23	27	44	34	30	47	43	38	35	32	53	40	51	46
22	28	48	28	32	45	34	27	45	31	37	45	48	33	35	31	51	41	48	41
33	29	49	37	34	56	35	32	31	33	26	54	43	42	37	37	68	40	50	41
29	28	48	28	33	54	23	26	39	31	30	42	47	33	37	31	46	38	46	48
32	28	49	30	31	48	35	28	41	39	26	46	43	35	39	31	52	40	38	51
35	34	48	28	30	45	32	18	40	32	24	44	40	38	35	29	50	43	47	39
32	28	51	30	32	48	35	27	46	33	18	45	57	35	37	31	50	40	51	41
35	28	56	20	33	49	41	26	44	32	26	47	43	34	45	31	42	39	57	47
33	30	51	30	33	47	41	28	31	33	30	47	43	47	44	32	52	40	50	41
34	29	48	38	30	48	32	26	40	23	23	45	41	39	34	30	51	38	47	39
30	28	48	29	26	43	33	24	44	45	24	46	42	34	38	31	50	38	55	39
41	29	50	30	35	37	36	27	47	33	27	46	44	34	37	31	53	40	51	41
32	29	48	30	32	50	23	29	44	34	27	46	43	40	36	31	49	40	50	41
36	33	49	31	32	50	36	18	46	31	25	47	48	34	37	29	53	40	53	41
