M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	2.81	30.8092374209612	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999986	47.0502356583941	2.81	2.80999999999969	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999977	2.81	2.81	2.80999999999968	2.81	2.81	2.80999999999803	2.81	34.8129367984263	2.80999999999993	2.81
2.81	2.81	2.81	2.81	2.81000000000013	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	50.792199539877	2.81	2.81	2.81	2.81
2.81	67.2918645226059	2.81	2.81	2.80999999999986	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	2.80999999985701	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	2.81	2.81	2.81	30.6543822752429	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999874	2.81	2.81	2.80999999999986	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	2.80999999998671	2.81	2.81	2.81	2.81	2.81	33.6588997733941	2.81	2.81	2.80999999999287
2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	30.2099730313395	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999966	2.81	2.81
2.81	2.80999999999986	2.81	2.81	2.80999999999986	2.81	2.81000000000006	2.81	2.80999999999968	2.81	2.81	31.2669428168981	2.81	2.80999999999986	2.80999999998671	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.80999999999969	2.81	2.80999999999986	2.81	2.80999999999986	2.81	2.81	2.81000000000015	2.81	2.81	2.81	2.81000000000013	2.81	2.81	2.80999999999968	30.6543822752429	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.80999999999986	2.80999999999876	2.81	2.81000000000024	2.81	2.80999999999986	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999986	2.80999999998671	2.81	2.81	2.81	2.81	2.81	2.81	2.81	17.795137328532	2.81
