M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
26	28	22	22	22	23	23	26	21	21	22	24	24	22	26	8	19	20	23	21	18	19	21	20
25	25	11	22	23	22	23	23	23	22	22	25	27	21	23	22	22	22	26	23	21	20	21	22
24	28	22	22	24	20	23	24	21	21	20	23	23	22	27	21	19	20	23	12	23	18	19	20
25	18	23	22	24	24	22	25	21	22	24	22	23	22	25	26	20	20	24	21	20	19	19	19
25	25	23	22	24	20	23	26	21	20	22	21	22	22	23	23	19	10	23	22	24	19	18	20
25	25	23	23	25	23	25	25	22	24	22	24	23	23	27	22	20	22	25	23	14	22	21	21
26	26	22	18	23	22	23	26	21	21	22	24	20	22	12	27	19	20	24	20	18	18	21	21
23	29	24	22	23	23	25	20	18	22	24	13	24	23	26	23	19	21	26	23	18	20	21	22
26	26	20	22	24	20	23	25	21	21	24	22	24	22	24	22	20	10	24	22	20	19	19	20
24	27	21	21	22	21	23	25	21	20	19	23	23	21	25	19	19	20	23	20	24	19	9	22
15	27	23	22	25	23	24	25	22	20	22	24	20	23	25	24	18	21	24	21	15	19	19	20
24	26	23	22	24	22	23	26	21	21	21	24	23	23	25	8	19	20	25	20	23	18	19	20
25	25	22	22	22	22	23	26	21	20	24	22	23	21	19	22	19	20	19	19	16	7	17	20
20	25	22	22	24	22	26	26	21	13	23	22	23	22	20	27	19	20	22	21	24	19	19	21
15	28	22	22	24	22	24	23	23	20	23	22	25	26	24	23	19	20	27	21	24	19	21	21
27	28	24	21	26	22	25	25	9	22	25	26	24	22	27	18	21	22	25	20	14	21	19	22
24	30	26	26	24	21	27	5	25	25	25	26	26	24	23	23	23	23	23	24	21	19	24	23
28	27	23	21	25	11	25	28	21	19	21	26	19	20	26	26	21	19	26	20	17	21	23	21
24	27	22	22	24	20	24	26	21	20	24	23	20	21	27	24	19	20	23	21	18	18	19	7
21	26	22	22	24	21	23	26	21	23	23	25	22	23	12	25	19	20	24	21	21	19	18	20
22	24	21	22	24	21	23	26	21	21	23	24	23	22	27	23	19	20	11	21	18	17	19	20
25	30	22	10	24	23	23	14	21	23	22	23	22	24	24	24	21	22	25	21	24	19	21	20
25	29	24	16	24	26	26	26	18	24	24	13	23	21	26	23	19	21	25	23	14	21	21	21
27	26	22	22	24	22	24	17	23	23	22	24	22	20	19	23	10	18	26	17	10	21	25	23
25	26	24	22	20	21	27	25	23	13	22	23	24	23	22	21	20	22	25	23	17	19	21	21
26	30	25	21	25	22	25	28	24	21	25	26	10	23	29	23	15	22	25	23	26	21	21	23
15	28	21	23	26	21	24	28	23	19	26	21	23	23	25	23	21	19	23	23	20	15	21	22
23	26	23	22	23	21	24	26	21	21	24	23	23	23	27	23	19	20	24	21	17	7	17	19
25	27	24	24	26	22	27	21	23	24	24	24	25	15	30	27	19	22	25	23	27	20	20	22
26	27	22	23	24	21	17	17	22	23	22	23	22	21	27	24	19	19	26	21	23	20	20	20
28	18	25	24	26	23	24	26	21	24	23	24	24	23	29	19	21	22	25	23	25	21	21	15
26	28	26	24	12	25	25	28	23	21	22	24	27	23	26	23	16	22	26	23	24	21	21	22
19	28	25	24	25	11	25	26	23	21	20	25	26	23	26	21	21	15	19	22	25	21	21	20
24	28	24	23	25	22	25	23	20	23	20	24	23	22	21	23	20	22	24	20	14	21	22	22
22	25	25	20	24	25	22	25	23	20	23	25	24	21	22	24	10	22	22	23	23	19	19	18
15	27	24	22	23	21	23	26	21	21	23	22	23	21	23	23	19	17	23	21	24	19	19	19
22	25	22	22	24	22	25	12	21	13	23	22	20	22	26	26	17	21	24	21	19	17	19	19
21	25	11	22	24	20	23	26	21	20	24	22	22	21	21	22	19	20	24	21	24	17	19	18
26	27	18	22	26	21	25	28	20	22	21	24	24	24	26	22	17	20	24	21	21	7	21	22
25	26	20	22	24	20	23	26	21	23	18	22	22	22	25	23	19	16	24	12	25	19	19	22
26	28	26	24	26	25	26	25	24	24	25	25	27	15	27	26	20	22	26	23	17	21	25	21
27	29	25	24	22	11	23	22	23	23	26	26	26	24	28	19	21	19	25	23	25	20	21	14
26	27	23	22	22	20	24	23	9	23	24	24	21	22	24	24	19	21	23	21	20	19	21	16
26	28	25	24	25	21	26	5	23	23	22	22	21	22	25	23	21	21	24	23	23	21	21	22
27	31	26	23	24	25	26	29	21	22	24	23	22	25	27	24	21	20	25	21	20	19	21	7
26	27	26	24	26	22	27	28	23	24	24	24	24	15	27	24	21	22	28	23	24	20	21	23
24	26	22	10	26	24	23	24	19	22	22	22	23	21	23	22	21	20	26	23	25	21	20	22
21	27	22	22	24	23	22	27	21	22	24	22	25	22	24	24	17	19	24	21	17	19	19	7
24	26	11	24	23	22	25	25	21	20	24	24	24	22	24	21	21	21	27	19	22	20	22	22
25	29	24	22	12	21	24	26	21	20	23	23	20	22	26	24	19	17	24	21	22	19	18	20
25	25	23	22	24	22	24	26	21	20	24	22	20	22	27	25	19	20	21	21	23	7	19	19
22	26	24	22	27	24	23	28	21	25	23	13	23	25	28	18	19	22	22	23	24	19	21	20
25	27	25	16	24	21	25	25	21	21	24	25	25	21	23	23	21	22	26	23	25	21	21	7
23	22	21	10	23	21	19	19	21	19	20	23	24	22	22	21	20	19	23	21	16	18	18	20
25	26	24	22	24	19	23	19	21	19	20	22	25	21	23	22	19	21	21	12	24	19	19	19
26	18	25	24	26	23	25	28	23	23	25	24	26	24	25	25	16	20	25	23	26	21	21	22
25	30	24	24	20	26	27	29	23	26	26	13	26	23	28	26	19	21	28	25	11	24	24	22
27	18	24	24	25	24	25	21	23	24	25	24	25	20	27	26	20	16	24	21	20	21	21	15
26	26	24	24	26	24	22	5	22	23	24	25	23	21	24	21	21	20	22	21	21	19	22	19
26	29	25	10	25	24	20	21	23	23	25	25	25	25	27	18	17	16	25	23	26	21	24	23
28	27	22	24	21	22	24	15	23	19	23	20	22	23	25	21	18	21	23	22	15	18	9	25
24	25	23	22	21	11	23	26	21	19	22	22	24	22	28	24	19	19	23	21	19	19	19	20
25	18	24	25	26	26	26	24	23	23	22	28	25	25	24	29	22	21	27	23	26	21	21	22
21	25	25	23	25	20	23	26	22	19	23	23	24	22	21	24	20	20	24	21	21	19	19	7
24	29	24	23	24	26	25	25	22	23	20	24	22	23	24	17	19	22	20	22	14	19	20	22
26	27	24	22	12	23	25	16	23	22	25	23	19	24	24	24	21	22	24	23	26	18	21	23
15	29	24	21	25	24	25	21	23	24	23	22	20	25	27	23	21	22	27	23	15	21	21	24
28	22	21	24	27	22	22	28	9	21	26	25	24	23	24	26	18	22	26	23	25	21	17	22
28	25	26	24	26	24	25	19	21	22	22	26	24	24	22	21	18	10	25	22	15	21	21	21
22	23	22	22	24	22	23	26	21	19	23	22	24	22	22	21	10	20	23	21	22	19	19	20
25	26	22	22	25	21	23	26	21	21	23	23	19	22	23	22	19	19	24	12	23	19	18	20
22	26	22	22	24	20	23	24	21	20	23	22	22	18	23	23	19	20	21	12	21	19	18	20
23	26	24	22	22	19	24	26	19	21	24	19	24	22	25	24	19	20	11	21	22	18	19	21
25	27	22	22	20	21	24	26	21	21	24	21	22	22	27	24	19	21	11	21	23	18	19	20
29	29	27	24	25	22	27	27	25	21	20	26	20	23	26	23	24	10	25	22	23	23	22	19
25	22	22	23	23	21	23	26	9	20	23	22	23	22	22	23	19	20	21	21	21	20	19	20
22	26	19	22	25	23	17	26	21	21	24	26	24	23	29	23	19	20	24	21	25	20	19	19
26	28	25	24	24	23	26	28	23	23	24	25	22	24	22	24	20	22	28	12	28	21	21	21
28	27	11	24	26	24	25	28	20	22	19	20	24	22	25	23	21	22	25	20	26	21	21	20
15	28	26	24	24	24	26	27	23	24	25	28	24	24	25	24	20	22	24	22	26	20	28	16
25	26	23	22	24	20	22	19	21	19	21	22	24	21	26	22	19	19	22	12	24	19	22	15
25	26	19	22	22	18	25	25	18	13	23	26	23	22	26	27	19	20	25	19	24	19	19	20
25	26	22	20	21	20	23	24	21	17	19	22	23	21	25	23	10	17	20	21	22	14	19	19
24	29	24	24	26	22	25	26	23	13	23	22	18	24	31	30	21	20	24	23	25	18	21	22
26	28	24	24	26	23	26	24	23	24	21	26	24	25	29	8	21	15	23	23	26	21	20	21
25	26	23	22	24	22	22	24	21	20	24	22	20	21	24	24	19	10	21	21	24	19	19	20
15	27	21	22	24	23	24	26	20	20	22	23	21	21	23	22	19	17	23	21	19	18	18	20
27	27	26	24	22	23	25	29	23	20	20	22	24	19	22	23	10	22	23	23	16	21	21	22
25	28	24	24	26	26	21	27	25	25	26	27	25	25	27	20	23	16	28	23	24	23	9	20
24	26	22	22	24	22	17	26	21	21	25	25	24	22	28	24	19	16	25	21	17	20	20	15
26	28	24	22	22	18	25	27	23	21	24	20	20	23	26	23	21	10	24	23	25	21	21	21
25	25	24	22	23	19	24	15	21	19	22	26	21	23	27	22	19	19	22	12	16	18	23	21
15	29	20	17	26	21	24	28	23	22	22	25	24	24	25	22	21	23	23	23	16	21	21	22
30	28	25	24	25	26	27	5	26	24	27	26	25	24	20	21	22	15	25	20	24	23	17	17
25	29	24	24	25	24	25	28	23	25	23	24	24	23	27	8	17	22	24	17	24	20	21	22
26	26	25	21	22	21	23	28	21	21	18	25	23	21	26	8	18	17	28	20	26	21	21	22
25	27	11	22	22	22	24	18	21	20	23	24	23	21	19	21	19	20	23	21	24	19	16	21
27	31	25	25	23	22	17	27	21	25	23	23	25	21	30	25	18	19	26	22	26	19	22	22
27	26	23	24	25	23	24	28	9	22	25	24	24	24	28	25	19	22	23	24	14	21	20	22
26	28	24	24	12	22	25	14	23	22	17	24	22	23	27	23	21	21	24	23	18	21	23	22
