M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
34	30	49	30	33	36	27	44	31	35	41	39	35	25	45	29	36	37	38	32	45	41	60	39
32	29	36	30	33	33	28	43	32	35	39	36	35	26	48	40	37	35	36	30	51	59	47	39
33	28	50	30	36	35	28	43	34	43	37	42	41	24	45	46	33	37	39	22	48	41	47	39
36	20	50	30	34	37	34	45	32	39	36	45	41	27	45	43	36	38	38	32	48	40	51	41
32	29	49	30	30	34	28	46	32	37	36	39	38	34	46	45	35	31	40	31	51	40	49	41
29	35	48	28	35	32	27	45	32	34	32	37	35	25	46	47	35	38	37	33	36	40	50	42
30	29	48	38	32	35	24	44	29	35	34	41	38	25	33	44	32	35	45	31	45	40	58	45
33	29	52	29	31	33	27	40	39	36	33	28	36	24	45	40	33	35	38	32	43	39	49	48
36	30	63	30	33	37	27	45	32	35	37	37	42	26	44	43	36	31	39	31	49	41	53	41
30	30	78	27	33	35	28	46	33	35	42	38	36	24	44	48	35	35	39	29	50	40	41	42
22	28	54	30	35	36	28	46	33	37	35	40	45	27	46	51	41	41	44	32	46	41	51	41
30	36	49	28	33	33	26	44	31	35	35	40	36	25	46	29	33	36	37	31	48	39	48	39
28	25	52	28	28	35	23	42	29	35	36	39	38	22	62	38	32	34	51	38	55	30	52	37
44	29	50	28	34	35	27	44	32	24	34	37	35	25	45	41	35	35	37	29	50	38	47	39
22	30	51	30	34	36	28	44	33	37	36	39	38	37	46	48	35	38	38	32	52	40	50	41
32	28	49	37	33	34	27	45	25	36	35	38	37	26	47	52	35	38	38	36	68	40	55	40
32	31	52	31	46	35	28	30	35	37	40	39	35	25	46	48	36	38	41	31	48	40	51	40
28	25	53	29	26	23	23	38	30	35	35	37	48	25	44	41	31	36	37	30	41	38	54	46
31	28	48	28	30	35	27	45	30	35	33	39	57	24	45	41	34	35	40	31	43	41	48	35
45	33	50	30	31	35	27	43	32	35	34	38	37	25	33	40	33	35	38	30	48	39	49	39
34	28	50	28	34	32	25	43	32	34	34	38	36	24	46	41	33	36	23	31	44	45	48	39
33	30	51	20	32	32	26	50	32	34	39	43	40	25	47	45	33	36	37	32	48	40	47	41
29	29	50	38	29	33	27	44	37	34	37	28	43	31	45	42	33	38	40	31	54	39	48	39
29	27	54	32	33	34	26	43	31	36	35	41	36	26	54	41	30	39	37	37	60	39	55	47
32	27	47	28	40	34	26	44	32	24	37	39	41	24	53	52	33	36	38	30	47	42	47	39
35	27	47	29	31	32	25	40	30	35	33	37	26	23	46	42	40	35	36	29	49	39	47	40
22	26	59	31	26	37	24	38	29	33	35	46	36	21	45	38	32	34	40	26	41	40	60	43
31	27	49	28	29	33	27	44	41	33	34	37	38	25	45	41	33	35	37	30	49	30	55	40
35	28	47	28	30	37	30	42	31	42	34	36	35	17	44	43	37	35	36	30	50	41	46	39
32	29	49	32	33	37	15	43	34	38	41	45	42	25	48	41	34	34	52	33	50	39	48	39
31	20	58	30	35	34	28	46	33	35	36	40	38	27	48	56	35	38	47	32	50	41	49	48
33	27	48	28	26	32	26	40	32	34	35	35	34	26	45	42	42	36	37	29	48	38	50	39
41	27	47	28	30	23	26	45	31	34	39	36	35	26	45	42	33	44	46	29	52	38	47	41
33	30	49	30	29	40	26	49	31	32	35	36	33	26	46	44	34	37	51	32	36	47	49	44
37	27	47	31	31	32	27	48	31	46	34	37	35	24	48	41	30	35	41	30	50	38	48	44
22	28	51	31	40	35	25	46	30	35	35	38	37	25	45	41	36	48	42	33	53	40	51	41
30	28	50	28	33	34	28	49	31	24	34	35	42	23	43	40	37	37	38	32	48	41	48	39
40	29	36	28	31	33	25	44	30	35	35	36	36	24	48	39	38	35	38	29	50	40	48	44
31	28	66	29	30	33	25	39	32	34	34	35	35	25	46	43	41	38	37	29	51	30	46	39
31	29	74	30	34	35	27	45	32	43	43	42	38	27	46	44	35	45	43	22	54	40	51	42
33	27	57	28	30	32	25	41	33	40	33	38	36	17	43	42	34	35	36	31	53	38	48	39
32	29	50	30	39	23	32	44	33	35	35	39	37	26	46	54	34	42	38	32	52	39	50	48
31	29	50	30	41	42	27	43	25	37	34	42	47	27	45	43	35	38	41	32	49	40	47	56
34	28	47	30	34	57	27	30	32	34	39	48	45	27	45	43	33	38	37	30	48	40	47	39
31	28	47	27	46	33	26	41	34	36	38	43	39	25	47	42	32	39	39	30	48	40	47	35
31	27	60	30	37	42	29	46	34	36	37	38	38	17	46	47	34	37	45	30	48	40	47	41
31	28	49	20	31	32	28	43	33	34	34	38	37	25	44	45	33	36	35	30	50	38	69	39
40	28	50	30	34	36	27	46	32	37	36	40	39	26	47	45	37	37	39	32	51	40	51	35
32	27	36	29	33	34	26	43	31	34	38	41	37	24	44	40	34	37	37	31	48	59	49	40
29	28	51	28	26	33	25	44	32	36	34	37	51	24	44	41	35	46	37	31	50	41	49	39
29	29	49	28	32	34	25	44	41	34	35	37	41	24	45	42	33	35	39	30	48	30	48	43
29	30	49	28	33	34	32	43	38	37	35	28	37	26	46	56	33	36	47	30	49	48	48	39
32	28	48	48	39	34	26	47	32	38	38	36	35	25	46	43	34	35	36	29	50	38	46	35
31	33	57	20	32	35	33	40	33	37	35	39	40	26	45	47	35	36	39	32	44	39	49	40
35	28	60	30	31	35	34	40	31	35	35	40	38	25	47	46	38	37	49	22	52	40	51	39
36	20	50	30	31	35	28	46	33	39	35	38	38	27	45	43	43	40	38	31	49	40	50	41
29	27	47	28	34	35	24	41	27	36	35	28	38	22	45	41	40	32	39	28	58	37	47	37
