M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
63	79	71	89	72	60	83	73	63	66	66	48	60	67	71	67	64	72	57	76
64	81	71	90	80	62	77	70	66	66	71	54	58	67	67	69	68	60	57	76
63	84	64	89	79	62	74	72	63	66	66	51	55	67	76	68	69	72	57	76
61	84	69	90	75	60	83	70	66	66	69	48	60	67	66	68	70	70	67	76
64	84	71	89	75	57	79	70	63	65	68	48	57	67	71	67	62	72	59	76
64	76	71	89	75	62	75	72	63	56	64	54	60	66	71	69	70	66	59	70
64	79	71	90	79	62	83	70	63	66	72	48	60	67	68	72	68	69	57	72
62	84	71	85	80	62	74	80	63	66	71	51	60	67	71	68	69	72	57	74
62	79	71	84	75	60	83	68	64	56	71	45	60	67	76	66	68	70	55	76
64	84	71	89	75	59	83	70	52	75	72	56	60	67	71	69	68	69	58	72
63	84	71	85	79	62	77	70	63	66	69	54	62	66	71	69	64	72	57	76
63	84	71	89	79	62	75	70	65	66	65	56	56	67	71	69	69	70	53	76
64	81	64	90	75	62	77	70	63	64	71	48	60	67	66	68	65	71	57	74
58	84	71	89	75	57	83	70	63	65	69	54	60	67	71	71	68	69	59	76
63	84	71	90	75	62	83	70	63	63	69	54	60	67	76	67	67	60	57	76
61	84	71	89	75	60	76	70	66	66	71	56	60	65	71	69	67	72	57	76
64	84	66	89	75	62	75	73	63	66	71	48	62	68	67	69	69	67	57	76
61	84	71	89	75	62	83	72	64	66	72	54	60	67	71	69	62	68	59	76
62	81	71	85	71	59	78	88	66	66	69	54	60	66	66	69	70	69	67	76
63	75	71	89	75	59	77	70	62	66	71	54	62	67	71	69	68	66	59	76
64	84	71	89	75	62	76	70	66	66	69	48	60	67	71	67	72	72	53	70
63	84	71	90	75	62	84	70	63	66	71	54	60	67	76	69	62	60	54	76
64	79	64	90	75	62	83	80	63	56	69	51	57	66	71	69	68	64	58	76
64	84	71	89	75	62	75	70	63	66	65	54	57	67	66	68	69	69	67	69
62	84	71	89	79	62	78	72	66	66	67	48	57	67	67	69	62	71	57	71
63	84	71	90	75	60	75	70	63	66	66	48	60	67	66	67	69	68	59	76
64	84	71	90	75	60	75	70	62	66	69	54	57	67	71	68	72	60	57	70
63	84	70	85	79	63	83	70	63	66	73	54	57	67	66	69	68	69	56	76
64	84	71	89	75	62	84	73	63	66	72	54	62	69	71	67	53	72	59	76
64	81	63	89	75	62	81	73	64	66	67	48	60	67	71	61	64	69	59	76
64	77	67	85	75	62	75	72	63	65	68	54	57	67	67	68	66	70	59	70
62	84	71	90	80	63	75	70	63	65	68	54	57	67	66	69	69	69	59	75
64	84	71	90	75	56	83	70	63	66	71	56	58	68	66	69	68	70	59	76
61	84	71	89	75	62	81	70	63	65	73	56	57	68	71	69	68	70	59	76
58	84	68	89	75	62	83	80	63	66	73	51	60	67	70	63	53	63	59	76
64	84	71	89	75	59	83	73	63	62	71	54	52	67	66	68	68	72	57	76
63	84	64	86	72	62	83	70	69	66	69	48	60	67	70	67	68	72	58	76
64	84	71	90	79	56	77	70	66	66	69	54	62	58	71	69	68	72	59	76
56	79	71	89	74	62	77	70	63	66	65	49	57	58	71	67	70	72	57	76
