M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
3	4	4	3	6	8	3	2	3	4	11	0	3	4	3	3	5	5	3	2
3	7	4	3	0	3	6	2	4	4	10	2	6	3	6	3	10	9	6	3
6	4	4	3	3	3	3	6	4	4	6	2	3	1	3	4	5	5	3	2
3	4	7	3	5	8	6	0	7	7	10	5	8	3	6	8	4	8	6	3
6	4	4	3	2	2	3	2	3	4	1	2	5	3	3	4	5	4	3	3
1	4	4	3	2	8	4	2	4	4	7	6	3	3	3	4	5	5	6	3
3	4	4	3	3	1	3	2	4	5	6	3	3	3	3	4	10	4	3	3
3	4	4	2	3	3	3	6	4	1	6	2	3	6	3	3	5	5	6	6
6	7	7	6	5	3	3	5	4	4	6	3	0	6	3	3	5	5	3	3
3	4	4	2	2	3	4	3	4	1	7	3	3	3	3	4	5	5	3	6
3	4	3	6	3	3	3	2	4	4	6	0	4	3	3	8	5	5	6	3
6	4	4	6	0	3	4	6	4	4	6	5	4	3	3	3	5	4	3	6
3	7	4	2	2	8	3	2	4	8	8	2	3	6	6	1	4	8	4	3
3	4	4	3	3	3	3	0	4	4	7	2	9	3	3	3	4	5	6	3
1	4	7	2	2	3	3	2	4	4	7	3	4	4	3	4	4	5	3	6
6	4	4	2	2	3	3	2	3	1	6	2	3	3	3	5	5	5	3	3
3	4	4	2	2	8	4	2	4	1	6	6	3	3	6	5	4	4	3	3
3	4	4	3	3	2	4	2	0	8	5	3	3	3	3	4	5	4	6	6
3	4	4	0	2	3	6	2	4	4	6	2	9	6	3	4	5	5	3	3
3	4	4	2	3	3	3	2	3	4	5	2	9	3	4	3	5	5	1	2
6	4	4	2	3	3	4	2	4	1	6	3	3	3	3	3	5	5	3	3
6	7	4	3	6	3	3	2	4	4	6	3	3	3	3	3	4	8	3	0
3	4	4	3	4	8	4	2	4	4	6	0	4	3	3	4	4	4	3	3
3	4	4	2	3	8	4	2	3	4	6	3	3	4	3	4	5	1	3	3
3	4	4	0	2	3	3	2	3	4	6	2	3	3	3	8	5	5	3	3
3	4	4	3	2	3	3	2	4	4	6	2	9	6	3	4	2	5	3	3
3	4	7	3	3	3	3	2	7	4	7	6	3	3	3	1	10	8	3	3
3	7	4	0	4	3	6	2	3	4	6	2	3	3	3	3	10	4	3	6
3	4	4	3	0	8	3	2	4	5	5	3	3	3	3	3	5	8	3	3
3	4	4	3	3	3	4	2	3	7	6	0	3	4	3	8	4	8	6	3
6	4	4	3	3	3	3	2	3	8	7	2	3	3	3	3	5	4	3	0
3	4	4	3	3	3	3	2	3	4	5	3	9	3	1	4	4	5	3	3
1	4	4	2	2	3	3	2	4	4	6	2	10	3	3	4	4	5	3	3
3	4	4	3	3	3	6	6	4	4	7	2	3	4	6	4	2	8	3	3
3	4	4	6	2	8	3	2	4	5	6	2	0	3	3	4	5	5	3	3
3	4	7	6	6	3	4	2	7	4	9	0	3	4	6	3	10	5	6	3
3	4	4	3	2	3	6	2	4	4	6	2	9	1	3	3	4	5	3	3
6	4	4	2	3	3	6	2	4	4	7	3	3	1	3	4	4	5	3	2
3	4	4	0	2	8	6	5	7	4	10	6	3	3	3	8	5	8	6	6
3	4	4	2	2	1	3	3	4	4	6	2	3	3	3	4	10	4	3	2
3	4	1	2	2	8	6	2	3	4	10	6	8	3	3	3	5	5	6	3
3	7	4	6	2	3	3	3	8	4	6	2	3	3	3	4	10	5	3	0
3	4	4	2	5	2	6	2	6	4	1	2	3	6	6	8	10	8	6	3
3	4	4	2	2	3	3	2	4	4	6	0	3	3	3	5	10	5	3	3
3	4	4	3	6	3	6	0	4	4	6	2	4	4	3	3	10	5	6	3
1	4	4	3	3	3	3	6	4	4	6	2	3	3	3	4	5	5	3	6
3	4	7	2	2	8	6	2	4	8	9	2	3	6	6	8	2	8	3	6
6	4	4	2	2	3	3	3	3	4	6	0	3	3	3	5	5	4	3	3
6	7	7	2	3	2	3	5	0	8	6	3	8	3	3	8	5	5	3	6
6	4	4	2	2	3	1	2	3	8	7	2	3	3	3	3	4	4	3	3
3	4	4	2	5	3	3	5	7	8	6	3	3	6	3	8	2	8	3	3
3	4	4	3	3	3	4	2	4	4	6	3	10	3	3	1	5	5	3	2
6	4	4	2	2	2	3	2	4	5	6	2	3	3	3	4	5	1	3	3
3	4	4	6	5	8	3	2	7	8	6	2	3	6	1	8	5	5	3	6
3	7	4	2	3	3	3	2	0	4	6	2	3	3	3	8	4	5	3	2
3	7	7	6	6	8	4	5	4	4	9	5	8	3	3	8	2	5	6	6
6	4	4	2	2	2	6	2	7	8	1	3	3	3	3	3	5	5	3	6
6	4	4	2	2	3	4	5	3	8	6	2	0	4	3	8	5	5	6	3
3	4	4	3	2	1	3	2	4	8	9	5	3	6	6	4	4	8	3	6
3	4	4	2	3	8	3	2	4	4	1	2	3	3	3	8	4	4	3	3
6	7	4	6	6	1	6	2	7	4	6	6	8	3	6	3	5	4	6	3
3	4	4	2	3	3	6	0	4	4	6	3	3	3	3	8	5	5	3	3
3	4	4	2	0	3	3	2	4	4	6	3	3	6	3	8	4	5	4	3
3	4	4	3	2	8	4	3	7	4	6	2	0	3	3	4	4	5	3	3
3	4	7	3	6	8	4	2	4	4	6	3	4	3	3	3	5	1	3	2
3	5	4	6	3	3	3	2	4	4	6	0	9	3	3	4	5	5	3	3
