ModelID	Score	BioMassRecognized StoichConsistency	UnboundFlux	MassBalance	ChargeBalance
Soil522	29	0	23.9	33.5	69.3	100	
Soil531	29	0	23.3	27.2	71.5	100
Soil535	NA	NA	NA	NA	NA	NA
Soil538	29	0	24.7	23.5	67.3	100
Soil724D2	29	0	24.1	26.8	71.2	100		
Soil728	31	0	33.5	35.5	73.7	100
Soil736	29	0	19.6	34.9	73.4	100
Soil745	29	0	21.9	27.8	71.4	100
Soil748	29	0	23.6	36.4	74.3	100
Soil750	29	0	24.3	27.2	70.8	100
Soil768D1	29	0	22.0	41.2	70.9	100
Soil772	29	0	21.2	36.6	71.1	100
Soil773	29	0	19.6	39.6	71.0	100
Soil774	30	0	24.7	38.5	71.2	100
Soil777	29	0	23.9	31.1	71.0	100
Soil787	29	0	25.2	32.8	70.7	100
Soil796	29	0	22.4	29.5	72.4	100
Soil802	30	0	23.9	39.8	72.7	100
Soil809	30	0	24.5	36.1	73.4	100
Soil810	NA	NA	NA	NA	NA	NA
