M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
57	78	65	85	63	77	70	64	61	70	74	69	73	71	45	55	64	63	66	64	63	65	57	63
57	77	60	85	63	77	70	64	61	67	74	66	73	70	52	59	63	64	68	64	68	67	52	63
57	78	69	89	61	82	73	64	67	71	73	69	82	72	53	63	64	63	66	56	66	62	54	63
67	74	64	85	63	83	84	74	61	70	74	76	73	73	52	59	64	63	66	64	62	62	52	63
67	93	59	88	67	77	70	68	61	63	73	69	73	66	50	62	68	53	68	64	64	64	48	68
61	86	71	88	63	77	84	68	67	70	74	66	73	72	53	63	64	70	66	70	60	62	59	63
57	77	64	84	67	77	73	68	61	67	74	66	78	72	52	55	64	63	66	64	61	67	56	63
57	93	69	88	68	83	83	68	66	74	75	64	73	70	53	59	64	64	66	64	66	64	52	63
67	77	70	85	68	77	70	67	61	70	73	66	75	72	53	59	63	53	68	63	67	62	51	63
57	77	71	85	67	77	70	68	61	67	67	66	73	73	52	61	64	63	68	64	64	62	46	63
61	79	67	85	67	77	70	64	61	67	74	66	73	70	52	58	57	60	64	64	66	62	52	63
57	86	64	88	67	83	70	68	61	67	73	66	73	70	51	55	64	64	66	60	66	55	55	63
57	77	64	85	68	77	70	60	61	68	74	69	73	73	49	59	64	63	66	61	61	58	52	63
63	79	65	85	68	77	70	68	61	62	74	66	73	75	50	60	63	64	63	63	66	62	55	63
61	91	70	85	68	77	70	61	61	70	75	76	82	63	47	60	70	71	66	64	66	69	52	63
57	77	64	77	67	77	70	68	51	67	74	66	73	73	52	58	64	63	68	60	67	62	51	63
67	77	64	88	61	83	70	54	61	67	74	66	73	73	52	61	64	63	69	63	64	69	52	63
61	77	66	88	67	76	70	68	57	70	74	66	80	70	53	59	64	63	66	62	64	64	59	63
57	76	64	85	68	77	88	64	61	67	74	66	80	68	52	59	66	63	66	63	61	62	52	53
63	78	61	88	67	77	70	64	59	70	74	66	73	72	52	59	64	63	66	63	61	62	51	63
62	78	63	85	67	83	70	64	61	67	73	66	73	70	52	59	64	60	60	64	73	69	54	63
62	77	70	87	67	77	87	66	61	67	79	76	82	70	50	63	63	64	63	61	63	62	51	63
57	77	64	89	68	77	70	68	57	70	74	64	73	72	52	59	64	63	68	63	66	62	52	63
57	75	65	85	68	77	73	68	61	67	74	63	75	72	53	60	52	58	63	60	67	62	55	63
57	77	64	85	61	77	70	60	61	62	74	66	73	70	51	60	64	63	68	64	69	62	52	63
67	77	61	90	63	82	70	64	61	74	65	74	76	68	52	63	68	63	67	63	64	62	52	63
61	77	70	85	68	82	70	68	61	70	74	74	73	72	52	59	64	63	69	63	64	73	49	63
57	76	64	88	63	83	70	64	66	67	70	64	73	69	52	59	64	58	60	63	66	58	51	63
63	78	64	88	63	80	87	53	57	71	74	69	73	66	53	59	55	63	66	64	63	55	48	63
57	77	64	88	68	77	66	66	55	71	74	69	73	72	52	59	64	63	64	64	64	64	52	63
57	74	69	88	67	77	70	64	61	67	75	66	73	72	52	64	64	63	69	64	64	62	52	65
59	75	62	88	69	77	73	68	61	70	67	66	73	65	51	59	68	63	63	65	63	59	51	63
57	77	64	88	67	76	70	60	61	70	69	69	73	70	52	59	64	69	66	63	64	65	52	63
57	78	65	85	67	77	70	68	61	67	70	66	73	72	53	59	64	63	68	59	60	62	52	63
57	78	64	85	68	77	70	68	61	74	73	69	73	73	53	60	52	63	63	65	66	62	52	64
61	78	64	89	61	77	70	68	61	74	74	66	73	73	50	59	64	69	67	63	64	62	52	63
57	74	59	85	65	77	70	72	61	62	74	66	68	72	52	60	68	64	68	63	70	60	51	63
63	78	60	85	67	77	70	68	57	67	74	66	75	70	52	59	70	64	63	63	66	58	52	62
57	78	70	85	68	77	70	68	61	67	74	66	73	73	53	60	69	63	64	64	64	58	52	63
57	75	69	85	68	77	70	68	61	70	77	69	73	70	52	60	64	61	68	56	64	62	52	63
57	79	62	85	68	77	70	58	60	65	74	69	73	66	52	60	63	64	68	63	67	62	55	63
57	91	64	88	62	76	88	69	67	74	74	66	73	71	52	63	63	61	67	64	64	70	52	65
57	78	64	85	66	82	70	68	51	67	73	77	76	70	52	59	63	63	68	63	68	64	52	65
57	79	64	88	67	82	70	54	61	67	67	71	71	68	52	59	64	60	63	64	63	62	54	63
57	78	64	88	62	77	70	68	57	70	74	66	82	73	52	60	64	64	66	63	61	59	52	53
57	78	59	88	66	80	70	68	61	67	74	66	73	66	52	59	64	63	69	64	64	54	52	63
57	93	65	87	67	77	88	74	65	67	75	74	82	67	52	59	64	62	66	62	66	62	57	63
63	77	64	85	67	77	73	68	61	67	74	66	73	72	53	59	64	63	68	63	68	62	52	53
57	78	60	85	66	77	70	68	60	67	74	66	75	72	53	59	64	59	66	68	66	67	52	63
60	75	65	85	69	77	70	64	61	73	74	66	71	73	53	59	63	69	63	63	66	62	51	63
57	74	64	81	68	78	70	65	66	69	74	68	68	70	53	59	64	63	72	60	66	58	48	67
57	77	64	88	68	77	88	68	61	70	74	64	73	72	52	68	64	63	69	63	67	73	52	63
57	76	64	89	63	77	70	64	71	70	74	66	73	72	52	59	64	63	66	63	66	62	54	53
57	84	70	87	67	77	84	68	61	67	74	66	73	72	52	59	64	64	68	63	68	62	55	63
57	75	65	88	68	77	72	58	61	70	75	69	73	72	52	59	63	63	72	56	66	64	52	63
64	74	61	88	67	77	70	58	61	74	74	66	73	72	53	59	70	60	66	64	66	64	49	63
57	75	64	85	63	77	70	68	61	67	74	64	73	73	52	59	63	63	68	63	66	62	52	63
57	74	64	85	68	77	70	60	61	67	74	66	73	69	51	60	64	70	64	64	64	62	52	65
57	78	64	85	68	77	72	54	61	67	75	66	73	71	52	59	64	63	63	63	66	62	52	63
61	77	64	87	63	77	69	74	67	67	75	66	73	72	52	65	69	71	66	64	63	62	59	70
57	87	65	85	68	77	70	68	61	67	74	62	73	73	49	55	52	64	63	64	62	62	52	63
63	78	61	88	68	77	73	64	59	70	74	66	75	73	52	59	63	63	66	63	61	64	52	53
57	75	64	85	67	77	70	68	67	70	74	66	73	72	50	61	63	53	66	69	62	62	55	63
57	93	64	85	63	77	70	64	61	67	75	66	82	72	49	60	69	62	66	56	66	62	54	62
57	88	62	85	68	77	72	68	51	70	74	66	73	72	52	59	63	64	66	63	66	64	55	63
57	79	64	88	63	83	70	68	69	68	74	70	73	72	53	59	64	63	60	63	64	65	52	63
57	88	64	88	63	77	70	68	51	70	74	66	73	72	53	59	64	63	66	63	61	62	54	63
57	77	64	88	68	77	70	64	61	67	67	66	73	72	52	59	64	53	68	69	64	64	55	63
57	78	59	85	60	77	70	53	61	72	74	70	73	72	52	62	70	64	68	64	69	69	46	63
57	78	65	85	67	77	72	68	61	67	74	66	73	68	52	60	64	64	72	56	63	62	51	64
67	78	70	88	63	83	66	68	59	67	75	66	73	72	52	59	63	64	66	64	66	62	55	63
61	78	64	81	67	77	70	68	61	67	74	64	73	70	52	58	64	63	60	64	66	62	52	63
57	77	60	85	68	77	70	68	59	67	76	71	73	71	52	59	64	63	66	70	66	62	51	63
60	77	64	81	69	77	73	61	71	70	74	68	80	73	53	59	64	63	68	63	64	67	52	63
67	77	64	85	66	87	88	64	61	70	73	66	82	72	52	61	64	76	60	63	71	62	52	67
67	75	64	88	66	76	70	68	61	71	74	69	73	72	52	59	64	74	66	63	77	64	52	63
61	77	65	85	68	82	70	68	60	70	74	66	82	73	47	55	64	71	67	56	62	62	59	63
61	78	62	85	61	77	70	68	67	70	75	66	82	73	50	57	64	64	68	64	64	62	52	68
57	77	64	85	68	77	73	68	61	67	74	66	73	73	53	68	64	63	69	64	60	66	52	63
57	74	64	88	68	83	70	68	61	67	77	66	73	73	49	59	64	63	68	63	64	62	52	63
61	78	64	85	68	77	70	54	61	70	73	66	73	73	49	55	63	69	68	61	64	62	57	63
