M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
66	87	68	90	74	62	76	84	75	64	76	48	56	66	76	73	70	66	60	68
63	86	68	90	76	53	76	83	70	65	79	55	55	66	76	69	71	66	60	68
66	91	72	97	74	62	84	67	70	62	82	54	56	64	72	68	66	68	57	69
63	83	72	90	74	62	76	84	70	63	73	55	57	66	54	73	71	65	60	67
63	85	68	94	75	66	82	84	70	61	79	52	66	57	76	68	71	66	57	65
66	84	72	87	74	56	90	87	70	65	73	47	57	66	67	73	72	66	58	68
63	84	70	94	70	53	76	84	72	65	65	54	56	71	67	68	70	67	60	68
63	83	72	94	76	65	76	84	61	65	71	47	56	66	54	72	66	67	60	69
63	86	72	94	74	62	76	84	70	65	66	54	71	66	76	69	71	67	60	67
63	85	70	94	60	62	76	97	70	63	81	48	56	66	76	68	71	66	60	77
66	83	72	90	76	62	76	87	67	65	75	55	63	66	76	73	70	65	48	68
63	85	72	90	61	62	76	67	64	65	76	54	55	66	76	69	71	70	58	69
63	85	72	90	74	53	76	87	70	65	74	54	60	66	76	68	70	66	60	68
63	83	71	98	61	57	72	97	75	61	70	52	54	70	70	68	73	67	55	74
61	83	72	94	74	62	76	83	64	65	64	55	63	66	76	72	71	63	60	69
63	83	72	97	76	62	76	78	56	65	81	54	57	66	76	69	67	67	60	68
63	83	74	94	61	63	72	84	70	65	64	55	63	69	74	72	68	67	58	65
67	85	72	90	76	62	76	84	75	61	81	55	55	66	76	69	71	65	48	65
66	91	72	90	74	62	84	67	70	65	79	55	58	64	76	68	66	67	60	68
63	83	72	94	74	62	76	84	76	65	66	54	71	66	76	72	70	66	60	68
66	91	72	87	76	62	80	86	63	63	77	53	54	66	70	69	66	66	60	70
67	83	72	90	76	62	82	84	56	65	68	54	57	70	67	74	70	66	60	69
65	87	68	81	76	62	82	84	70	56	82	55	65	70	68	75	70	66	60	69
66	91	72	97	69	62	76	78	61	66	79	53	56	70	72	66	70	66	55	69
62	83	72	103	75	53	79	84	71	65	71	54	57	66	76	69	71	66	60	69
63	88	74	89	75	59	72	97	60	61	66	47	53	74	70	68	73	65	56	74
63	88	70	90	70	60	76	67	66	65	81	54	58	66	76	73	71	66	57	68
