M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.80999999999787	2.81	2.81	2.81	2.80999999999995	70.3596961224387	99.6810867944461	2.81	2.81	2.81	2.81	2.81	2.80999999999866	98.8845078296481	2.81
2.81	2.81	170.665756498082	2.81	197.860229003581	2.81	2.81	2.80999999999957	2.81	2.80999999999909	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.81	2.8099999999975
2.81	2.81	2.81	2.81	197.860229003582	2.81	2.81	2.80999999999957	2.81	2.81000000000025	2.81	2.81	2.81	2.80999999999995	2.81	2.81	2.81	2.81	2.81	162.579543794207	2.81	2.80999999999797	2.81	2.81
2.81	283.062594417095	2.81	2.81	2.81	2.81	201.084077336201	2.80999999999933	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999979	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999984	2.81	2.81	2.81	172.149825590537	2.81	2.80999999998671	173.952184291277	190.526788872412	2.81	2.81	2.81	2.81	2.81	2.81
2.81	241.528055588455	2.81	2.81	2.81	2.81	2.81	2.80999999999775	2.81	2.8099999999999	2.81	2.81	2.81	2.80999999999995	2.81	2.80999999955806	2.81	2.81	2.81	2.81	168.259645973975	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999904	77.8959199883276	2.80999999998671	2.81	2.81	2.81	2.81	2.81	2.81000000000002	98.8845078296479	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	107.973713994882	2.81	2.81	125.105217981605	2.81	2.81	2.81	2.80999999745233	2.81	2.81	2.81	2.81	2.81	2.8099999999975	2.81	2.81
2.81	2.81	146.568884912461	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999999	2.81	2.81	2.81	2.81	2.81	2.81	2.81	190.526788872412	2.81	2.81	2.81	2.8099999999946	2.81	2.8099999999975
2.81	2.81	145.547356428478	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999787	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999944	101.972523695938	2.81
150.37731450514	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.8099999999946	2.80999999999787	2.81	2.81	2.81	2.80999999999995	2.81	2.80999999998671	2.81	2.81	2.81	2.81	161.919326826418	2.81	2.81	2.81
2.81	241.528055588453	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.80999999999887	2.8099999999975	2.81	2.81	2.81	2.81	99.6810867944461	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999933	2.81	2.80999999999978	2.81	2.81	2.81	2.81	70.3596961224387	2.81	2.81	2.81	2.81	2.81	2.81	186.497309204686	2.81	2.81
116.18875230151	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	142.941506340567	2.81	2.81	2.81	2.80999999999995	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999797	2.81	2.81
150.37731450514	2.80999999999787	2.81	2.81	2.81	2.81	2.81	2.80999999999912	2.81	2.81000000000256	2.8099999999975	2.81	2.81	172.149825590537	70.3596961224385	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000000048	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	121.728484736557	2.8099999999975	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81000000000155	161.919326826418	2.8099999999975	2.81	2.8099999999975
2.81	2.81	2.81	2.81	197.860229003581	2.81	2.81	178.44382059442	2.81	2.81000000000025	2.8099999999975	2.81	2.81	2.80999999999904	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999957	2.81	2.81
2.81	2.81	2.81	2.81	2.81	174.559778974168	2.81	2.80999999999866	2.81	2.8099999999975	2.81	2.81	143.967231813796	2.80999999999904	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81
2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999866	2.81	2.81	2.81	2.81	143.967231813796	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.81	2.80999999999979	2.81	203.634517621575
