M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
62	84	67	88	72	75	83	68	62	67	77	68	72	71	47	55	65	75	69	71	65	64	57	68
62	83	60	91	63	75	83	68	62	67	73	68	72	77	53	54	65	75	69	71	69	66	59	67
62	84	69	88	61	78	83	68	62	73	73	68	72	81	53	62	65	75	69	56	67	65	59	68
62	72	69	88	74	80	83	65	62	68	73	75	72	77	55	55	65	75	69	66	69	66	56	66
64	83	67	91	74	75	83	74	62	76	73	68	72	65	53	57	70	53	66	66	67	66	56	69
65	85	70	88	74	80	80	68	62	70	73	68	72	77	53	54	67	74	68	66	60	66	56	68
62	84	69	95	74	75	85	75	62	68	73	68	73	77	52	66	65	75	69	71	65	65	56	68
65	85	66	100	69	90	77	68	69	75	71	64	72	73	53	54	65	66	66	70	72	67	59	68
65	83	71	88	72	75	85	74	62	70	73	68	72	72	55	55	65	53	66	66	69	65	59	65
62	83	71	91	72	75	85	75	62	70	72	68	72	80	53	62	65	75	69	66	67	64	46	66
61	87	71	91	72	82	83	74	62	68	77	68	74	77	53	57	64	74	69	70	67	65	56	68
62	88	69	88	72	75	82	62	62	70	70	68	72	77	52	55	65	71	69	69	67	68	59	66
62	83	69	88	72	75	83	65	62	68	73	68	72	77	47	54	65	75	69	67	65	58	59	66
63	83	66	91	69	78	83	68	60	62	73	67	72	71	51	53	65	75	69	70	67	65	59	66
61	88	69	88	72	75	83	65	62	67	72	67	72	64	49	54	65	75	69	71	67	64	59	68
62	83	69	96	72	75	83	69	51	68	73	68	72	73	53	54	65	75	69	70	67	66	59	67
62	83	69	91	63	75	83	54	62	67	77	67	72	77	53	61	65	75	69	66	69	65	59	68
62	83	65	88	74	76	83	69	62	68	73	68	80	71	55	52	67	68	68	66	69	64	53	66
62	85	66	91	72	75	96	69	62	68	73	74	80	79	55	55	65	75	69	68	71	66	59	53
62	84	66	88	72	78	83	74	62	70	73	74	72	77	52	53	65	75	69	66	69	66	59	68
63	83	68	95	74	79	83	74	62	67	73	68	72	77	55	54	67	68	60	70	72	68	56	67
62	84	69	87	72	78	85	65	62	70	72	67	72	77	53	61	65	75	66	71	67	65	59	66
62	83	69	81	72	75	85	68	60	67	77	64	72	72	53	54	65	75	69	71	66	66	59	68
62	84	69	91	72	80	85	68	62	68	73	74	72	73	53	55	52	75	69	76	66	66	59	66
64	83	69	92	61	78	83	68	62	62	73	72	73	71	51	53	65	75	66	67	71	61	59	67
59	83	66	89	72	75	83	68	62	72	73	68	76	69	53	54	70	75	66	73	67	66	59	68
