M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
2.81	2.80999999999787	2.80999999999687	2.81	2.81	2.81	2.80999999999731	163.915710364242	2.80999999999949	2.81	2.80999999999859	110.651138686794	2.80999999998671	2.80999999999908	2.81	2.8099999999975	2.81	2.80999999999913	2.81	2.80999999999776
2.81	2.80999999999995	2.81000000000024	2.81	2.8099999999975	156.188710347688	2.80999999999848	2.81	202.033910058776	2.8099999999975	2.81000000000108	2.8099999999975	2.80999999998671	2.80999999999908	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975
2.8099999999975	2.81000000000018	2.81	253.600826882698	2.81	2.81	2.81	189.335396814969	2.81000000000017	2.81	2.80999999999904	2.80999999999946	2.80999999998671	2.80999999999932	2.81	209.779297780412	2.80999999999909	2.80999999999867	2.81	2.8099999999975
2.81	2.81000000000086	2.80999999999575	2.81	2.81	129.352470535009	2.80999999999731	2.81	2.80999999999903	173.587754949143	2.81	2.80999999998671	2.80999999998671	2.80999999999908	199.585151857743	2.8099999999975	2.81	190.258412063583	2.80999999999911	215.81045656415
2.81	2.8099999999997	2.80999999999687	2.81	2.81	2.81	2.81	2.81	2.80999999999903	2.8099999999975	2.81	2.80999999995964	2.81	196.872432993123	2.80999999999657	2.8099999999975	2.81	2.80999999999867	88.9330406551485	2.81
2.81	2.80999999999922	2.80999999999575	258.815084389469	2.81	2.81	2.810000000002	2.81	2.80999999999903	2.8099999999975	2.80999999999813	108.207754894916	2.81	2.8099999999972	2.81	2.81	2.81	2.80999999999867	2.81	2.80999999999913
2.81	2.80999999999995	2.81000000000024	2.81	2.8099999999975	156.188710347688	2.80999999999849	2.81	2.80999999999994	2.8099999999975	170.360815166599	2.80999999998671	2.80999999998671	2.81000000000049	2.80999999999795	2.81	2.81	2.80999999999867	2.81	2.80999999999912
2.81	2.80999999999995	2.81000000000025	2.81	2.81	2.81	2.80999999999966	2.81	2.80999999999949	2.81	2.80999999999971	2.80999999999992	2.80999999998671	2.80999999999908	199.585151857743	2.8099999999975	2.80999999999815	190.258412063583	2.81	2.80999999999686
2.81	2.8099999999997	2.80999999999687	2.81	2.81	2.81000000000559	2.810000000002	2.81	2.81000000000085	2.81	199.817165509766	2.80999999998671	113.289559905916	2.80999999999908	2.81	2.8099999999975	2.81	2.80999999999504	2.80999999999911	2.81000000000049
2.81	2.80999999999922	154.33004434241	2.81	246.836345213062	2.81	2.80999999999731	2.81	2.80999999999812	2.8099999999975	2.8099999999995	110.651138686794	2.80999999998671	2.80999999999908	2.81	2.8099999999975	2.81	2.80999999999867	2.81	2.81
2.8099999999975	2.80999999999904	2.80999999999687	2.81	2.81	2.81	2.80999999999966	2.81	2.81	2.81	2.80999999999995	2.81	113.706226106415	2.80999999999955	2.81	2.8099999999975	2.81	2.81	89.2343869326051	2.80999999999958
2.81	2.80999999999859	2.81	2.81	246.777097876558	2.81	2.80999999999731	189.335396814969	2.80999999999721	2.81	170.360815166601	2.80999999998671	2.80999999998671	2.81000000000002	2.81	2.8099999999975	2.81	205.676182852366	2.81	2.80999999999787
2.81	2.80999999999787	2.81000000000025	2.81	2.8099999999975	156.188710347688	2.80999999999966	2.81	2.80999999999812	2.81	2.81000000000108	2.81	2.81000000000036	2.80999999999908	2.81000000000026	209.776210334933	2.81	2.81000000000049	2.81	2.8099999999964
2.81	2.80999999999787	2.80999999999687	253.610914997371	246.838372396769	2.81	202.819100386329	2.81	2.80999999999721	2.81	2.80999999999904	2.80999999999787	2.81	2.80999999999908	2.81	2.81	2.81	2.81	2.81	2.81
192.312777871138	2.80999999999922	2.80999999999687	2.81	2.81	2.81	2.80999999999966	2.81	2.80999999999949	2.81	170.360815166598	2.80999999998671	2.80999999998671	2.80999999999908	2.80999999999657	2.8099999999975	2.81	2.80999999999731	2.81	2.80999999999867
2.81	2.80999999999904	2.80999999999687	253.610914997371	2.8099999999975	129.352470535009	2.80999999999966	2.81	232.326893263551	2.8099999999975	2.8099999999995	2.80999999998671	2.81	2.80999999999908	2.81	2.8099999999975	177.501474806004	2.81	2.81	2.80999999999867
2.81	2.80999999999787	2.80999999999687	2.81	246.838372396769	129.352470535009	202.819100386329	2.81	2.80999999999721	2.81	2.80999999999995	2.80999999998671	2.81	2.80999999999775	2.80999999999841	209.779297780412	2.81	2.81	2.81	216.264793059185
165.214510793238	266.414114620166	2.80999999999687	253.610914997371	2.81	2.81	2.81	2.8099999999975	2.80999999999903	173.546562244236	2.80999999999903	2.80999999998671	2.81	2.80999999999908	2.80999999999749	2.8099999999975	2.80999999999909	2.81	89.2343869326051	215.81045656415
2.81	2.80999999999904	2.80999999999687	2.81	2.81	2.81	2.80999999999849	189.335396814969	2.80999999999812	2.81	2.8099999999995	2.80999999998671	2.80999999998671	2.80999999999908	2.81	2.8099999999975	178.139236226146	2.81	2.81	2.8099999999975
2.8099999999975	2.80999999999787	2.80999999999687	2.81	2.8099999999975	2.81	2.80999999999966	2.81	2.81000000000222	2.81	199.817165509766	2.80999999999787	113.289559905916	2.80999999999908	2.81	2.8099999999975	2.81	2.80999999999912	2.81	2.81
2.81	2.8099999999997	2.81	258.815084389469	2.81	2.80999999999997	2.81000000001403	2.81	2.81	2.8099999999975	2.8099999999995	2.80999999999898	2.81	2.81	171.117587501412	2.81	2.80999999999958	2.81	2.80999999999787	2.8099999999975
2.81	2.80999999999787	2.80999999999687	2.81	2.81	2.81	2.80999999999732	2.81	232.326893263551	2.81	2.8099999999995	2.8099999999975	2.80999999998671	170.226185521992	2.81	2.81	2.81	2.80999999999913	2.81	2.81000000000049
2.8099999999975	2.80999999999995	2.81	253.610914997371	2.8099999999975	2.81	2.80999999999966	2.81	2.81000000000085	174.268084595272	2.81000000000062	2.80999999998671	2.80999999998671	2.81	2.81	2.8099999999975	2.81	2.81	2.81	2.8099999999975
2.81	2.80999999999995	2.80999999999687	2.81	264.171565798948	2.81	2.80999999999731	2.81	2.80999999999949	173.587754949143	2.81000000000041	2.80999999999787	2.8099999999975	2.81	2.81	2.81	2.80999999999909	2.80999999999867	2.80999999999911	2.81
165.214510793238	2.80999999999787	2.81	253.610914997371	2.81	156.188710347688	2.80999999999614	2.81	2.81000000000085	2.81	170.360815166599	2.81	2.80999999998671	2.80999999999908	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999787
2.81	2.80999999999787	2.80999999999575	2.81	2.8099999999975	2.81	202.819100386329	2.81	2.81000000000085	2.81	2.8099999999975	2.8099999999975	2.81	170.226185521992	2.80999999999749	2.8099999999975	2.81	2.80999999999686	2.81	2.80999999999867
2.81	266.414114620165	2.80999999999687	2.81	246.836345213062	2.81	2.80999999999731	189.335396814969	2.80999999999949	2.81	2.8099999999945	2.81	2.81	2.80999999999955	2.81	2.8099999999975	2.81	2.81	2.81	2.80999999999913
2.81	2.80999999999922	2.80999999999687	2.81	2.81	2.81	2.80999999999907	2.81	2.80999999999903	2.81	2.81	2.80999999998671	113.706226106415	2.80999999999775	2.80999999999703	2.8099999999975	207.174395529159	2.80999999999816	2.81	2.81
