M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
63	83	58	68	72	45	69	67	62	59	69	44	54	49	53	70	54	60	45	53
68	89	58	68	73	41	68	75	53	57	68	54	52	49	54	70	55	59	46	54
67	88	58	55	73	45	66	61	62	59	70	55	53	49	55	59	51	61	48	51
66	81	59	69	73	45	70	74	61	54	71	54	54	50	38	70	56	54	46	47
66	83	57	68	74	44	67	75	61	59	70	54	49	35	54	67	54	60	39	54
66	83	58	60	72	46	72	75	61	57	67	47	54	49	55	71	54	59	47	52
66	85	57	68	72	41	71	77	58	57	63	55	54	49	54	71	56	59	48	53
66	84	58	68	72	44	70	75	62	58	68	53	54	49	38	71	56	55	45	53
66	83	58	68	71	45	71	74	60	59	60	55	48	49	58	71	54	59	44	52
66	82	55	68	62	45	71	74	60	58	69	44	55	49	53	69	55	59	47	53
65	83	57	68	73	46	70	77	60	58	69	55	47	48	53	70	53	59	39	52
66	90	58	69	63	45	68	61	60	57	65	54	54	47	54	68	53	54	46	52
66	82	57	68	73	41	68	76	61	57	69	54	50	49	53	58	54	60	46	53
66	86	57	56	61	45	53	72	60	59	67	53	51	49	54	69	55	60	51	54
48	86	57	69	72	45	71	72	59	58	62	56	52	49	52	70	56	60	45	53
66	82	58	56	72	45	71	72	43	58	68	54	54	49	55	68	47	59	49	53
66	82	59	68	61	45	53	74	61	58	68	55	52	49	52	59	55	59	48	45
51	82	58	58	71	46	72	73	61	52	68	54	50	50	52	69	57	59	39	47
66	89	58	69	74	44	70	61	61	58	68	53	53	49	55	69	47	59	47	54
68	82	59	67	73	44	70	74	62	58	60	51	48	49	55	71	52	60	46	54
68	81	59	60	74	45	64	77	59	58	69	54	51	49	52	70	54	59	48	54
66	84	57	68	72	46	71	74	43	58	69	55	54	43	55	67	57	60	46	53
68	87	58	56	73	44	71	74	62	44	67	56	54	48	55	70	58	59	45	55
66	83	57	68	54	45	71	75	62	53	67	52	54	49	54	70	55	59	43	53
51	83	59	56	74	41	69	73	62	58	65	53	52	49	55	67	56	61	47	52
66	83	58	68	73	45	53	74	61	58	70	55	54	46	54	70	57	60	45	52
68	82	56	69	62	44	71	61	60	58	71	55	52	48	54	71	56	60	46	52
66	84	58	68	72	46	71	75	61	57	70	54	47	49	53	70	39	60	44	53
65	86	59	68	61	46	71	72	61	58	70	53	56	48	55	69	39	60	48	55
64	84	58	58	73	44	68	74	62	58	63	55	53	49	53	59	51	60	47	54
54	84	57	56	72	44	70	75	60	58	71	44	52	49	50	70	55	61	46	51
68	81	57	58	73	47	70	77	60	52	60	54	53	49	52	70	54	60	47	52
66	87	58	57	74	44	71	74	62	57	63	54	55	48	52	68	51	45	49	53
66	73	58	68	72	43	68	75	60	57	68	54	54	50	53	66	55	60	42	52
68	82	57	59	73	44	70	67	62	57	60	55	55	49	54	66	57	60	39	52
66	83	57	65	72	45	61	73	61	58	70	55	54	50	54	59	52	59	47	51
66	84	57	65	71	46	70	76	61	59	70	44	55	49	53	69	54	59	42	53
