M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
10	6	13	4	7	9	12	10	7	7	7	10	15	7	9	7	8	8	12	8
9	9	14	4	7	8	12	7	12	6	6	13	13	8	9	7	8	9	12	9
9	9	14	8	8	10	15	4	7	7	7	15	13	8	10	11	12	11	13	12
8	6	14	4	8	12	12	7	6	10	9	13	14	7	6	7	8	11	17	14
8	6	13	4	8	10	12	6	6	7	7	14	13	5	9	8	8	8	18	9
8	6	13	3	7	10	18	6	6	6	10	16	14	7	10	7	9	8	15	8
8	6	13	4	7	8	12	6	11	6	12	14	14	7	9	7	9	8	13	8
8	6	13	4	7	9	12	6	7	6	6	17	14	7	6	7	9	11	12	8
8	6	13	4	7	9	12	6	6	7	4	14	20	7	11	7	9	8	15	8
8	6	16	5	11	9	13	7	6	7	7	10	14	7	9	8	9	8	13	9
8	6	14	4	7	9	12	8	6	6	6	14	20	7	9	7	8	9	9	8
8	9	14	4	11	9	12	4	6	6	11	14	14	7	9	7	8	11	13	12
8	6	12	4	7	8	12	6	6	6	6	13	18	7	11	11	8	8	13	8
8	6	16	8	11	9	8	9	6	7	10	13	13	11	9	8	8	9	16	13
5	6	13	4	7	9	12	9	11	6	11	14	15	7	9	7	9	8	13	8
8	6	13	8	7	12	13	9	4	7	6	19	14	8	10	8	14	9	15	8
8	6	14	4	11	12	8	6	6	6	10	14	18	7	12	11	8	9	14	14
10	9	14	8	7	10	13	6	6	10	6	13	18	7	12	7	10	9	9	14
9	9	13	5	8	9	13	4	7	7	7	14	13	8	10	8	13	9	15	9
9	6	14	4	8	9	12	8	7	7	4	12	20	7	10	7	9	8	12	9
9	6	14	3	8	14	17	7	11	7	7	18	13	8	11	8	12	9	13	9
8	6	13	4	7	9	13	6	4	6	7	14	14	13	10	7	10	8	12	8
9	9	14	8	8	9	12	6	7	5	6	14	13	12	10	7	10	9	12	9
8	6	13	5	6	10	12	6	7	10	6	12	14	9	10	8	9	8	17	9
9	6	14	8	8	8	16	7	7	7	11	13	13	8	10	8	10	9	16	12
8	6	13	4	7	9	8	6	7	6	7	14	14	13	9	7	10	8	12	8
9	9	13	5	11	10	13	4	10	6	6	14	13	7	9	7	9	9	16	8
8	6	13	4	7	10	13	6	6	6	7	14	20	7	9	7	6	8	14	9
9	6	14	4	11	10	13	9	10	7	7	17	14	12	10	8	6	8	14	9
10	6	14	8	8	10	12	6	7	7	11	14	13	7	9	6	12	11	14	9
9	6	13	8	7	9	12	6	6	6	8	10	15	9	11	7	8	9	12	8
9	9	13	8	8	12	12	7	10	10	4	13	18	7	12	7	8	11	13	12
8	9	13	8	8	9	12	6	7	6	11	14	14	7	9	7	12	6	17	9
8	3	13	4	7	9	13	6	6	6	6	14	14	7	9	7	9	8	17	8
9	6	16	8	7	9	16	10	7	6	10	14	14	7	9	8	10	8	9	8
8	6	13	4	7	9	17	6	8	6	7	14	14	7	9	6	8	8	12	8
8	6	14	4	7	9	12	8	6	7	6	10	14	7	9	8	8	8	17	8
8	6	13	4	7	9	12	7	7	6	6	13	14	7	11	7	6	8	14	14
9	6	15	5	8	10	15	7	12	7	7	13	18	8	10	8	9	9	13	6
5	6	15	8	7	9	12	6	7	6	6	14	14	8	9	7	8	8	13	8
10	6	10	8	7	12	13	6	6	10	10	14	18	12	12	11	9	11	15	9
8	6	13	4	7	9	12	8	7	5	6	14	20	7	9	7	10	9	12	8
9	7	16	5	8	10	12	7	6	6	4	16	14	7	9	7	8	8	13	8
5	7	16	5	7	9	11	7	6	6	7	14	14	8	9	7	8	9	12	8
8	6	15	4	7	9	12	6	7	6	6	14	9	7	9	8	9	11	15	12
8	6	14	5	8	9	13	10	6	7	7	13	13	5	12	11	12	8	14	9
5	9	13	4	7	10	13	9	11	7	7	14	13	8	10	11	9	9	13	8
10	6	13	5	11	9	8	10	6	6	6	14	13	7	10	11	9	9	13	8
7	6	12	5	7	9	11	6	7	6	7	12	14	8	9	7	6	8	19	9
11	6	13	4	11	12	16	4	10	6	11	14	14	7	11	7	9	8	12	8
8	9	13	5	8	9	12	7	7	7	7	14	18	7	9	11	6	8	12	8
9	6	13	4	7	10	13	6	6	6	6	14	15	9	12	7	10	6	12	13
10	6	16	3	11	14	18	6	6	10	10	14	18	12	11	7	9	11	12	13
5	6	14	4	11	9	12	9	7	7	6	13	13	8	12	7	9	9	14	8
8	6	13	5	8	12	13	7	4	6	7	18	14	8	10	11	9	11	12	9
8	9	13	4	6	9	13	7	6	6	6	14	14	7	9	8	10	8	12	15
8	6	13	8	7	12	13	6	10	7	7	16	9	8	11	7	10	8	12	8
8	7	15	4	7	12	12	6	4	6	6	13	14	7	9	11	12	8	13	8
10	9	14	4	11	9	13	9	6	6	10	14	13	11	9	7	10	11	15	6
9	6	13	4	8	10	12	7	8	10	7	12	13	8	10	11	8	6	14	12
8	6	13	4	7	9	12	9	7	10	6	10	14	7	12	11	12	8	12	14
8	6	13	4	7	8	11	6	7	6	7	14	14	7	12	7	9	8	17	8
8	6	13	4	7	9	12	6	6	5	7	12	13	13	10	7	8	8	15	8
9	6	14	5	8	10	16	9	12	5	10	14	13	8	10	11	12	9	17	9
9	6	14	8	11	10	16	9	10	10	10	14	19	8	12	11	13	9	14	6
8	6	16	5	7	12	15	6	7	7	6	10	13	12	9	7	9	8	13	12
5	9	13	8	7	9	13	6	7	10	6	17	14	7	12	7	12	11	12	8
8	9	13	4	7	10	12	9	6	6	4	14	14	7	9	7	8	8	12	14
8	6	13	5	7	10	18	6	6	6	7	10	14	7	8	8	8	8	12	9
10	6	13	4	11	9	15	10	7	6	6	14	18	5	12	11	10	9	12	14
8	6	15	5	7	12	13	7	11	10	6	14	14	7	6	7	11	11	12	9
9	6	13	3	8	14	12	7	6	6	10	13	14	7	11	8	8	8	16	8
8	6	17	5	8	9	12	6	6	6	4	14	13	8	10	8	8	8	13	9
8	6	13	4	8	10	13	8	7	5	6	14	20	9	9	8	10	8	12	9
9	6	14	5	7	10	12	7	6	7	4	13	20	8	9	8	8	8	15	9
8	6	17	4	7	9	12	6	6	6	4	14	14	8	9	8	8	8	13	9
9	6	13	5	8	9	12	7	7	7	8	13	13	13	10	8	8	8	15	6
8	6	16	8	7	12	12	6	6	10	4	13	14	7	12	11	8	8	15	8
8	6	12	3	7	9	12	6	6	6	6	16	14	7	11	7	9	8	12	8
8	6	13	4	7	9	12	6	12	6	10	14	9	7	12	7	8	8	12	8
8	6	13	4	8	9	12	6	6	6	6	14	14	13	9	8	8	8	13	6
8	6	14	5	7	9	13	7	6	7	7	13	13	8	10	8	6	8	19	8
9	6	13	3	7	10	12	6	7	7	7	12	14	7	9	8	9	8	12	9
9	7	14	5	8	10	13	7	4	6	8	13	13	8	9	8	8	9	17	8
8	6	13	5	7	9	15	4	12	6	7	13	18	7	8	11	8	11	15	12
8	6	13	4	6	9	13	9	6	6	10	14	14	7	9	7	10	8	16	8
8	6	14	4	8	8	12	6	7	6	6	17	15	7	9	7	9	11	12	8
8	6	16	8	7	10	13	6	6	10	11	12	14	5	9	11	9	8	12	12
9	6	13	4	7	10	13	6	6	6	7	14	13	13	10	7	10	8	9	8
8	9	14	8	11	9	16	6	6	6	11	14	18	8	10	6	8	9	13	9
9	6	13	5	7	10	13	7	8	7	6	13	13	8	10	8	12	9	18	6
8	6	10	4	7	9	12	6	7	6	9	14	14	7	12	7	10	8	17	8
9	9	14	5	8	10	12	7	6	7	6	10	13	8	9	7	8	8	13	8
8	6	13	5	7	9	13	4	6	6	8	14	13	7	9	7	8	9	17	9
9	6	16	4	11	9	12	6	7	6	7	13	14	5	9	7	13	8	13	8
9	6	16	3	11	9	13	9	6	10	6	13	13	8	9	11	13	11	12	8
8	9	13	4	7	10	12	4	6	6	6	16	14	7	9	7	8	8	12	8
8	6	17	5	7	9	13	6	6	6	4	13	14	7	10	7	9	8	12	8
9	6	16	4	6	12	13	10	6	10	7	13	13	8	10	8	10	9	13	9
8	9	13	4	8	12	8	6	6	7	6	14	18	8	9	11	8	9	14	11
