M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
66	82	58	68	72	68	74	60	58	57	57	60	58	68	52	42	49	54	58	71	53	60	44	53
66	85	47	68	61	71	72	61	57	56	58	58	58	67	52	54	49	54	58	70	51	60	45	53
66	85	56	59	61	71	76	62	59	55	55	61	58	68	53	52	49	53	57	60	57	60	45	52
65	73	58	67	62	70	66	60	58	56	60	56	58	69	54	52	49	55	58	69	54	61	49	53
68	82	59	69	73	70	76	61	57	56	59	61	59	63	54	52	50	37	60	67	57	58	49	54
68	82	59	67	73	71	67	60	59	56	60	58	59	68	55	52	49	51	59	58	44	59	45	52
66	82	56	56	73	67	76	61	58	56	57	58	58	68	43	49	49	53	56	67	54	61	42	51
66	82	56	69	73	70	66	60	53	56	61	46	58	67	55	54	49	55	60	66	55	60	47	52
66	83	54	67	72	67	73	62	57	56	60	61	60	68	53	53	49	37	59	68	56	59	45	53
66	83	54	69	73	71	75	60	58	57	56	58	58	68	55	51	49	54	59	70	57	59	39	52
48	84	57	68	73	71	73	61	58	57	58	58	58	70	56	51	49	51	56	70	45	60	46	53
66	81	58	68	72	68	77	62	58	57	61	61	58	68	52	42	49	55	59	59	55	61	46	54
66	83	54	67	73	68	75	61	58	55	58	59	58	69	45	54	49	52	56	59	52	47	48	52
51	89	57	68	63	69	75	62	59	49	61	58	59	67	47	54	49	54	57	68	58	59	46	53
48	81	58	65	72	71	75	59	58	57	57	58	57	62	54	54	49	54	58	70	54	60	45	53
66	84	57	56	72	71	73	62	42	55	57	58	59	70	56	52	51	54	59	58	45	60	45	52
68	83	58	67	61	67	74	43	58	56	57	57	58	68	54	50	49	53	58	68	57	54	47	52
66	82	58	70	72	54	76	61	59	57	61	58	56	67	55	54	49	55	59	69	55	59	43	53
66	90	58	65	71	70	72	61	58	56	57	59	57	68	56	54	49	53	60	67	54	59	46	39
51	81	56	68	72	70	73	60	59	56	59	58	58	68	43	56	49	53	58	68	57	59	49	53
51	82	62	67	72	72	73	60	57	55	60	58	59	70	56	55	53	57	47	65	54	63	47	53
61	84	58	60	74	70	74	53	59	56	60	60	59	72	54	51	49	54	58	68	55	61	51	55
66	84	58	58	72	70	76	60	52	56	58	46	59	64	55	54	49	52	57	70	47	59	45	54
66	83	58	69	74	71	76	62	58	56	58	61	58	70	52	54	34	54	57	58	47	59	46	54
66	82	58	65	64	67	74	62	58	49	59	57	58	69	52	52	49	53	58	70	45	60	48	52
67	84	59	68	72	70	73	61	58	57	58	58	48	69	55	51	46	52	58	68	57	60	46	52
48	86	55	65	72	68	73	60	58	57	57	58	58	70	54	54	49	52	57	70	55	60	48	53
66	85	58	70	73	70	75	62	52	55	58	58	58	69	52	54	49	55	61	66	46	47	44	52
63	83	57	67	73	68	78	61	57	55	57	57	59	62	55	54	48	52	59	70	58	59	45	52
66	86	58	68	73	67	62	53	58	57	57	57	58	68	55	54	51	53	58	70	57	60	46	53
66	73	56	68	73	70	74	61	58	56	57	60	60	70	55	53	49	54	57	71	54	59	50	50
67	83	59	68	54	69	74	60	58	59	59	60	59	69	52	52	43	53	58	70	54	59	49	52
66	84	56	68	72	54	74	62	58	55	57	58	59	70	55	51	48	52	62	68	56	60	47	53
62	82	58	68	72	69	74	61	58	56	55	59	57	68	54	54	49	52	55	60	44	59	44	52
51	83	57	70	73	71	74	61	57	61	58	58	58	71	53	54	34	55	58	66	56	59	48	54
48	83	58	56	62	69	75	62	58	62	59	58	58	70	54	55	48	51	58	69	53	59	49	52
66	89	58	65	72	70	74	50	58	49	57	59	58	68	54	54	48	54	58	70	56	60	45	53
51	86	47	68	73	73	77	60	59	56	60	61	58	68	47	54	49	52	58	70	57	60	46	53
66	83	53	68	73	69	74	60	58	56	57	58	58	68	52	51	49	54	56	70	55	47	46	53
66	82	52	68	72	69	74	62	58	57	56	61	59	69	54	52	49	54	59	60	57	59	48	53
66	84	55	68	72	67	75	62	59	56	57	59	58	62	54	53	49	51	58	71	52	60	47	53
66	83	58	67	63	54	72	62	58	56	58	57	57	68	55	52	49	52	56	68	55	60	44	43
66	94	56	57	61	69	71	61	42	56	57	59	57	67	55	52	49	52	58	58	57	59	45	48
66	89	58	67	73	60	76	43	58	56	60	59	65	72	54	52	51	54	59	71	57	61	48	53
66	80	57	68	61	70	73	61	52	57	58	59	56	67	56	54	49	53	59	71	56	61	47	39
66	80	57	68	74	69	75	60	57	56	59	58	58	62	53	54	49	54	59	70	57	61	47	51
66	83	58	60	72	68	76	62	58	55	57	58	60	73	52	54	50	54	59	68	56	60	42	53
54	83	58	67	72	70	76	61	57	57	58	58	58	68	55	54	48	53	60	67	55	61	47	39
68	80	47	67	61	70	73	61	58	57	57	58	58	69	56	55	49	53	58	58	55	60	45	52
66	81	59	69	54	71	74	60	59	58	59	60	57	68	53	55	48	52	60	71	55	59	48	51
66	88	58	68	71	69	76	62	52	56	60	60	57	68	55	54	49	53	58	69	55	47	47	53
66	81	57	65	73	71	75	62	58	55	58	46	58	67	54	47	48	53	58	69	54	62	47	52
68	83	56	59	62	70	74	62	52	57	59	58	57	65	53	53	49	53	59	70	55	60	46	39
66	89	58	60	73	70	66	60	58	56	57	58	57	68	56	54	50	54	57	71	53	60	45	53
68	83	59	68	72	71	72	61	59	56	57	58	58	72	54	52	48	55	61	60	55	59	47	52
68	73	59	67	72	70	74	61	58	57	59	58	58	67	55	54	44	55	59	71	57	59	48	53
66	84	59	69	61	69	74	62	58	57	57	46	58	66	54	53	49	52	59	70	48	60	47	52
66	73	58	68	73	71	74	62	58	56	57	59	58	70	56	54	49	52	60	71	55	59	46	50
68	83	57	68	72	71	75	43	58	56	59	61	59	72	52	52	51	53	61	69	56	59	47	55
66	89	58	60	72	68	76	62	57	55	57	58	59	68	55	47	50	54	58	69	55	60	48	51
66	85	58	70	61	69	74	61	42	57	57	57	59	69	53	54	49	53	58	70	54	59	47	53
68	84	47	58	73	70	73	62	53	57	55	56	59	68	54	56	49	53	59	60	56	59	48	54
68	73	58	57	73	69	78	61	57	57	57	58	58	68	47	52	49	52	58	58	55	60	46	54
66	84	58	68	62	54	74	61	57	61	58	58	59	71	55	54	49	52	58	66	53	60	48	53
64	83	56	58	54	72	74	53	54	55	59	56	58	68	55	54	49	52	58	71	57	60	44	52
66	82	60	68	72	71	73	61	58	57	61	62	59	67	55	54	52	54	47	71	57	61	47	52
54	82	59	70	73	70	75	60	58	55	56	57	58	70	51	56	48	54	59	66	56	60	47	39
65	83	61	68	62	67	77	60	58	56	60	58	60	68	55	50	51	61	47	68	56	61	49	52
66	84	57	68	73	71	73	61	58	57	60	59	59	69	54	54	48	37	58	58	55	59	45	55
66	82	59	65	72	62	73	61	59	57	57	62	59	68	53	51	48	54	58	60	53	60	49	51
66	91	58	68	61	71	73	60	58	56	59	58	58	68	47	54	50	55	57	60	58	59	46	53
66	85	55	68	73	70	74	61	42	57	57	58	59	68	55	54	49	55	58	68	56	59	48	54
64	84	57	68	72	70	74	62	58	55	57	58	59	62	55	54	49	54	55	60	58	60	47	52
66	83	59	68	74	67	75	62	58	57	56	58	59	70	52	47	49	55	60	68	44	59	46	55
48	83	59	56	62	71	71	61	58	56	57	56	58	71	54	51	49	55	56	69	45	59	46	50
66	81	58	69	73	70	74	62	59	56	57	59	58	68	53	49	48	37	58	58	56	60	49	54
48	81	58	70	61	71	74	61	58	56	58	59	57	69	51	52	48	55	60	69	55	59	48	46
68	82	57	68	72	70	77	62	59	56	57	59	59	69	54	54	34	54	60	69	55	60	44	54
66	85	54	69	74	68	62	61	59	57	60	59	59	69	52	52	50	55	58	68	53	59	46	54
67	82	56	67	62	68	74	62	58	56	58	60	58	70	54	54	51	53	58	71	56	55	39	52
68	83	58	69	62	70	62	62	53	56	62	59	59	69	55	56	49	50	59	70	56	59	45	52
67	83	57	69	73	69	66	61	57	56	58	56	58	68	54	53	49	37	58	70	57	59	47	53
66	86	59	68	74	70	68	60	57	56	60	58	59	67	53	52	49	50	58	70	57	59	39	53
48	83	53	56	72	68	74	61	57	56	57	58	58	68	55	54	49	54	58	70	53	59	46	53
67	84	56	68	72	71	72	61	57	61	57	59	57	60	53	54	34	54	59	70	54	59	48	51
66	82	58	68	73	70	75	62	53	57	58	58	58	69	55	49	48	54	58	60	57	59	43	47
66	83	57	67	72	71	73	43	58	56	57	58	58	68	52	51	49	51	59	68	56	60	49	54
66	85	59	56	61	67	74	61	58	55	59	58	55	69	53	54	49	53	59	60	54	60	45	53
66	83	58	65	73	68	75	61	58	55	56	58	59	70	54	42	49	53	60	70	56	59	48	52
63	83	58	68	73	71	71	61	57	49	60	58	56	72	55	55	49	52	57	71	56	60	46	52
68	82	58	69	74	71	62	61	58	57	58	60	59	63	54	53	49	52	56	67	52	59	48	47
66	82	58	69	54	70	75	61	58	55	62	61	58	69	53	51	49	52	58	71	53	59	49	53
48	81	54	68	72	70	75	61	53	56	55	58	59	69	56	53	49	54	59	69	54	61	47	52
68	86	58	65	63	70	66	62	42	55	58	58	59	68	55	52	48	52	58	67	45	59	49	53
66	84	47	68	73	71	73	62	58	57	57	58	58	69	47	53	49	53	56	70	56	60	48	53
66	86	56	69	62	71	75	60	57	55	59	60	59	65	54	42	51	54	58	71	57	60	44	53
66	85	52	65	72	69	73	60	58	49	57	58	58	70	55	56	49	54	59	71	55	60	47	52
68	81	59	69	74	61	79	60	57	55	58	62	60	71	55	54	51	37	60	70	54	59	48	53
68	91	58	69	62	70	76	61	57	57	58	57	58	70	56	42	50	54	61	58	56	60	43	52
66	84	59	56	74	66	77	62	59	55	55	59	59	67	54	54	34	51	55	68	56	54	47	53
