M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
62	82	58	68	72	45	68	67	62	58	68	44	51	49	53	70	53	59	44	52
66	89	57	68	73	41	67	74	53	57	68	52	50	48	54	70	54	58	44	53
65	87	57	55	72	44	65	61	62	58	69	53	51	48	54	59	50	61	46	50
65	80	58	69	72	45	69	73	60	54	70	52	51	50	38	70	55	54	45	47
65	81	56	68	73	43	66	75	60	58	70	52	48	35	54	66	54	59	39	53
65	81	58	60	72	45	72	75	60	57	67	47	51	49	54	71	53	58	46	51
65	85	57	68	72	41	70	77	58	57	63	52	51	49	54	71	54	58	46	52
65	83	58	68	72	44	69	75	62	58	68	53	51	49	38	71	53	55	44	52
65	82	58	68	71	45	70	74	59	58	60	52	48	49	57	71	54	58	42	51
65	80	55	67	62	45	71	73	59	57	68	44	52	49	53	68	54	58	45	52
64	82	56	68	73	46	69	76	59	58	69	53	47	48	53	70	52	58	39	51
65	90	57	69	63	45	68	61	59	57	65	51	51	47	54	68	52	54	44	51
65	81	57	68	73	41	68	76	60	57	69	52	49	49	53	58	53	59	44	52
65	84	57	56	61	45	53	72	59	58	67	52	49	48	54	68	55	59	49	53
48	84	57	69	72	45	70	72	59	58	62	53	51	49	52	70	54	60	43	52
65	81	58	56	72	45	71	72	43	57	68	53	51	48	54	67	47	58	46	52
65	80	58	68	61	45	53	74	60	58	68	52	50	49	52	59	55	58	45	45
51	82	57	58	71	45	72	73	60	52	68	52	49	50	52	69	55	58	39	47
64	89	58	68	73	44	69	61	61	57	67	51	51	48	54	68	47	58	45	53
66	81	58	67	72	44	69	73	62	57	60	50	48	49	54	71	50	60	45	53
66	79	58	60	73	45	64	76	58	57	68	54	49	48	52	69	54	58	46	53
65	82	57	68	72	46	71	74	43	58	68	53	51	43	54	67	55	59	45	52
66	87	57	56	72	44	70	74	62	44	67	53	52	47	54	70	56	58	43	54
65	82	57	67	54	44	70	75	62	53	67	51	51	48	53	69	53	58	42	52
51	81	58	56	73	41	68	72	62	57	65	52	50	48	54	66	54	60	45	51
65	81	58	68	73	45	53	74	61	58	69	53	51	46	54	70	55	60	44	51
66	82	56	68	62	43	71	61	59	58	71	53	50	48	54	71	54	59	44	51
65	82	58	68	72	45	71	75	60	57	70	51	47	49	53	70	39	59	42	52
63	84	58	68	61	45	71	72	60	57	70	53	53	47	54	68	39	59	45	54
63	83	57	58	72	43	67	74	62	57	63	53	51	49	53	59	50	60	44	53
54	83	57	56	72	44	69	75	59	58	70	44	50	48	50	70	55	60	44	50
66	81	57	58	72	47	69	76	59	52	60	52	51	49	52	70	53	60	45	51
65	87	58	57	73	44	70	74	62	57	63	51	52	48	52	68	50	45	47	52
65	73	58	68	72	43	68	75	59	57	68	52	51	50	53	66	53	60	41	51
66	80	57	59	73	44	69	67	62	57	60	52	52	49	54	65	55	59	39	51
65	81	57	65	72	45	61	73	61	58	70	53	51	50	54	59	52	58	46	51
65	82	56	65	71	46	69	75	60	58	70	44	52	49	53	68	53	58	41	52
65	81	58	67	72	45	69	73	62	58	69	51	52	50	51	71	39	60	41	44
66	80	55	68	73	44	67	73	52	58	68	51	49	48	54	67	54	58	46	40
48	84	53	56	73	45	69	74	62	58	70	53	51	48	54	70	51	59	46	52
63	82	47	57	72	45	70	73	59	52	66	52	52	45	50	58	54	53	48	53
65	81	56	68	72	45	69	73	62	44	69	52	47	49	53	71	54	58	45	52
65	82	58	69	71	46	68	75	60	58	60	48	51	49	53	71	52	58	45	52
48	84	55	69	72	45	67	76	60	58	70	52	51	48	53	70	54	58	43	51
65	80	55	67	73	45	67	74	62	58	68	52	42	50	53	66	53	54	45	51
65	81	56	69	72	45	71	66	60	58	69	50	50	35	52	61	50	58	45	51
48	90	57	68	71	44	72	71	59	58	68	53	50	48	54	58	56	59	46	54
62	81	58	68	61	46	53	67	60	57	68	53	50	49	54	61	56	59	46	52
64	82	56	66	72	44	65	76	62	58	71	50	52	49	52	70	39	60	42	54
63	82	58	68	62	46	68	61	60	57	65	50	53	49	50	70	54	58	44	50
65	90	58	69	73	45	69	75	62	58	67	53	48	49	53	59	39	58	44	52
54	81	57	68	71	45	71	75	59	57	68	53	53	50	51	70	56	45	44	42
61	85	56	60	63	44	70	76	60	53	67	52	48	47	50	71	55	52	44	53
48	81	56	65	63	45	69	68	62	58	68	52	50	48	52	70	54	60	44	52
66	84	56	68	72	46	71	75	43	58	68	53	49	48	54	59	52	55	45	53
65	90	58	67	54	45	70	74	60	57	68	53	52	49	52	67	55	59	44	47
65	80	57	57	73	44	72	73	60	58	70	47	42	49	51	70	55	58	46	52
65	79	54	68	73	45	69	74	43	57	68	52	51	50	54	60	51	58	44	51
63	81	58	68	63	45	72	72	60	57	67	51	50	48	54	70	55	54	46	40
54	80	56	65	71	45	69	76	62	52	67	51	49	48	54	59	52	45	46	51
65	87	56	68	71	44	68	67	59	57	60	53	52	49	54	67	53	59	45	47
63	81	58	68	71	44	67	76	59	44	67	51	49	46	54	70	52	58	45	52
65	81	57	68	73	45	68	66	62	53	68	44	51	49	54	59	47	58	42	47
66	79	58	68	72	44	68	71	53	44	66	52	49	49	55	59	51	58	43	53
65	81	51	69	73	45	64	73	61	57	68	44	50	47	53	69	54	60	46	51
65	77	56	68	71	45	67	73	59	58	60	53	51	48	53	68	55	59	44	53
65	82	56	60	73	45	69	75	59	58	68	47	51	49	52	70	54	60	44	51
