M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
8	7	13	4	11	14	12	7	6	6	11	10	14	8	9	7	10	8	13	8
8	7	13	4	6	9	18	7	6	6	7	14	14	8	9	7	9	8	13	8
10	7	13	4	7	9	12	11	6	6	8	14	14	5	9	7	9	8	14	8
8	7	13	4	7	9	12	4	6	6	8	14	14	7	11	7	8	8	17	8
10	6	13	4	7	9	12	6	6	6	4	14	14	7	9	7	8	8	12	8
5	6	13	4	7	9	12	7	6	6	8	17	14	7	9	7	9	8	18	8
8	7	13	4	7	8	12	7	6	6	7	18	14	7	9	7	12	8	13	8
8	7	13	4	7	9	12	10	6	5	8	14	14	7	9	7	9	8	17	8
8	6	16	4	7	9	12	7	6	6	7	15	9	7	9	7	11	8	11	8
8	7	13	4	7	9	18	7	6	5	11	15	14	7	9	7	10	8	13	14
8	7	13	4	7	9	12	7	6	6	7	10	14	7	9	7	10	8	17	8
8	7	13	4	6	9	12	10	6	6	7	17	14	7	9	7	10	8	13	9
8	6	13	4	7	9	12	7	6	6	8	15	14	8	9	6	9	11	13	8
8	7	13	4	7	9	12	4	6	6	6	15	13	7	9	7	10	8	17	8
5	7	16	4	7	9	12	7	6	6	7	15	14	7	9	7	10	8	11	8
9	7	13	8	7	9	12	7	6	5	8	14	14	7	9	7	8	8	13	8
8	7	13	4	7	9	12	7	6	5	8	14	14	7	11	7	9	8	16	8
8	7	13	4	7	9	12	7	4	10	7	14	14	7	9	7	10	8	17	8
8	7	13	3	7	9	17	7	6	6	8	14	14	7	9	7	8	8	13	8
8	7	13	4	7	9	18	7	12	6	7	14	19	8	9	7	10	8	9	8
9	6	16	4	11	9	12	7	11	5	7	15	14	7	9	7	11	8	11	8
8	6	13	4	8	9	12	7	6	6	8	15	14	7	9	7	9	12	13	6
8	7	13	4	7	12	12	7	6	6	7	10	14	7	9	7	9	8	13	8
8	7	13	4	7	14	12	7	6	6	7	15	14	9	9	7	11	6	12	8
8	7	13	3	7	9	12	7	6	6	8	14	14	7	9	11	8	8	16	8
8	7	13	8	7	9	12	7	6	6	8	14	19	12	9	7	6	8	13	8
8	7	14	4	7	9	12	7	7	6	8	12	14	7	9	6	8	11	13	8
8	7	13	3	7	9	18	7	6	6	8	14	14	7	9	7	9	8	13	13
