M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
165.165794498419	266.414114620166	156.532225570366	253.714062776203	246.937555715634	202.819100386328	163.988685320213	201.458212743848	173.651633376404	142.1982517101	149.408635659772	157.350131098273	169.175097970374	170.185070196384	108.002247448003	122.402698264025	168.982256481854	181.260735771897	145.104057714702	209.85921020169	170.583755390136	189.964444428941	88.0447968345101	215.758628036616
165.165794498419	266.103264730638	156.532225570369	253.61091499737	246.933787946351	200.197656225088	182.62554441289	204.868177364821	173.651633376403	142.332071051964	150.425576139869	156.826240420236	169.175097970375	170.436340752468	108.002247448003	122.383635557289	170.160560984748	182.044820985701	145.103116804743	209.779297780412	177.91008775725	190.200871796184	88.615957795378	216.102750275357
165.165794498419	266.01961440732	156.532225570369	253.714062776203	246.933787946351	203.677541773049	163.988685320214	204.868177364821	173.651633376404	142.332071051964	150.425576139868	156.826240420236	169.175097970374	170.436340752468	108.002247448002	113.706226106415	170.160560984748	182.044820985702	145.7188327379	209.85921020169	212.704979996994	190.200871796184	88.6195239677268	216.102750275357
165.165794498419	266.103264730638	156.532225570369	253.61091499737	246.933787946351	200.197656225087	163.988685320213	232.32689326355	173.651633376403	142.332071051964	149.419310640333	156.826240420235	169.175097970375	170.377158598637	108.002247448003	122.402698264025	170.160560984748	182.044820985701	144.214932126757	209.85921020169	177.91008775725	190.200871796184	88.6195239677257	216.102750275357
165.165794498419	307.636946731288	156.532225570369	253.714062776203	246.937555715634	200.197656225087	163.988685320213	201.458212743848	173.651633376403	142.1982517101	149.408635659773	156.826240420235	168.023993921849	170.239932087042	107.611317029605	122.381053860695	169.678506861023	181.840714473877	145.1040577147	209.85921020169	176.988576873719	189.96444442894	88.0654449942541	215.758628036616
165.165794498419	267.447738670429	156.532225570369	253.714062776203	246.937555715634	200.197656225087	163.986448489185	201.458212743848	173.587754949143	142.1982517101	149.408635659774	156.826240420235	169.175097970375	170.185070196384	108.002247448002	122.382077188533	168.982256481855	181.883339377493	145.103116804743	209.85921020169	212.704979996994	189.964444428941	88.0447968345101	215.758628036616
191.327107148634	266.103264730638	156.532225570369	253.61091499737	246.933787946351	200.197656225087	163.988685320212	204.868177364821	173.651633376403	142.332071051964	150.425576139869	156.826240420235	169.175097970374	170.436340752468	108.002247448002	122.382077188533	170.160560984748	182.044820985702	145.103116804743	209.856120403545	177.930106386667	190.200871796185	88.615957795378	216.102750275357
191.327107148634	266.103264730636	156.496537112326	253.714062776203	246.933787946351	199.000680414244	163.988685320213	204.868177364821	173.651633376403	142.332071051965	149.419310640331	155.544251879417	169.514424973589	170.386963240939	108.002247448002	122.382077188534	170.160560984747	181.463541643638	144.214932126756	209.85921020169	176.996231733897	189.719516826689	88.3172132797034	216.102750275357
165.216376628022	266.103264730638	156.532225570371	253.714062776203	246.777097876558	200.271987799551	163.988685320213	204.868177364821	173.587754949143	142.332071051964	150.425576139869	156.69328230673	169.175097970375	200.344886169689	108.002247448003	122.383635557289	168.907856222078	182.044820985701	145.103116804742	209.85921020169	177.553774004057	190.200871796184	88.35247944768	216.102750275357
165.165794498419	266.103264730638	155.987209554411	253.554629489076	246.933787946352	200.197656225087	163.986448489182	204.868177364821	173.651633376403	142.332071051964	149.419310640333	156.826240420235	196.985265833466	170.436340752468	108.006537156495	122.402698264025	169.804970942196	182.044820985702	145.103116804742	209.779297780412	177.91008775725	190.200871796184	88.6195239677257	216.102750275357
