M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
58	87	63	65	64	76	65	51	61	55	59	55	61	69	51	51	47	60	58	63	63	55	58	52
58	87	61	67	64	72	65	51	60	55	59	64	62	67	55	51	39	61	58	61	63	56	53	51
58	84	61	67	64	77	65	51	60	55	60	66	60	60	52	51	47	47	58	64	60	57	56	48
56	85	63	67	64	74	64	51	60	55	57	64	61	66	57	51	46	59	57	64	63	57	46	47
58	85	59	64	65	73	64	51	60	55	59	62	63	69	53	51	47	47	55	64	62	56	50	52
58	86	45	64	65	73	66	52	61	55	58	69	62	66	55	51	52	59	59	65	62	57	61	47
58	85	63	67	65	76	67	52	61	56	57	62	61	65	47	51	46	59	53	64	62	58	55	47
58	87	59	67	64	74	64	51	60	57	63	66	68	64	58	49	52	57	58	62	64	55	53	47
58	87	63	67	66	64	65	51	60	57	60	59	61	68	53	51	49	61	58	64	63	55	53	52
58	87	63	67	70	73	65	52	60	56	60	67	60	66	54	51	45	58	57	64	63	42	54	47
58	80	56	67	65	74	65	55	60	56	62	66	60	65	52	51	50	60	58	65	60	55	51	47
58	85	63	67	71	73	66	51	60	56	64	67	63	65	55	51	48	47	61	64	64	51	55	48
58	86	63	64	64	75	67	52	60	55	54	67	63	64	56	51	39	61	61	64	59	56	55	47
58	87	63	66	65	75	71	52	60	56	46	62	61	65	56	51	46	58	62	65	64	56	51	50
55	83	61	64	64	75	65	52	60	56	46	57	61	69	56	51	48	59	58	66	63	55	48	52
56	86	63	64	64	75	64	51	60	55	63	67	62	66	53	51	46	59	63	61	62	56	52	47
58	84	55	67	65	75	68	51	54	55	61	67	62	69	53	51	47	60	58	61	64	56	54	52
47	85	63	64	64	75	66	51	60	58	59	63	62	68	55	51	47	60	54	64	64	56	53	52
58	85	61	66	64	75	64	52	60	56	63	67	61	65	58	51	52	59	54	61	61	56	53	48
47	86	61	64	64	79	68	52	60	55	60	67	63	65	52	47	48	61	62	64	55	57	53	47
56	87	60	64	64	78	64	51	60	56	60	64	61	69	58	50	47	61	58	61	51	55	58	52
58	84	63	64	65	72	64	50	61	55	60	55	61	65	56	51	45	59	56	61	59	57	53	50
56	87	60	67	66	70	65	52	60	62	60	64	60	67	56	49	39	61	59	65	62	55	48	51
56	85	55	67	64	75	67	51	60	56	59	66	62	68	54	51	48	57	57	64	60	55	50	41
56	84	59	67	65	76	65	51	60	62	59	59	60	69	53	51	39	62	55	64	62	56	52	52
58	83	60	64	66	74	67	49	60	55	57	67	60	65	47	50	46	59	53	65	61	56	53	48
55	80	63	67	64	78	66	51	60	55	60	64	61	61	56	46	47	60	58	61	60	55	55	51
53	84	63	67	65	75	67	51	60	58	46	64	62	68	56	51	47	53	56	66	63	55	49	52
58	84	63	67	66	74	66	51	60	54	60	64	62	64	52	50	47	59	57	61	61	56	51	47
58	80	61	67	65	75	66	52	61	57	62	66	61	66	53	51	54	60	62	62	61	57	52	47
58	85	63	67	64	74	65	51	60	55	63	60	62	65	58	51	46	57	54	65	51	56	53	47
58	86	63	64	65	78	68	50	61	55	57	64	60	66	53	51	45	59	62	57	60	57	54	47
56	89	63	64	64	75	67	51	60	56	61	64	62	68	54	51	47	61	54	62	63	55	53	52
58	87	63	64	64	71	66	51	60	62	63	64	56	68	51	51	47	60	61	64	61	55	55	51
55	87	63	64	64	69	65	51	60	56	58	67	62	69	57	39	47	61	54	66	62	55	56	51
58	83	61	70	64	75	64	51	60	56	61	65	61	69	57	51	48	54	52	65	62	55	52	53
58	87	63	64	65	78	64	53	60	57	60	69	63	67	47	51	47	61	55	61	63	55	48	53
58	86	63	67	64	77	64	50	60	55	65	64	60	62	58	50	39	60	61	62	61	56	53	47
58	84	61	64	64	74	64	52	60	58	64	65	60	66	52	51	46	47	61	61	61	56	53	47
58	88	65	66	65	75	67	50	54	56	63	67	63	65	56	51	48	59	62	65	60	57	52	47
58	88	64	67	64	75	65	51	60	55	61	59	61	67	55	43	47	61	54	66	64	56	50	41
58	86	63	64	61	75	66	52	60	55	65	62	62	69	56	46	47	59	58	65	63	56	51	52
53	86	63	65	65	73	66	51	60	62	60	64	61	68	55	51	48	62	59	65	64	55	50	41
58	85	65	67	66	75	64	52	60	55	63	62	63	66	53	39	54	60	65	65	64	49	53	47
58	87	63	65	66	76	66	52	60	56	62	62	61	68	57	51	48	61	54	65	63	56	53	52
58	85	61	65	71	76	67	52	61	55	64	67	63	65	54	49	54	61	54	66	54	49	54	47
56	86	54	64	64	75	64	52	60	57	60	65	61	64	53	51	52	59	56	64	63	56	46	50
58	87	61	67	65	76	65	51	60	57	61	55	63	64	56	51	52	60	64	64	63	56	53	47
55	87	63	67	64	64	64	51	60	55	63	64	63	69	56	51	47	61	56	65	65	57	54	52
58	87	63	67	67	73	64	52	60	56	60	64	56	69	56	51	47	61	56	65	61	56	48	52
58	85	63	63	61	75	64	53	60	56	60	62	60	68	52	51	47	61	57	64	62	55	53	48
