M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
8	6	13	4	7	12	6	6	10	7	11	12	8	7	14	14	7	9	12	11	9	8	19	8
8	6	13	8	7	12	6	6	6	7	11	11	8	7	14	14	5	9	12	7	9	8	14	8
8	6	13	4	7	12	6	6	6	7	11	11	8	11	14	14	7	6	12	7	10	8	17	8
7	6	13	4	7	11	6	6	6	7	11	11	8	6	14	14	12	9	12	11	10	8	11	8
8	6	17	4	7	12	6	6	6	7	11	11	8	7	15	14	7	6	11	7	9	8	13	8
8	6	10	4	7	11	6	6	10	7	16	14	8	6	14	14	8	9	12	11	10	8	15	8
8	6	13	4	7	17	6	6	10	7	10	14	8	6	10	14	7	9	16	7	10	8	12	8
8	6	12	4	7	11	4	6	6	7	16	11	8	6	15	14	8	8	12	7	10	8	12	8
8	6	13	4	7	8	6	6	6	7	11	15	8	7	14	14	12	9	12	7	9	8	18	8
8	9	13	4	8	12	6	6	6	7	11	11	8	7	14	14	7	9	12	7	10	6	12	8
8	3	16	4	7	12	6	11	6	7	12	11	8	6	14	14	9	9	12	7	10	8	11	8
8	7	14	4	11	12	6	6	6	7	13	11	8	6	14	14	7	6	12	7	10	11	12	8
8	7	13	4	7	12	6	6	6	7	16	11	8	6	14	14	5	9	20	7	13	8	12	8
8	6	13	4	7	12	9	6	6	7	8	15	8	6	14	14	12	9	12	7	10	8	14	14
9	6	13	4	7	12	6	6	6	7	8	11	8	7	14	14	7	8	12	7	9	8	12	8
7	6	13	4	7	12	4	6	6	7	12	11	8	6	14	14	7	9	18	7	11	8	12	8
8	6	16	4	7	12	10	11	5	7	11	11	11	7	14	14	7	9	12	7	9	8	11	8
5	9	13	4	7	12	6	6	6	7	11	11	8	7	14	14	7	10	16	7	9	8	12	8
8	6	13	4	7	12	6	6	6	7	14	11	8	6	14	14	8	9	8	7	9	8	13	8
5	7	13	4	7	18	10	6	6	7	11	11	8	6	14	19	7	9	12	7	12	8	12	8
7	6	12	4	7	12	6	6	6	7	11	11	8	7	15	14	7	9	12	7	6	8	18	8
8	7	13	4	7	12	6	6	10	7	11	12	8	6	15	14	7	9	19	7	10	8	13	14
7	6	12	4	7	11	6	6	6	11	11	11	8	7	14	14	5	9	13	7	9	8	12	8
7	6	15	4	7	12	6	6	6	7	11	11	8	7	14	14	7	8	12	7	10	8	12	6
7	6	12	4	7	12	6	6	6	11	11	11	8	7	14	14	5	9	11	7	9	8	12	8
8	6	12	4	7	17	6	7	6	7	10	11	8	6	10	14	7	9	16	7	9	8	12	8
10	3	13	4	7	12	6	6	6	7	11	11	8	11	14	20	7	9	12	7	10	8	17	8
7	6	13	4	7	12	6	6	6	7	8	11	8	7	14	14	7	11	12	7	9	8	12	8
8	6	13	4	7	17	6	6	6	5	11	11	8	6	14	13	7	9	12	7	11	8	15	8
8	3	13	4	7	12	7	6	10	7	11	11	13	6	14	14	8	9	20	7	11	8	12	8
