isolate_ID	Class
Leaf1	Actinobacteria
Leaf2	Alphaproteobacteria
Leaf3	Actinobacteria
Leaf5	Alphaproteobacteria
Leaf7	Actinobacteria
Leaf8	Actinobacteria
Leaf9	Alphaproteobacteria
Leaf10	Alphaproteobacteria
Leaf11	Alphaproteobacteria
Leaf13	Bacilli
Leaf15	Gammaproteobacteria
Leaf16	Alphaproteobacteria
Leaf17	Alphaproteobacteria
Leaf20	Alphaproteobacteria
Leaf22	Alphaproteobacteria
Leaf23	Alphaproteobacteria
Leaf24	Alphaproteobacteria
Leaf25	Alphaproteobacteria
Leaf26	Alphaproteobacteria
Leaf28	Alphaproteobacteria
Leaf29	Alphaproteobacteria
Leaf30	Alphaproteobacteria
Leaf32	Alphaproteobacteria
Leaf33	Alphaproteobacteria
Leaf34	Alphaproteobacteria
Leaf38	Alphaproteobacteria
Leaf41	Sphingobacteriia
Leaf42	Alphaproteobacteria
Leaf44	Actinobacteria
Leaf48	Gammaproteobacteria
Leaf49	Bacilli
Leaf50	Gammaproteobacteria
Leaf51	Gammaproteobacteria
Leaf53	Gammaproteobacteria
Leaf58	Gammaproteobacteria
Leaf61	Betaproteobacteria
Leaf62	Alphaproteobacteria
Leaf64	Alphaproteobacteria
Leaf67	Alphaproteobacteria
Leaf68	Alphaproteobacteria
Leaf69	Actinobacteria
Leaf70	Gammaproteobacteria
Leaf72	Bacilli
Leaf75	Bacilli
Leaf76	Betaproteobacteria
Leaf78	Betaproteobacteria
Leaf82	Flavobacteriia
Leaf83	Gammaproteobacteria
Leaf84	Betaproteobacteria
Leaf85	Alphaproteobacteria
Leaf86	Alphaproteobacteria
Leaf87	Alphaproteobacteria
Leaf88	Alphaproteobacteria
Leaf89	Alphaproteobacteria
Leaf90	Alphaproteobacteria
Leaf91	Alphaproteobacteria
Leaf92	Alphaproteobacteria
Leaf93	Alphaproteobacteria
Leaf94	Alphaproteobacteria
Leaf99	Alphaproteobacteria
Leaf100	Alphaproteobacteria
Leaf102	Alphaproteobacteria
Leaf104	Alphaproteobacteria
Leaf106	Alphaproteobacteria
Leaf108	Alphaproteobacteria
Leaf111	Alphaproteobacteria
Leaf112	Alphaproteobacteria
Leaf113	Alphaproteobacteria
Leaf117	Alphaproteobacteria
Leaf119	Alphaproteobacteria
Leaf121	Alphaproteobacteria
Leaf122	Alphaproteobacteria
Leaf123	Alphaproteobacteria
Leaf125	Alphaproteobacteria
Leaf126	Betaproteobacteria
Leaf127	Gammaproteobacteria
Leaf129	Gammaproteobacteria
Leaf130	Gammaproteobacteria
Leaf131	Gammaproteobacteria
Leaf137	Actinobacteria
Leaf139	Betaproteobacteria
Leaf141	Actinobacteria
Leaf145	Actinobacteria
Leaf148	Gammaproteobacteria
Leaf151	Actinobacteria
Leaf154	Actinobacteria
Leaf155	Alphaproteobacteria
Leaf159	Actinobacteria
Leaf160	Betaproteobacteria
Leaf161	Actinobacteria
Leaf164	Actinobacteria
Leaf168	Alphaproteobacteria
Leaf171	Actinobacteria
Leaf172	Actinobacteria
Leaf176	Sphingobacteriia
Leaf177	Betaproteobacteria
Leaf179	Actinobacteria
Leaf180	Flavobacteriia
Leaf182	Bacilli
Leaf183	Actinobacteria
Leaf185	Actinobacteria
Leaf186	Actinobacteria
Leaf187	Bacilli
Leaf189	Cytophagia
Leaf191	Betaproteobacteria
Leaf194	Sphingobacteriia
Leaf196	Bacilli
Leaf198	Alphaproteobacteria
Leaf201	Flavobacteriia
Leaf202	Alphaproteobacteria
Leaf203	Actinobacteria
Leaf208	Alphaproteobacteria
Leaf210	Actinobacteria
Leaf216	Sphingobacteriia
Leaf220	Betaproteobacteria
Leaf222	Actinobacteria
Leaf225	Actinobacteria
Leaf226	Alphaproteobacteria
Leaf230	Alphaproteobacteria
Leaf231	Alphaproteobacteria
Leaf233	Actinobacteria
Leaf234	Actinobacteria
Leaf242	Alphaproteobacteria
Leaf244	Actinobacteria
Leaf245	Actinobacteria
Leaf247	Actinobacteria
Leaf254	Actinobacteria
Leaf257	Alphaproteobacteria
Leaf258	Actinobacteria
Leaf261	Actinobacteria
Leaf262	Alphaproteobacteria
Leaf263	Actinobacteria
Leaf264	Actinobacteria
Leaf265	Betaproteobacteria
Leaf267	Betaproteobacteria
Leaf272	Actinobacteria
Leaf274	Betaproteobacteria
Leaf278	Actinobacteria
Leaf280	Alphaproteobacteria
Leaf283	Actinobacteria
Leaf285	Actinobacteria
Leaf288	Actinobacteria
Leaf289	Actinobacteria
Leaf291	Actinobacteria
Leaf294	Actinobacteria
Leaf296	Actinobacteria
Leaf299	Actinobacteria
Leaf304	Actinobacteria
Leaf306	Alphaproteobacteria
Leaf307	Actinobacteria
Leaf311	Alphaproteobacteria
Leaf314	Actinobacteria
Leaf320	Actinobacteria
Leaf321	Alphaproteobacteria
Leaf324	Alphaproteobacteria
Leaf325	Actinobacteria
Leaf326	Deinococci
Leaf334	Actinobacteria
Leaf335	Actinobacteria
Leaf336	Actinobacteria
Leaf337	Actinobacteria
Leaf339	Alphaproteobacteria
Leaf341	Alphaproteobacteria
Leaf343	Alphaproteobacteria
Leaf344	Alphaproteobacteria
Leaf347	Actinobacteria
Leaf351	Actinobacteria
Leaf354	Actinobacteria
Leaf357	Alphaproteobacteria
Leaf359	Flavobacteriia
Leaf361	Alphaproteobacteria
Leaf363	Alphaproteobacteria
Leaf369	Actinobacteria
Leaf371	Alphaproteobacteria
Leaf380	Actinobacteria
Leaf383	Alphaproteobacteria
Leaf384	Alphaproteobacteria
Leaf386	Alphaproteobacteria
Leaf391	Alphaproteobacteria
Leaf394	Flavobacteriia
Leaf395	Actinobacteria
Leaf396	Alphaproteobacteria
Leaf399	Alphaproteobacteria
Leaf400	Betaproteobacteria
Leaf404	Flavobacteriia
Leaf405	Flavobacteriia
Leaf406	Bacilli
Leaf407	Alphaproteobacteria
Leaf412	Alphaproteobacteria
Leaf414	Betaproteobacteria
Leaf415	Actinobacteria
Leaf416	Betaproteobacteria
Leaf420	Alphaproteobacteria
Leaf427	Alphaproteobacteria
Leaf434	Gammaproteobacteria
Leaf436	Actinobacteria
Leaf443	Alphaproteobacteria
Leaf446	Actinobacteria
Leaf453	Alphaproteobacteria
Leaf454	Alphaproteobacteria
Leaf456	Alphaproteobacteria
Leaf459	Betaproteobacteria
Leaf460	Alphaproteobacteria
Leaf465	Alphaproteobacteria
Leaf466	Alphaproteobacteria
Leaf469	Alphaproteobacteria
Root100	Alphaproteobacteria
Root101	Actinobacteria
Root102	Alphaproteobacteria
Root105	Alphaproteobacteria
Root107	Actinobacteria
Root11	Bacilli
Root112D2	Actinobacteria
Root1203	Alphaproteobacteria
Root1204	Alphaproteobacteria
Root1212	Alphaproteobacteria
Root1217	Betaproteobacteria
Root122	Actinobacteria
Root1220	Alphaproteobacteria
Root1221	Betaproteobacteria
Root123D2	Alphaproteobacteria
Root1237	Betaproteobacteria
Root1238	Betaproteobacteria
Root1240	Alphaproteobacteria
Root1252	Alphaproteobacteria
Root1257	Actinobacteria
Root127	Alphaproteobacteria
Root1272	Betaproteobacteria
Root1277	Alphaproteobacteria
Root1279	Alphaproteobacteria
Root1280	Gammaproteobacteria
Root1290	Alphaproteobacteria
Root1293	Actinobacteria
Root1294	Alphaproteobacteria
Root1295	Actinobacteria
Root1298	Alphaproteobacteria
Root1304	Actinobacteria
Root131	Bacilli
Root1310	Actinobacteria
Root1312	Alphaproteobacteria
Root1319	Actinobacteria
Root133	Betaproteobacteria
Root1334	Alphaproteobacteria
Root135	Actinobacteria
Root136	Actinobacteria
Root137	Actinobacteria
Root140	Actinobacteria
Root142	Alphaproteobacteria
Root1423	Alphaproteobacteria
Root1433D1	Actinobacteria
Root1444	Betaproteobacteria
Root1455	Alphaproteobacteria
Root1462	Alphaproteobacteria
Root1464	Actinobacteria
Root147	Bacilli
Root1471	Alphaproteobacteria
Root1472	Alphaproteobacteria
Root1480D1	Betaproteobacteria
Root1485	Betaproteobacteria
Root149	Alphaproteobacteria
Root1497	Alphaproteobacteria
Root151	Actinobacteria
Root154	Alphaproteobacteria
Root157	Alphaproteobacteria
Root16D2	Betaproteobacteria
Root166	Actinobacteria
Root170	Betaproteobacteria
Root172	Alphaproteobacteria
Root179	Gammaproteobacteria
Root180	Actinobacteria
Root181	Actinobacteria
Root186	Flavobacteriia
Root187	Actinobacteria
Root189	Betaproteobacteria
Root190	Actinobacteria
Root198D2	Betaproteobacteria
Root209	Betaproteobacteria
Root214	Alphaproteobacteria
Root217	Betaproteobacteria
Root219	Betaproteobacteria
Root22	Actinobacteria
Root224	Actinobacteria
Root227	Actinobacteria
Root231	Alphaproteobacteria
Root236	Actinobacteria
Root239	Bacilli
Root240	Actinobacteria
Root241	Alphaproteobacteria
Root258	Alphaproteobacteria
Root264	Actinobacteria
Root265	Actinobacteria
Root267	Betaproteobacteria
Root268	Alphaproteobacteria
Root274	Alphaproteobacteria
Root275	Betaproteobacteria
Root278	Alphaproteobacteria
Root280D1	Actinobacteria
Root29	Betaproteobacteria
Root31	Alphaproteobacteria
Root318D1	Betaproteobacteria
Root322	Actinobacteria
Root329	Gammaproteobacteria
Root332	Actinobacteria
Root335	Betaproteobacteria
Root336D2	Betaproteobacteria
Root342	Alphaproteobacteria
Root343	Alphaproteobacteria
Root344	Actinobacteria
Root351	Betaproteobacteria
Root369	Actinobacteria
Root381	Alphaproteobacteria
Root4	Actinobacteria
Root401	Gammaproteobacteria
Root402	Betaproteobacteria
Root404	Betaproteobacteria
Root405	Betaproteobacteria
Root411	Betaproteobacteria
Root413D1	Alphaproteobacteria
Root418	Betaproteobacteria
Root420	Flavobacteriia
Root423	Alphaproteobacteria
Root431	Actinobacteria
Root434	Betaproteobacteria
Root436	Alphaproteobacteria
