isolate_ID	Family
Leaf1	Microbacteriaceae
Leaf2	Sphingomonadaceae
Leaf3	Promicromonosporaceae
Leaf5	Sphingomonadaceae
Leaf7	Nocardiaceae
Leaf8	Microbacteriaceae
Leaf9	Sphingomonadaceae
Leaf10	Sphingomonadaceae
Leaf11	Sphingomonadaceae
Leaf13	Bacillaceae
Leaf15	Pseudomonadaceae
Leaf16	Sphingomonadaceae
Leaf17	Sphingomonadaceae
Leaf20	Sphingomonadaceae
Leaf22	Sphingomonadaceae
Leaf23	Sphingomonadaceae
Leaf24	Sphingomonadaceae
Leaf25	Sphingomonadaceae
Leaf26	Sphingomonadaceae
Leaf28	Sphingomonadaceae
Leaf29	Sphingomonadaceae
Leaf30	Sphingomonadaceae
Leaf32	Sphingomonadaceae
Leaf33	Sphingomonadaceae
Leaf34	Sphingomonadaceae
Leaf38	Sphingomonadaceae
Leaf41	Sphingobacteriaceae
Leaf42	Sphingomonadaceae
Leaf44	Microbacteriaceae
Leaf48	Pseudomonadaceae
Leaf49	Bacillaceae
Leaf50	Enterobacteriaceae
Leaf51	Enterobacteriaceae
Leaf53	Enterobacteriaceae
Leaf58	Pseudomonadaceae
Leaf61	Oxalobacteraceae
Leaf62	Sphingomonadaceae
Leaf64	Hyphomicrobiaceae
Leaf67	Sphingomonadaceae
Leaf68	Rhizobiaceae
Leaf69	Micrococcaceae
Leaf70	Xanthomonadaceae
Leaf72	Paenibacillaceae
Leaf75	Bacillaceae
Leaf76	Comamonadaceae
Leaf78	Comamonadaceae
Leaf82	Flavobacteriaceae
Leaf83	Pseudomonadaceae
Leaf84	Comamonadaceae
Leaf85	Methylobacteriaceae
Leaf86	Methylobacteriaceae
Leaf87	Methylobacteriaceae
Leaf88	Methylobacteriaceae
Leaf89	Methylobacteriaceae
Leaf90	Methylobacteriaceae
Leaf91	Methylobacteriaceae
Leaf92	Methylobacteriaceae
Leaf93	Methylobacteriaceae
Leaf94	Methylobacteriaceae
Leaf99	Methylobacteriaceae
Leaf100	Methylobacteriaceae
Leaf102	Methylobacteriaceae
Leaf104	Methylobacteriaceae
