isolate_ID	Order
Leaf1	Actinomycetales
Leaf2	Sphingomonadales
Leaf3	Actinomycetales
Leaf5	Sphingomonadales
Leaf7	Actinomycetales
Leaf8	Actinomycetales
Leaf9	Sphingomonadales
Leaf10	Sphingomonadales
Leaf11	Sphingomonadales
Leaf13	Bacillales
Leaf15	Pseudomonadales
Leaf16	Sphingomonadales
Leaf17	Sphingomonadales
Leaf20	Sphingomonadales
Leaf22	Sphingomonadales
Leaf23	Sphingomonadales
Leaf24	Sphingomonadales
Leaf25	Sphingomonadales
Leaf26	Sphingomonadales
Leaf28	Sphingomonadales
Leaf29	Sphingomonadales
Leaf30	Sphingomonadales
Leaf32	Sphingomonadales
Leaf33	Sphingomonadales
Leaf34	Sphingomonadales
Leaf38	Sphingomonadales
Leaf41	Sphingobacteriales
Leaf42	Sphingomonadales
Leaf44	Actinomycetales
Leaf48	Pseudomonadales
Leaf49	Bacillales
Leaf50	Enterobacteriales
Leaf51	Enterobacteriales
Leaf53	Enterobacteriales
Leaf58	Pseudomonadales
Leaf61	Burkholderiales
Leaf62	Sphingomonadales
Leaf64	Rhizobiales
Leaf67	Sphingomonadales
Leaf68	Rhizobiales
Leaf69	Actinomycetales
Leaf70	Xanthomonadales
Leaf72	Bacillales
Leaf75	Bacillales
Leaf76	Burkholderiales
Leaf78	Burkholderiales
Leaf82	Flavobacteriales
Leaf83	Pseudomonadales
Leaf84	Burkholderiales
Leaf85	Rhizobiales
Leaf86	Rhizobiales
Leaf87	Rhizobiales
Leaf88	Rhizobiales
Leaf89	Rhizobiales
Leaf90	Rhizobiales
Leaf91	Rhizobiales
Leaf92	Rhizobiales
Leaf93	Rhizobiales
Leaf94	Rhizobiales
Leaf99	Rhizobiales
Leaf100	Rhizobiales
Leaf102	Rhizobiales
Leaf104	Rhizobiales
Leaf106	Rhizobiales
Leaf108	Rhizobiales
Leaf111	Rhizobiales
Leaf112	Rhizobiales
Leaf113	Rhizobiales
Leaf117	Rhizobiales
Leaf119	Rhizobiales
Leaf121	Rhizobiales
Leaf122	Rhizobiales
Leaf123	Rhizobiales
Leaf125	Rhizobiales
Leaf126	Burkholderiales
Leaf127	Pseudomonadales
Leaf129	Pseudomonadales
Leaf130	Pseudomonadales
Leaf131	Xanthomonadales
Leaf137	Actinomycetales
Leaf139	Burkholderiales
Leaf141	Actinomycetales
Leaf145	Actinomycetales
Leaf148	Xanthomonadales
Leaf151	Actinomycetales
Leaf154	Actinomycetales
Leaf155	Rhizobiales
Leaf159	Actinomycetales
Leaf160	Burkholderiales
Leaf161	Actinomycetales
Leaf164	Actinomycetales
Leaf168	Caulobacterales
Leaf171	Actinomycetales
Leaf172	Actinomycetales
Leaf176	Sphingobacteriales
Leaf177	Burkholderiales
Leaf179	Actinomycetales
Leaf180	Flavobacteriales
Leaf182	Bacillales
Leaf183	Actinomycetales
Leaf185	Actinomycetales
Leaf186	Actinomycetales
Leaf187	Bacillales
