isolate_ID	Phylum
Leaf1	Actinobacteria
Leaf2	Proteobacteria
Leaf3	Actinobacteria
Leaf5	Proteobacteria
Leaf7	Actinobacteria
Leaf8	Actinobacteria
Leaf9	Proteobacteria
Leaf10	Proteobacteria
Leaf11	Proteobacteria
Leaf13	Firmicutes
Leaf15	Proteobacteria
Leaf16	Proteobacteria
Leaf17	Proteobacteria
Leaf20	Proteobacteria
Leaf22	Proteobacteria
Leaf23	Proteobacteria
Leaf24	Proteobacteria
Leaf25	Proteobacteria
Leaf26	Proteobacteria
Leaf28	Proteobacteria
Leaf29	Proteobacteria
Leaf30	Proteobacteria
Leaf32	Proteobacteria
Leaf33	Proteobacteria
Leaf34	Proteobacteria
Leaf38	Proteobacteria
Leaf41	Bacteroidetes
Leaf42	Proteobacteria
Leaf44	Actinobacteria
Leaf48	Proteobacteria
Leaf49	Firmicutes
Leaf50	Proteobacteria
Leaf51	Proteobacteria
Leaf53	Proteobacteria
Leaf58	Proteobacteria
Leaf61	Proteobacteria
Leaf62	Proteobacteria
Leaf64	Proteobacteria
Leaf67	Proteobacteria
Leaf68	Proteobacteria
Leaf69	Actinobacteria
Leaf70	Proteobacteria
Leaf72	Firmicutes
Leaf75	Firmicutes
Leaf76	Proteobacteria
Leaf78	Proteobacteria
Leaf82	Bacteroidetes
Leaf83	Proteobacteria
Leaf84	Proteobacteria
Leaf85	Proteobacteria
Leaf86	Proteobacteria
Leaf87	Proteobacteria
Leaf88	Proteobacteria
Leaf89	Proteobacteria
Leaf90	Proteobacteria
Leaf91	Proteobacteria
Leaf92	Proteobacteria
Leaf93	Proteobacteria
Leaf94	Proteobacteria
Leaf99	Proteobacteria
Leaf100	Proteobacteria
Leaf102	Proteobacteria
Leaf104	Proteobacteria
Leaf106	Proteobacteria
Leaf108	Proteobacteria
Leaf111	Proteobacteria
Leaf112	Proteobacteria
Leaf113	Proteobacteria
Leaf117	Proteobacteria
Leaf119	Proteobacteria
Leaf121	Proteobacteria
Leaf122	Proteobacteria
Leaf123	Proteobacteria
Leaf125	Proteobacteria
Leaf126	Proteobacteria
Leaf127	Proteobacteria
Leaf129	Proteobacteria
Leaf130	Proteobacteria
Leaf131	Proteobacteria
Leaf137	Actinobacteria
Leaf139	Proteobacteria
Leaf141	Actinobacteria
Leaf145	Actinobacteria
Leaf148	Proteobacteria
Leaf151	Actinobacteria
Leaf154	Actinobacteria
Leaf155	Proteobacteria
Leaf159	Actinobacteria
Leaf160	Proteobacteria
Leaf161	Actinobacteria
Leaf164	Actinobacteria
Leaf168	Proteobacteria
Leaf171	Actinobacteria
Leaf172	Actinobacteria
Leaf176	Bacteroidetes
Leaf177	Proteobacteria
Leaf179	Actinobacteria
Leaf180	Bacteroidetes
Leaf182	Firmicutes
Leaf183	Actinobacteria
Leaf185	Actinobacteria
Leaf186	Actinobacteria
Leaf187	Firmicutes
Leaf189	Bacteroidetes
Leaf191	Proteobacteria
Leaf194	Bacteroidetes
Leaf196	Firmicutes
Leaf198	Proteobacteria
Leaf201	Bacteroidetes
Leaf202	Proteobacteria
Leaf203	Actinobacteria
Leaf208	Proteobacteria
Leaf210	Actinobacteria
Leaf216	Bacteroidetes
Leaf220	Proteobacteria
Leaf222	Actinobacteria
Leaf225	Actinobacteria
Leaf226	Proteobacteria
Leaf230	Proteobacteria
Leaf231	Proteobacteria
Leaf233	Actinobacteria
Leaf234	Actinobacteria
Leaf242	Proteobacteria
Leaf244	Actinobacteria
Leaf245	Actinobacteria
Leaf247	Actinobacteria
Leaf254	Actinobacteria
Leaf257	Proteobacteria
Leaf258	Actinobacteria
Leaf261	Actinobacteria
Leaf262	Proteobacteria
Leaf263	Actinobacteria
Leaf264	Actinobacteria
Leaf265	Proteobacteria
Leaf267	Proteobacteria
Leaf272	Actinobacteria
Leaf274	Proteobacteria
Leaf278	Actinobacteria
Leaf280	Proteobacteria
Leaf283	Actinobacteria
Leaf285	Actinobacteria
Leaf288	Actinobacteria
Leaf289	Actinobacteria
Leaf291	Actinobacteria
Leaf294	Actinobacteria
Leaf296	Actinobacteria
Leaf299	Actinobacteria
Leaf304	Actinobacteria
Leaf306	Proteobacteria
Leaf307	Actinobacteria
Leaf311	Proteobacteria
Leaf314	Actinobacteria
Leaf320	Actinobacteria
Leaf321	Proteobacteria
Leaf324	Proteobacteria
Leaf325	Actinobacteria
Leaf326	Deinococcus-Thermus
Leaf334	Actinobacteria
Leaf335	Actinobacteria
Leaf336	Actinobacteria
Leaf337	Actinobacteria
Leaf339	Proteobacteria
Leaf341	Proteobacteria
Leaf343	Proteobacteria
Leaf344	Proteobacteria
Leaf347	Actinobacteria
Leaf351	Actinobacteria
Leaf354	Actinobacteria
Leaf357	Proteobacteria
Leaf359	Bacteroidetes
Leaf361	Proteobacteria
Leaf363	Proteobacteria
Leaf369	Actinobacteria
Leaf371	Proteobacteria
Leaf380	Actinobacteria
Leaf383	Proteobacteria
Leaf384	Proteobacteria
Leaf386	Proteobacteria
Leaf391	Proteobacteria
Leaf394	Bacteroidetes
Leaf395	Actinobacteria
Leaf396	Proteobacteria
Leaf399	Proteobacteria
Leaf400	Proteobacteria
Leaf404	Bacteroidetes
Leaf405	Bacteroidetes
Leaf406	Firmicutes
Leaf407	Proteobacteria
Leaf412	Proteobacteria
Leaf414	Proteobacteria
Leaf415	Actinobacteria
Leaf416	Proteobacteria
Leaf420	Proteobacteria
Leaf427	Proteobacteria
Leaf434	Proteobacteria
Leaf436	Actinobacteria
Leaf443	Proteobacteria
Leaf446	Actinobacteria
Leaf453	Proteobacteria
Leaf454	Proteobacteria
Leaf456	Proteobacteria
Leaf459	Proteobacteria
Leaf460	Proteobacteria
Leaf465	Proteobacteria
Leaf466	Proteobacteria
Leaf469	Proteobacteria
Root100	Proteobacteria
Root101	Actinobacteria
Root102	Proteobacteria
Root105	Proteobacteria
Root107	Actinobacteria
Root11	Firmicutes
Root112D2	Actinobacteria
Root1203	Proteobacteria
Root1204	Proteobacteria
Root1212	Proteobacteria
Root1217	Proteobacteria
Root122	Actinobacteria
Root1220	Proteobacteria
Root1221	Proteobacteria
Root123D2	Proteobacteria
Root1237	Proteobacteria
Root1238	Proteobacteria
Root1240	Proteobacteria
Root1252	Proteobacteria
Root1257	Actinobacteria
Root127	Proteobacteria
Root1272	Proteobacteria
Root1277	Proteobacteria
Root1279	Proteobacteria
Root1280	Proteobacteria
Root1290	Proteobacteria
Root1293	Actinobacteria
Root1294	Proteobacteria
Root1295	Actinobacteria
Root1298	Proteobacteria
Root1304	Actinobacteria
Root131	Firmicutes
Root1310	Actinobacteria
Root1312	Proteobacteria
Root1319	Actinobacteria
Root133	Proteobacteria
Root1334	Proteobacteria
Root135	Actinobacteria
Root136	Actinobacteria
Root137	Actinobacteria
Root140	Actinobacteria
Root142	Proteobacteria
Root1423	Proteobacteria
Root1433D1	Actinobacteria
Root1444	Proteobacteria
Root1455	Proteobacteria
Root1462	Proteobacteria
Root1464	Actinobacteria
Root147	Firmicutes
Root1471	Proteobacteria
Root1472	Proteobacteria
Root1480D1	Proteobacteria
Root1485	Proteobacteria
Root149	Proteobacteria
Root1497	Proteobacteria
Root151	Actinobacteria
Root154	Proteobacteria
Root157	Proteobacteria
Root16D2	Proteobacteria
Root166	Actinobacteria
Root170	Proteobacteria
Root172	Proteobacteria
Root179	Proteobacteria
Root180	Actinobacteria
