compounds	name	formula	minFlux	maxFlux	concentration
cpd00149	Co2+	Co	-100	100	0.001
cpd00099	Cl-	Cl	-100	100	0.001
cpd00067	H+	H	-100	100	0.001
cpd00063	Ca2+	Ca	-100	100	0.001
cpd00058	Cu2+	Cu	-100	100	0.001
cpd00048	Sulfate	O4S	-100	100	0.001
cpd00034	Zn2+	Zn	-100	100	0.001
cpd00030	Mn2+	Mn	-100	100	0.001
cpd00013	NH3	H4N	-100	100	0.001
cpd00009	Phosphate	HO4P	-100	100	0.001
cpd00001	H2O	H2O	-100	100	0.001
cpd00007	O2	O2	-100	10	0.001
cpd00205	K+	K	-100	100	0.001
cpd00254	Mg	Mg	-100	100	0.001
cpd00971	Na+	Na	-100	100	0.001
cpd10515	Fe2+	Fe	-100	100	0.001
cpd10516	fe3	Fe	-100	100	0.001
cpd11574	Molybdate	H2MoO4	-100	100	0.001
cpd00244	Ni2+	Ni	-100	100	0.001
cpd00027	D-Glucose	C6H12O6	-100	5	0.001
cpd00051	L-Arginine	C6H15N4O2	-100	100	0.001
cpd00107	L-Leucine	C6H13NO2	-100	100	0.001
cpd00322	L-Isoleucine	C6H13NO2	-100	100	0.001
cpd00039	L-Lysine	C6H15N2O2	-100	100	0.001
cpd00129	L-Proline	C5H8NO2	-100	100	0.001
cpd00264	Spermidine	C7H22N3	-100	100	0.001
cpd00054	L-Serine	C3H7NO3	-100	100	0.001
cpd00305	Thiamin	C12H17N4OS	-100	100	0.001
cpd00635	Cbl	C62H89CoN13O14P	-100	100	0.001
