#OTU ID	ZHBr.25	ZHBr.10	ZHBr.6	ZHBr.3	ZHFrei.7	ZHBa.2	ZHBa.5	ZHFrei.6	ZHFrei.8	ZHBr.1	ZHBr.2	TuFarm.1	ZHFrei.9	ZHFrei.5	ZHFrei.4	ZHFrei.2	ZHBr.7	ZHFrei.1	ZHBr.17	TuHae1.1	TuFarm.3	TuHae1.5	TuHae2.3	ZHBr.11	ZHBr.15	TuFarm.8	ZHBr.24	ZHBr.20	ZHBr.8	TuHae1.4	ZHFrei.3	ZHBa.3	ZHBr.18	ZHBr.4	TuHae2.5	ZHBr.5	ZHBr.21	TuHae2.4	ZHBr.13	TuFarm.7	ZHFrei.10	ZHBr.14	TuHae2.1	TuFarm.4	TuFarm.5	ZHBr.16	ZHBr.19	ZHBr.9	ZHBr.23	TuHae1.2	TuFarm.6	ZHBr.26	TuFarm.2	ZHBr.22	ZHBr.12	TuFarm.9	TuHae1.3
Leaf427	4484	104	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Leaf341	0	3718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0
Leaf155	0	0	3032	206	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf414	0	0	0	10722	0	0	0	0	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Leaf11	2186	0	0	3	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf296	1460	0	0	3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Leaf78	0	0	0	0	1530	3	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf104	99	0	0	1393	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf369	0	0	0	0	80	1192	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf100	69	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
