#OTU ID	AtLer3K	AtLer14K	AtLer4K	AtLer15K	AtLer19K	AtLer20K	AtLer25K	AtLer21K	AtSha3K	Bulk2K	AtLer26K	AtSha4K	AtLer27K	Bulk20K	Bulk27K	AtSha19K	AtSha21K	AtSha20K	Bulk4K	Bulk5K	Bulk25K	Bulk21K	Bulk19K
Root264	2091	0	3	0	62	0	3	1	30	0	1	1	0	0	0	1	1	0	0	0	0	0	0
Root1480D1	2144	5	284	10	1	13	1	8	1	0	0	2	1	0	0	0	4	1	0	0	0	0	0
Root1203	1830	53	187	137	4	6	1	0	0	0	3	2	6	0	0	0	3	2	0	0	0	0	0
Root329	1719	0	0	362	0	51	3	1	0	0	1	7	16	0	0	0	0	0	5	0	0	0	0
Root217	8	1029	5	3	0	123	38	1	1	0	3	2	23	5	0	1	0	0	0	0	1	1	0
Root369	537	0	1	0	0	2	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Root1221	457	35	17	9	3	27	10	6	1	0	1	3	22	0	0	0	1	3	0	1	0	0	0
Root1204	2	0	388	1	95	13	0	4	0	0	6	6	18	0	0	0	0	7	0	0	0	2	0
Root1252	330	0	0	0	57	2	1	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	0
Root655	0	325	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root198D2	305	0	41	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1423	194	0	0	0	0	20	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0
Root1497	0	0	0	0	191	36	0	0	0	0	5	1	3	0	0	2	0	3	0	0	0	0	0
Root122	200	0	4	0	19	0	0	0	12	0	1	1	1	0	0	6	1	0	0	0	0	0	0
Root318D1	0	0	187	36	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0
Root420	0	0	0	0	175	0	12	0	2	0	4	3	1	0	0	0	5	0	0	0	1	0	0
Root401	0	159	0	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root133	159	5	44	45	0	13	0	3	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0
Root1310	156	0	15	0	0	0	3	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0
Root351	0	239	15	37	1	3	0	11	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Root1295	98	0	1	0	9	3	0	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Root569	0	0	0	76	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Root186	0	0	0	0	0	0	75	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0
Root181	74	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root491	0	0	0	71	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
Root70	0	0	0	0	0	61	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Root1471	58	0	6	0	0	5	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
Root154	0	0	0	1	0	62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root81	50	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Root1485	24	20	45	5	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Root137	43	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0
Root107	153	0	85	0	6	27	0	3	68	0	0	17	0	0	0	7	5	1	0	0	0	0	0
Root1444	0	36	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0
Root265	0	0	35	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root102	34	1	0	0	5	0	0	1	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0
Root608	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root431	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root494	37	0	3	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root1433D1	23	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Root147	0	0	0	23	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root9	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root278	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1237	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root101	4	0	22	0	8	1	0	0	10	0	0	1	0	1	0	1	0	0	0	1	0	1	0
Root1272	0	0	15	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root1217	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root209	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root630	0	0	0	0	0	19	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Root418	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root140	19	0	1	0	0	1	0	0	4	7	0	0	0	0	0	0	1	0	0	2	0	1	0
Root149	1	15	2	38	2	6	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0
Root670	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1464	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root105	0	2	0	6	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Root1455	0	3	0	41	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root135	0	0	3	0	0	0	0	0	0	5	0	1	0	0	0	1	0	1	0	3	0	0	1
Root190	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Root1279	0	0	0	0	5	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Root1240	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root405	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root710	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Root342	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Root1212	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Root480	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root1294	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root189	0	1	0	2	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root100	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0
Root483D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
Root565	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root935	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0
Root381	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root11	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Root708	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1462	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Root444D2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Root1277	1	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Root559	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
Root236	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root123D2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Root240	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root685	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Root241	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root472D3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root1257	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
