#OTU ID	GHrep1AtCol1	GHrep1AtCol2	GHrep2AtSha2	GHrep1AtLer1	GHrep2AtCol1	GHrep2AtCol3	GHrep1Soil1	GHrep1AtLer2	GHrep1AtLer3	GHrep1AtCol3	GHrep2AtCol2	GHrep1Soil2	GHrep1AtSha2	GHrep2AtLer2	GHrep1AtSha1	GHrep2AtLer1	GHrep1Soil3	GHrep2Soil2	GHrep2AtLer3	GHrep2Soil1	GHrep2AtSha1	GHrep2Soil3	GHrep2AtSha3
Root264	16359	41	0	6	3	1	0	2	1	19	0	0	0	2	0	2	0	0	2	0	0	0	0
Root420	3798	1	0	4	0	0	0	2	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0
Root217	1996	0	0	1	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Root1480D1	1969	13	0	0	0	0	0	2	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0
Root329	1338	5	0	4	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Root147	0	1067	120	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Root1203	1126	0	0	7	0	0	0	2	3	1	0	0	2	0	0	1	0	0	0	0	1	0	0
Root1310	1067	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Root1221	981	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0
Root369	847	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0
Root181	812	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Root569	837	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root198D2	634	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Root122	634	3	0	10	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
Root1237	648	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Root351	1290	59	2	12	3	24	0	0	0	3	0	0	2	6	8	0	1	0	0	1	1	0	0
Root1217	386	27	0	0	0	0	2	8	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
Root9	346	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0
Root265	279	0	0	0	37	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Root655	240	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root318D1	234	31	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0
Root1295	233	0	1	18	5	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
Root70	196	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root81	206	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1444	207	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Root186	202	7	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1252	169	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
Root1204	165	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Root1471	165	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Root342	124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1433D1	116	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root401	113	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Root102	102	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1240	103	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root11	0	104	0	0	8	0	15	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
Root559	0	0	0	84	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root405	83	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root332	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1272	71	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root137	68	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root494	0	62	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root901	58	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root140	56	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Root101	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root935	52	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Root431	42	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root418	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root105	38	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root133	0	29	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Root670	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Root630	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root4	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Root1423	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Root483D1	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root236	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root52	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Root1497	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Root278	0	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root240	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root635	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1455	0	2	0	0	1	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Root107	0	0	1	0	2	1	2	1	1	26	0	0	0	0	0	0	0	0	0	0	0	0	1
Root444D2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Root209	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root154	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Root1293	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Root190	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root100	0	8	0	0	0	0	5	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
Root491	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Root179	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1464	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0
Root920	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Root22	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1212	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root135	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0
Root1279	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
Root1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
Root456	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root608	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root166	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Root1280	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Root170	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root123D2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1485	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Root710	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Root480	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Root436	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1220	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Root685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Root189	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root149	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root227	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root381	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
