#OTU ID	AtLer3K	AtLer19K	AtLer15K	AtLer4K	AtLer20K	Bulk2K	AtSha3K	AtSha19K	AtLer14K	Bulk5K	AtLer21K	AtSha4K	AtSha21K	Bulk20K	AtSha20K	AtLer25K	AtLer27K	AtLer26K	Bulk25K	Bulk21K
Soil802	213	2	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Soil774	200	19	0	4	0	0	12	6	0	0	0	1	1	0	0	0	1	1	0	0
Soil810	74	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Soil768D1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soil531	0	0	23	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soil522	0	0	0	14	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Soil796	19	0	0	1	1	7	4	0	0	2	0	0	1	0	0	0	0	0	0	1
Soil745	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Soil777	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Soil748	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soil538	0	6	0	2	0	5	0	0	0	3	0	1	0	0	1	0	0	0	0	0
Soil736	0	0	0	1	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0
Soil728	4	8	0	5	1	0	10	1	0	1	0	1	0	1	0	0	0	0	0	1
Soil809	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Soil772	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0
Soil750	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0
Soil535	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Soil773	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Soil787	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Soil724D2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
