MNXref	KEGG	BiGG	MetaCyc	ModelSEED	Rhea	EC
MNXR01						
MNXR94668		10FTHF5GLUtl|R_10FTHF5GLUtl|10FTHF5GLUtm|R_10FTHF5GLUtm				
MNXR94669		10FTHF6GLUtl|R_10FTHF6GLUtl|10FTHF6GLUtm|R_10FTHF6GLUtm				
MNXR94670		10FTHF7GLUtl|R_10FTHF7GLUtl|10FTHF7GLUtm|R_10FTHF7GLUtm				
MNXR94672		10FTHFtl|R_10FTHFtl|10FTHFtm|R_10FTHFtm|10FTHFtx|R_10FTHFtx				
MNXR94673		11DOCRTSLtm|R_11DOCRTSLtm|11DOCRTSLtr|R_11DOCRTSLtr				
MNXR94674		11DOCRTSTRNtm|R_11DOCRTSTRNtm|11DOCRTSTRNtr|R_11DOCRTSTRNtr				
MNXR94675		12DGR120tipp|R_12DGR120tipp				
MNXR94676		12DGR140tipp|R_12DGR140tipp				
MNXR94677		12DGR141tipp|R_12DGR141tipp				
MNXR94678		12DGR160tipp|R_12DGR160tipp				
MNXR94679		12DGR161tipp|R_12DGR161tipp				
MNXR94680		12DGR180tipp|R_12DGR180tipp				
MNXR94681		12DGR181tipp|R_12DGR181tipp				
MNXR94682		12PPDRDH|R_12PPDRDH				
MNXR94683		12PPDRtex|R_12PPDRtex|12PPDRtpp|R_12PPDRtpp	TRANS-RXN0-467	rxn07919|rxn07920		
MNXR94684		12PPDStex|R_12PPDStex|12PPDStpp|R_12PPDStpp|12PPDt|R_12PPDt				
MNXR94685		12dgr2_ST|R_12dgr2_ST				
MNXR94686		13BGH|R_13BGH|13BGHe|R_13BGHe				
MNXR94687		13DAMPPOX|R_13DAMPPOX|PAO|R_PAO				
MNXR94691	R03119	13PPDH|R_13PPDH	13-PROPANEDIOL-DEHYDROGENASE-RXN	rxn02235	23188|23189|23190|23191	1.1.1.202
MNXR94692		13PPDtex|R_13PPDtex|13PPDtpp|R_13PPDtpp				
MNXR94693		14GLUCANabcpp|R_14GLUCANabcpp				
MNXR94694		14GLUCANtexi|R_14GLUCANtexi				2.4.1.161
MNXR94696		1ACPCth|R_1ACPCth|1ACPCtm|R_1ACPCtm				
MNXR94701		1AGPEAT18111Z1819Z|R_1AGPEAT18111Z1819Z				
MNXR94702		1AGPEAT18111Z1829Z12Z|R_1AGPEAT18111Z1829Z12Z				
MNXR94703		1AGPEAT18111Z1835Z9Z12Z|R_1AGPEAT18111Z1835Z9Z12Z				
MNXR94704		1AGPEAT18111Z1845Z9Z12Z15Z|R_1AGPEAT18111Z1845Z9Z12Z15Z				
MNXR94705		1AGPEAT1819Z1819Z|R_1AGPEAT1819Z1819Z				
MNXR94706		1AGPEAT1819Z1829Z12Z|R_1AGPEAT1819Z1829Z12Z				
MNXR94707		1AGPEAT1819Z1835Z9Z12Z|R_1AGPEAT1819Z1835Z9Z12Z				
MNXR94708		1AGPEAT1819Z1845Z9Z12Z15Z|R_1AGPEAT1819Z1845Z9Z12Z15Z				
MNXR94709		1AGPEAT1829Z12Z1835Z9Z12Z|R_1AGPEAT1829Z12Z1835Z9Z12Z				
MNXR94710		1MNCAMti|R_1MNCAMti				
MNXR94711	R02203	1PPDCRc|R_1PPDCRc		rxn01579	12524|12525|12526|12527	1.5.1.1;1.5.1.21;1.5.1.25
MNXR94712	R02201	1PPDCRp|R_1PPDCRp	RXN-14210	rxn01578	30807|30808|30809|30810	1.5.1.1;1.5.1.21
MNXR94713		1a25DHVITD3TRn|R_1a25DHVITD3TRn				
MNXR94714		1a_24_25VITD2Hm|R_1a_24_25VITD2Hm				
MNXR94715		1a_24_25VITD3Hm|R_1a_24_25VITD3Hm				
MNXR94716		1a_25VITD2Hm|R_1a_25VITD2Hm				
MNXR94717		1a_25VITD3Hm|R_1a_25VITD3Hm				
MNXR94718		23CAMPtex|R_23CAMPtex		rxn07925		
MNXR94719		23CAPPD|R_23CAPPD				
MNXR94720		23CCMPtex|R_23CCMPtex		rxn07926		
MNXR94721		23CGMPtex|R_23CGMPtex		rxn07927		
MNXR94722	R03537	23CN2P1|R_23CN2P1|23PDE7pp|R_23PDE7pp	RXN-14113	rxn02521	27886|27887|27888|27889	3.1.4.16
MNXR94723	R03538	23CN2P2|R_23CN2P2|23PDE2pp|R_23PDE2pp|RE1860E|R_RE1860E	RXN-14091	rxn02522	27878|27879|27880|27881	3.1.4.16
MNXR94724	R03929	23CN2P3|R_23CN2P3|23PDE4pp|R_23PDE4pp	RXN-14112	rxn02762	27882|27883|27884|27885	3.1.4.16
MNXR94725		23CN2P4|R_23CN2P4|23PDE9pp|R_23PDE9pp	RXN-14064	rxn03483	27858|27859|27860|27861	3.1.4.16
MNXR94726		23CUMPtex|R_23CUMPtex		rxn07928		
MNXR94727						
MNXR94728						
MNXR94729		23DHMBth|R_23DHMBth|23DHMBtm|R_23DHMBtm				
MNXR94730		23DHMPth|R_23DHMPth				
MNXR94732		24NPHte|R_24NPHte				
MNXR94733		24_25DHVITD2t|R_24_25DHVITD2t|24_25DHVITD2tm|R_24_25DHVITD2tm				
MNXR94734		24_25DHVITD3t|R_24_25DHVITD3t|24_25DHVITD3tm|R_24_25DHVITD3tm				
MNXR94735		24_25VITD2Hm|R_24_25VITD2Hm				
MNXR94736		24_25VITD3Hm|R_24_25VITD3Hm|RE2240C|R_RE2240C				1.14.13.126
MNXR94737		25HVITD2t|R_25HVITD2t|25HVITD2tin|R_25HVITD2tin|25HVITD2tin_m|R_25HVITD2tin_m|25HVITD2tm|R_25HVITD2tm				
MNXR94738		25HVITD3c|R_25HVITD3c|25VITD3Hm|R_25VITD3Hm				
MNXR94739		25HVITD3t|R_25HVITD3t|25HVITD3tin|R_25HVITD3tin|25HVITD3tin_m|R_25HVITD3tin_m|25HVITD3tm|R_25HVITD3tm				
MNXR94740		25VITD2Hm|R_25VITD2Hm				
MNXR94741		26DAHtex|R_26DAHtex		rxn07931		
MNXR94743		2AGPA120tipp|R_2AGPA120tipp		rxn07932		
MNXR94744		2AGPA140tipp|R_2AGPA140tipp		rxn07933		
MNXR94745		2AGPA141tipp|R_2AGPA141tipp		rxn07934		
MNXR94746		2AGPA160tipp|R_2AGPA160tipp		rxn07935		
MNXR94747		2AGPA161tipp|R_2AGPA161tipp		rxn07936		
MNXR94748		2AGPA180tipp|R_2AGPA180tipp		rxn07937		
MNXR94749		2AGPA181tipp|R_2AGPA181tipp		rxn07938		
MNXR94750		2AGPE120tipp|R_2AGPE120tipp				
MNXR94751		2AGPE140tipp|R_2AGPE140tipp				
MNXR94752		2AGPE141tipp|R_2AGPE141tipp				
MNXR94753		2AGPE160tipp|R_2AGPE160tipp		rxn07942		
MNXR94754		2AGPE161tipp|R_2AGPE161tipp				
MNXR94755		2AGPE180tipp|R_2AGPE180tipp		rxn07944		
MNXR94756		2AGPE181tipp|R_2AGPE181tipp				
MNXR94757		2AGPEAT120|R_2AGPEAT120				
