rxn00001	3.6.1.1
rxn00002	3.5.1.54
rxn00003	2.2.1.6
rxn00004	4.1.3.17
rxn00006	1.11.1.21|1.11.1.6
rxn00007	3.2.1.28
rxn00008	1.11.1.13
rxn00009	2.7.7.45
rxn00010	4.1.1.47
rxn00011	1.2.4.1|2.2.1.6|4.1.1.1
rxn00012	2.4.1.99
rxn00013	2.7.1.41
rxn00014	1.11.1.5
rxn00015	2.5.1.44
rxn00016	3.2.1.52
rxn00017	1.7.1.5
rxn00018	4.1.1.39
rxn00019	1.13.11.32
rxn00020	3.2.1.21
rxn00021	4.1.2.38
rxn00022	3.2.1.20
rxn00023	1.8.2.2
rxn00024	1.10.3.1
rxn00025	1.13.11.63|1.14.99.36
rxn00026	1.1.3.23
rxn00027	4.1.99.3
rxn00028	1.10.3.3
rxn00029	4.2.1.24
rxn00030	4.1.2.35
rxn00031	2.4.1.166
rxn00032	1.1.3.17
rxn00033	1.2.3.13
rxn00034	1.13.11.43
rxn00035	1.21.3.2
rxn00036	1.10.3.1
rxn00037	1.14.99.-
rxn00038	3.1.1.22
rxn00039	2.3.1.90
rxn00040	3.1.1.20
rxn00041	3.1.1.40
rxn00042	1.1.3.28
rxn00043	1.10.3.1|1.14.18.1
rxn00044	3.5.1.46
rxn00045	2.4.1.95
rxn00046	2.3.1.103
rxn00047	4.2.2.6
rxn00048	2.5.1.9
rxn00050	1.14.13.-
rxn00051	null
rxn00052	1.1.3.23
rxn00053	1.14.99.1
rxn00054	1.10.3.4
rxn00055	2.5.1.43
rxn00056	1.16.3.1
rxn00057	1.1.3.14|1.10.3.1
rxn00058	1.7.2.1|1.9.3.1
rxn00059	1.10.3.2
rxn00060	2.5.1.61|4.3.1.8
rxn00061	3.6.1.5
