Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	0.328787747253205	0.435364041604755	0.31505376344086	0.889	0	0
Leaf10	0.200668578135759	0.307578008915305	0.275816122584943	0.9091	0	0
Leaf100	0.0895290579374923	0.158989598811293	0.30354609929078	0.9304	0	0
Leaf102	0.109595915751068	0.192421991084695	0.292655367231638	0.9304	0	0
Leaf104	0.128119169117446	0.207280832095097	0.291231732776618	0.9304	0	0
Leaf106	0.121944751328653	0.231797919762259	0.26	0.9277	0	0
Leaf108	0.143555213589427	0.238484398216939	0.317507418397626	0.9304	0	0
Leaf11	0.13274998245904	0.214710252600297	0.264168190127971	0.9058	0	0
Leaf111	0.197581369241362	0.281575037147103	0.324486301369863	0.9304	0	0
Leaf112	0.0725494090183128	0.153789004457652	0.274900398406374	0.9304	0	0
Leaf113	0.0957034757262849	0.176077265973254	0.285886610373945	0.9304	0	0
Leaf117	0.111139520198266	0.187964338781575	0.323943661971831	0.9304	0	0
Leaf119	0.134293586906239	0.222882615156018	0.275988960441582	0.9252	0	0
Leaf121	0.202212182582957	0.320208023774146	0.28336620644313	0.9252	0	0
Leaf122	0.0895290579374923	0.163447251114413	0.266990291262136	0.9252	0	0
Leaf123	0.128119169117446	0.216939078751857	0.271880819366853	0.9252	0	0
Leaf125	0.203755787030155	0.303120356612184	0.283333333333333	0.9304	0	0
Leaf126	0.138924400247833	0.242199108469539	0.339583333333333	0.9019	0	0
Leaf127	0.101877893515078	0.184992570579495	0.258031088082902	0.9295	0	0
Leaf129	0.197581369241362	0.326151560178306	0.254936120789779	0.9295	0	0
Leaf13	0.171340093638994	0.257800891530461	0.304653204565408	0.9919	1	0
Leaf130	0.267043569365279	0.356612184249629	0.271800679501699	0.9158	0	0
Leaf131	0.0895290579374923	0.161218424962853	0.292059219380888	0.9147	0	0
Leaf137	0.106508706856672	0.167904903417533	0.367479674796748	0.8889	0	0
Leaf139	0.145098818036626	0.25037147102526	0.232093663911846	0.9019	0	0
Leaf141	0.179058115874985	0.291976225854383	0.289823008849558	0.8889	0	0
Leaf145	0.248520315998901	0.354383358098068	0.304987212276215	0.8889	0	0
Leaf148	0.223822644843731	0.343982169390788	0.266398158803222	0.9147	0	0
Leaf15	0.100334289067879	0.208766716196137	0.267364414843007	0.9295	0	0
Leaf151	0.197581369241362	0.293462109955423	0.286439448875997	0.89	0	0
Leaf154	0.169796489191796	0.25408618127786	0.317254174397032	0.89	0	0
Leaf155	0.155904049167013	0.25631500742942	0.292372881355932	0.9396	0	0
Leaf159	0.361203440644366	0.462109955423477	0.282984531392175	0.89	0	0
Leaf16	0.160534862508607	0.25482912332838	0.317592592592593	0.9091	0	0
Leaf160	0.0787238268071053	0.159732540861813	0.340189873417722	0.8886	0	0
Leaf161	0.350398209513979	0.446508172362556	0.295913343180699	0.89	0	0
Leaf164	0.251607524893297	0.362555720653789	0.299570288520565	0.8985	0	0
Leaf168	0.140468004695031	0.237741456166419	0.294388224471021	0.9314	0	0
Leaf17	0.14972963137822	0.25111441307578	0.277504105090312	0.8973	0	0
Leaf171	0.325700538358808	0.433135215453195	0.314116379310345	0.889	0	0
Leaf172	0.171340093638994	0.24888558692422	0.367727771679473	0.8945	0	0
Leaf176	0.169796489191796	0.242199108469539	0.255886970172684	0.8578	0	0
Leaf177	0.163622071403003	0.263001485884101	0.332706766917293	0.9033	0	0
Leaf179	0.226909853738127	0.323179791976226	0.272727272727273	0.89	0	0
Leaf180	0.250063920446099	0.337295690936107	0.298095863427446	0.8293	0	0
Leaf182	0.0756366179127091	0.150074294205052	0.294890510948905	0.9662	0	0
Leaf183	0.146642422483824	0.232540861812779	0.28377153218495	0.89	0	0
Leaf185	0.162078466955805	0.24665676077266	0.317399617590822	0.8945	0	0
Leaf186	0.21610462260774	0.328380386329866	0.297843665768194	0.8945	0	0
Leaf187	0.291741240520449	0.394502228826152	0.278886554621849	0.9625	0	0
Leaf189	0.242345898210109	0.326894502228826	0.27972027972028	0.837	0	0
Leaf191	0.155904049167013	0.25408618127786	0.263685427910563	0.8886	0	0
Leaf194	0.196037764794164	0.294205052005944	0.268839103869654	0.8578	0	0
Leaf196	0.163622071403003	0.257800891530461	0.32159406858202	0.9625	0	0
Leaf198	0.219191831502136	0.357355126300149	0.268265476854434	0.9005	0	0
Leaf2	0.123488355775852	0.231054977711738	0.267872523686477	0.9151	0	0
Leaf20	0.270130778259675	0.383358098068351	0.265432098765432	0.9005	0	0
Leaf201	0.054026155651935	0.102526002971768	0.238754325259516	0.8274	0	0
Leaf202	0.169796489191796	0.25631500742942	0.269110764430577	0.9396	0	0
Leaf203	0.267043569365279	0.36998514115899	0.281514980214811	0.89	0	0
Leaf208	0.155904049167013	0.268945022288262	0.255289139633286	0.9005	0	0
Leaf210	0.226909853738127	0.349182763744428	0.331686661961891	0.8945	0	0
Leaf216	0.100334289067879	0.172362555720654	0.278511404561825	0.8561	0	0
Leaf22	0.0771802223599072	0.148588410104012	0.257400257400257	0.9022	0	0
Leaf220	0.168252884744598	0.271173848439822	0.283385093167702	0.8903	0	0
Leaf222	0.436840058557075	0.537890044576523	0.290879871434311	0.8898	0	0
Leaf225	0.137380795800635	0.230312035661218	0.235920852359209	0.8996	0	0
Leaf226	0.162078466955805	0.263001485884101	0.293289146644573	0.9012	0	0
Leaf23	0.1667092802974	0.277860326894502	0.277037037037037	0.9058	0	0
Leaf230	0.199124973688561	0.317979197622585	0.268506900878294	0.9005	0	0
Leaf231	0.24080229376291	0.345468053491828	0.280797101449275	0.9016	0	0
