Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	0.73470246612238	0.422114608555287	0.281182795698925	0.8725	0	0
Leaf10	0.5247874758017	0.322841000807102	0.266489007328448	0.9331	0	0
Leaf100	0.246107230031142	0.173527037933818	0.304964539007092	0.9908	1	0
Leaf102	0.307634037538928	0.208232445520581	0.291525423728814	0.9908	1	0
Leaf104	0.380018516959852	0.260694108151735	0.337160751565762	0.9908	1	0
Leaf106	0.329349381365205	0.238095238095238	0.245833333333333	0.9921	1	0
Leaf108	0.398114636815083	0.252623083131558	0.309594460929772	0.9908	1	0
Leaf11	0.372780069017759	0.236481033091203	0.26782449725777	0.9298	0	0
Leaf111	0.506691355946469	0.311541565778854	0.330479452054795	0.9908	1	0
Leaf112	0.202676542378588	0.155770782889427	0.256308100929615	0.9908	0	0
Leaf113	0.253345677973235	0.181598062953995	0.271411338962606	0.9908	1	0
Leaf117	0.304014813567881	0.211460855528652	0.335467349551857	0.9908	1	0
Leaf119	0.387256964901944	0.265536723163842	0.302667893284269	1	0	1
Leaf121	0.618887299048901	0.379338175948345	0.309007232084155	1	0	1
Leaf122	0.249726454002188	0.184826472962066	0.277912621359223	1	0	1
Leaf123	0.387256964901944	0.263922518159806	0.304469273743017	1	1	0
Leaf125	0.546502819627977	0.333333333333333	0.286805555555556	0.9908	1	0
Leaf126	0.332968605336251	0.239709443099274	0.309375	0.8855	0	0
Leaf127	0.23886878208905	0.178369652945924	0.229015544041451	0.9131	0	0
Leaf129	0.499452908004377	0.339790153349475	0.244483159117305	0.9131	0	0
Leaf13	0.358303173133575	0.243744955609362	0.265144863915716	0.9201	0	0
Leaf130	0.60079117919367	0.365617433414044	0.256511891279728	0.8995	0	0
Leaf131	0.217153438262772	0.16545601291364	0.275908479138627	0.8982	0	0
Leaf137	0.188199646494403	0.146085552865214	0.294308943089431	0.8724	0	0
Leaf139	0.365541621075667	0.259887005649718	0.221763085399449	0.8855	0	0
Leaf141	0.398114636815083	0.273607748184019	0.25	0.8724	0	0
Leaf145	0.477737564178099	0.320419693301049	0.25383631713555	0.8724	0	0
Leaf148	0.560979715512162	0.357546408393866	0.254890678941312	0.8982	0	0
Leaf15	0.267822573857419	0.213882163034705	0.252140818268316	0.9131	0	0
Leaf151	0.430687652554499	0.282485875706215	0.253807106598985	0.8736	0	0
Leaf154	0.408972308728221	0.253430185633575	0.291280148423006	0.8735	0	0
Leaf155	0.354683949162528	0.25181598062954	0.264406779661017	0.97	0	0
Leaf159	0.825183065398535	0.453591606133979	0.255686988171065	0.8736	0	0
Leaf16	0.39087618887299	0.255044390637611	0.292592592592593	0.9331	0	0
Leaf160	0.188199646494403	0.160613397901534	0.314873417721519	0.8722	0	0
Leaf161	0.687652554498779	0.415657788539144	0.253569670113245	0.8736	0	0
Leaf164	0.568218163454255	0.355125100887813	0.270104358502149	0.8821	0	0
Leaf168	0.376399292988806	0.264729620661824	0.301747930082797	0.9553	0	0
Leaf17	0.351064725191482	0.255851493139629	0.260262725779967	0.9213	0	0
Leaf171	0.727464018180288	0.419693301049233	0.280172413793103	0.8725	0	0
Leaf172	0.34382627724939	0.239709443099274	0.326015367727772	0.8781	0	0
Leaf176	0.445164548438684	0.263115415657789	0.255886970172684	0.8415	0	0
Leaf177	0.405353084757175	0.275221953188055	0.320488721804511	0.8869	0	0
Leaf179	0.492214460062284	0.310734463276836	0.241379310344828	0.8736	0	0
Leaf180	0.564598939483208	0.344632768361582	0.280367695338148	0.813	0	0
Leaf182	0.177341974581264	0.142857142857143	0.258394160583942	0.9234	0	0
Leaf183	0.336587829307297	0.227602905569007	0.255666364460562	0.8735	0	0
Leaf185	0.322110933423112	0.225988700564972	0.267686424474187	0.8781	0	0
Leaf186	0.499452908004377	0.315577078288943	0.263477088948787	0.8781	0	0
Leaf187	0.62974497096204	0.378531073446328	0.246323529411765	0.9135	0	0
Leaf189	0.560979715512162	0.326069410815174	0.256834075015893	0.8207	0	0
Leaf191	0.380018516959852	0.250201775625504	0.239013107170393	0.8722	0	0
Leaf194	0.463260668293915	0.301049233252623	0.253224711473184	0.8415	0	0
Leaf196	0.304014813567881	0.223567393058918	0.256719184430028	0.9135	0	0
Leaf198	0.513929803888561	0.349475383373688	0.241494701617401	0.9246	0	0
Leaf2	0.31487248548102	0.236481033091203	0.252368647717485	0.9391	0	0
Leaf20	0.676794882585641	0.394673123486683	0.251543209876543	0.9246	0	0
Leaf201	0.123053615015571	0.105730427764326	0.226643598615917	0.8111	0	0
Leaf202	0.427068428583453	0.271993543179984	0.262870514820593	0.97	0	0
Leaf203	0.564598939483208	0.355125100887813	0.248728094968909	0.8736	0	0
Leaf208	0.361922397104621	0.267958030669895	0.234132581100141	0.9246	0	0
Leaf210	0.452402996380776	0.310734463276836	0.271700776287932	0.8781	0	0
Leaf216	0.246107230031142	0.178369652945924	0.26530612244898	0.8398	0	0
Leaf22	0.20991499032068	0.144471347861178	0.23037323037323	0.9262	0	0
Leaf220	0.408972308728221	0.279257465698144	0.268633540372671	0.8739	0	0
Leaf222	0.937379008500968	0.509281678773204	0.253515468059462	0.8733	0	0
Leaf225	0.275061021799512	0.200161420500404	0.188736681887367	0.8832	0	0
Leaf226	0.398114636815083	0.2590799031477	0.265948632974316	0.9252	0	0
Leaf23	0.412591532699268	0.277643260694108	0.254814814814815	0.9298	0	0
Leaf230	0.452402996380776	0.309927360774818	0.24090338770389	0.9246	0	0
Leaf231	0.589933507280532	0.348668280871671	0.260869565217391	0.9255	0	0
Leaf233	0.340207053278343	0.246166263115416	0.228978978978979	0.8809	0	0
Leaf234	0.474118340207053	0.315577078288943	0.229325513196481	0.8685	0	0
Leaf24	0.296776365625789	0.213075060532688	0.237837837837838	0.9298	0	0
Leaf242	0.293157141654743	0.203389830508475	0.219895287958115	0.9246	0	0
Leaf244	0.282299469741604	0.201775625504439	0.278706800445931	0.8781	0	0
Leaf245	0.300395589596835	0.231638418079096	0.252863436123348	0.8764	0	0
Leaf247	0.640602642875179	0.396287328490718	0.265405405405405	0.8832	0	0
Leaf25	0.300395589596835	0.213882163034705	0.235346358792185	0.9298	0	0
