Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	0.554717203572165	0.736040609137056	0.0483118613949356	0.889	0	0
Leaf10	0.549616355723226	0.72927241962775	0.0480329878524462	0.9091	0	0
Leaf100	0.570019747118984	0.756345177664975	0.0515155007491068	0.9304	0	0
Leaf102	0.575120594967923	0.763113367174281	0.0513667425968109	0.9304	0	0
Leaf104	0.578946230854628	0.768189509306261	0.0484163378479258	0.9304	0	0
Leaf106	0.566194111232279	0.751269035532995	0.0462066812363409	0.9277	0	0
Leaf108	0.576395806930158	0.764805414551607	0.0505762560143225	0.9304	0	0
Leaf11	0.536864236100877	0.712351945854484	0.048558246828143	0.9058	0	0
Leaf111	0.580221442816863	0.769881556683587	0.0486422920675647	0.9304	0	0
Leaf112	0.570019747118984	0.756345177664975	0.0508416742493176	0.9304	0	0
Leaf113	0.566194111232279	0.751269035532995	0.0497423257898275	0.9304	0	0
Leaf117	0.567469323194514	0.752961082910321	0.0504249291784703	0.9304	0	0
Leaf119	0.568744535156749	0.754653130287648	0.0473259762308998	0.9252	0	0
Leaf121	0.576395806930158	0.764805414551607	0.0458883248730964	0.9252	0	0
Leaf122	0.576395806930158	0.764805414551607	0.0476140313915517	0.9252	0	0
Leaf123	0.572570171043453	0.759729272419628	0.047847399829497	0.9252	0	0
Leaf125	0.573845383005688	0.761421319796954	0.0466369571976371	0.9304	0	0
Leaf126	0.566194111232279	0.751269035532995	0.0471237529187009	0.9019	0	0
Leaf127	0.595523986363681	0.790186125211506	0.0463339617025499	0.9295	0	0
Leaf129	0.591698350476976	0.785109983079526	0.0456109308955077	0.9295	0	0
Leaf13	0.64780767681531	0.859560067681895	0.0506682625174546	0.9919	1	0
Leaf130	0.550891567685461	0.730964467005076	0.0451363493887786	0.9158	0	0
Leaf131	0.567469323194514	0.752961082910321	0.0484221980413493	0.9147	0	0
Leaf137	0.55854283945887	0.741116751269036	0.051288056206089	0.8889	0	0
Leaf139	0.549616355723226	0.72927241962775	0.0442868886148787	0.9019	0	0
Leaf141	0.548341143760991	0.727580372250423	0.0483526369054312	0.8889	0	0
Leaf145	0.564918899270044	0.749576988155668	0.0470226090648551	0.8889	0	0
Leaf148	0.572570171043453	0.759729272419628	0.0458023054167092	0.9147	0	0
Leaf15	0.60827610598603	0.807106598984772	0.0455456889143512	0.9295	0	0
Leaf151	0.56109326338334	0.744500846023689	0.0520463685829193	0.89	0	0
Leaf154	0.530488176289703	0.703891708967851	0.0509366964613689	0.89	0	0
Leaf155	0.587872714590272	0.780033840947547	0.0479558930614792	0.9396	0	0
Leaf159	0.552166779647696	0.732656514382403	0.0475354045449555	0.89	0	0
Leaf16	0.547065931798756	0.725888324873096	0.0503935157993657	0.9091	0	0
Leaf160	0.582771866741332	0.77326565143824	0.0491503549150355	0.8886	0	0
Leaf161	0.548341143760991	0.727580372250423	0.0489749430523918	0.89	0	0
Leaf164	0.512635208818415	0.680203045685279	0.0499130866650112	0.8985	0	0
Leaf168	0.517736056667354	0.686971235194585	0.0507436570428696	0.9314	0	0
Leaf17	0.531763388251938	0.705583756345178	0.048777634811089	0.8973	0	0
Leaf171	0.553441991609931	0.734348561759729	0.0495207667731629	0.889	0	0
Leaf172	0.507534360969475	0.673434856175973	0.053401314906749	0.8945	0	0
Leaf176	0.559818051421105	0.742808798646362	0.052644201942679	0.8578	0	0
Leaf177	0.617202589721674	0.818950930626058	0.044375171907949	0.9033	0	0
Leaf179	0.547065931798756	0.725888324873096	0.0509743346007605	0.89	0	0
Leaf180	0.479479697800308	0.636209813874788	0.0508520421963754	0.8293	0	0
Leaf182	0.60572568206156	0.803722504230118	0.0499842155108913	0.9662	0	0
Leaf183	0.530488176289703	0.703891708967851	0.050168837433671	0.89	0	0
Leaf185	0.552166779647696	0.732656514382403	0.0509411764705882	0.8945	0	0
Leaf186	0.526662540402998	0.698815566835871	0.0491198858230257	0.8945	0	0
Leaf187	0.544515507874286	0.722504230118443	0.0487498572896449	0.9625	0	0
Leaf189	0.570019747118984	0.756345177664975	0.0484237894052649	0.837	0	0
Leaf191	0.576395806930158	0.764805414551607	0.0461224489795918	0.8886	0	0
Leaf194	0.547065931798756	0.725888324873096	0.0505121865065348	0.8578	0	0
Leaf196	0.544515507874286	0.722504230118443	0.0537309676607525	0.9625	0	0
Leaf198	0.570019747118984	0.756345177664975	0.0461824568653787	0.9005	0	0
Leaf2	0.548341143760991	0.727580372250423	0.0476929902395741	0.9151	0	0
