Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	0.514020280916982	0.603268945022288	0.518849840255591	0.889	0	0
Leaf10	0.49086621420901	0.588410104011887	0.49438202247191	0.9091	0	0
Leaf100	0.467712147501038	0.562407132243685	0.516019086571234	0.9304	0	0
Leaf102	0.472342960842632	0.572808320950966	0.517102615694165	0.9304	0	0
Leaf104	0.507845863128189	0.606240713224368	0.486003573555688	0.9304	0	0
Leaf106	0.493953423103406	0.592867756315007	0.48159324079662	0.9277	0	0
Leaf108	0.484691796420217	0.586181277860327	0.494360902255639	0.9304	0	0
Leaf11	0.47388656528983	0.577265973254086	0.49146110056926	0.9058	0	0
Leaf111	0.495497027550604	0.595839524517088	0.490220048899756	0.9304	0	0
Leaf112	0.481604587525821	0.575037147102526	0.506544502617801	0.9304	0	0
Leaf113	0.463081334159443	0.566121842496285	0.506986027944112	0.9304	0	0
Leaf117	0.470799356395434	0.571322436849926	0.513694054776219	0.9304	0	0
Leaf119	0.484691796420217	0.580237741456166	0.514154048716261	0.9252	0	0
Leaf121	0.497040631997802	0.596582466567608	0.488145896656535	0.9252	0	0
Leaf122	0.498584236445	0.596582466567608	0.484903381642512	0.9252	0	0
Leaf123	0.487779005314613	0.583209509658247	0.519523494374586	0.9252	0	0
Leaf125	0.492409818656208	0.593610698365527	0.478729778310366	0.9304	0	0
Leaf126	0.497040631997802	0.594353640416048	0.476190476190476	0.9019	0	0
Leaf127	0.507845863128189	0.587667161961367	0.485573971761817	0.9295	0	0
Leaf129	0.507845863128189	0.597325408618128	0.490543014032947	0.9295	0	0
Leaf13	0.551066787649737	0.639673105497771	0.527573529411765	0.9919	1	0
Leaf130	0.510933072022586	0.606240713224368	0.493051359516616	0.9158	0	0
Leaf131	0.497040631997802	0.595839524517088	0.476530005941771	0.9147	0	0
Leaf137	0.512476676469784	0.609212481426449	0.513784461152882	0.8889	0	0
Leaf139	0.509389467575388	0.602526002971768	0.47510251903925	0.9019	0	0
Leaf141	0.501671445339397	0.591381872213967	0.547455295735901	0.8889	0	0
Leaf145	0.514020280916982	0.604754829123328	0.510025062656642	0.8889	0	0
Leaf148	0.493953423103406	0.596582466567608	0.479689366786141	0.9147	0	0
Leaf15	0.518651094258576	0.608469539375929	0.469340974212034	0.9295	0	0
Leaf151	0.514020280916982	0.595839524517088	0.561624649859944	0.89	0	0
Leaf154	0.486235400867415	0.583209509658247	0.52228875582169	0.89	0	0
Leaf155	0.524825512047369	0.615156017830609	0.483362521891419	0.9396	0	0
Leaf159	0.506302258680991	0.584695393759287	0.560142348754448	0.89	0	0
Leaf16	0.478517378631425	0.571322436849926	0.51645399597045	0.9091	0	0
Leaf160	0.521738303152973	0.618127786032689	0.492890995260663	0.8886	0	0
Leaf161	0.521738303152973	0.606240713224368	0.533333333333333	0.89	0	0
Leaf164	0.469255751948236	0.548291233283804	0.556981132075472	0.8985	0	0
Leaf168	0.476973774184226	0.575780089153046	0.512905360688286	0.9314	0	0
Leaf17	0.493953423103406	0.586181277860327	0.502547770700637	0.8973	0	0
Leaf171	0.510933072022586	0.594353640416048	0.555555555555556	0.889	0	0
Leaf172	0.455363311923452	0.538632986627043	0.542664670658683	0.8945	0	0
Leaf176	0.501671445339397	0.575780089153046	0.524357239512855	0.8578	0	0
Leaf177	0.547979578755341	0.641901931649331	0.473684210526316	0.9033	0	0
Leaf179	0.497040631997802	0.588410104011887	0.565310492505353	0.89	0	0
Leaf180	0.453819707476254	0.542347696879643	0.493576741041244	0.8293	0	0
Leaf182	0.543348765413747	0.63075780089153	0.526674937965261	0.9662	0	0
Leaf183	0.480060983078623	0.572808320950966	0.512974051896208	0.89	0	0
Leaf185	0.520194698705775	0.606240713224368	0.521405750798722	0.8945	0	0
Leaf186	0.475430169737028	0.572065378900446	0.524523160762943	0.8945	0	0
Leaf187	0.476973774184226	0.572065378900446	0.538838348495451	0.9625	0	0
Leaf189	0.523281907600171	0.609212481426449	0.505860579888957	0.837	0	0
Leaf191	0.495497027550604	0.586924219910847	0.491905354919054	0.8886	0	0
Leaf194	0.503215049786595	0.580237741456166	0.525925925925926	0.8578	0	0
Leaf196	0.480060983078623	0.572808320950966	0.546033994334278	0.9625	0	0
Leaf198	0.487779005314613	0.586924219910847	0.491599253266957	0.9005	0	0
Leaf2	0.507845863128189	0.601040118870728	0.5	0.9151	0	0
Leaf20	0.518651094258576	0.612184249628529	0.494894894894895	0.9005	0	0
Leaf201	0.461537729712245	0.543833580980683	0.502402196293754	0.8274	0	0
Leaf202	0.503215049786595	0.580980683506687	0.506804925469864	0.9396	0	0
Leaf203	0.518651094258576	0.606983655274889	0.530864197530864	0.89	0	0
Leaf208	0.495497027550604	0.595096582466568	0.489010989010989	0.9005	0	0
Leaf210	0.501671445339397	0.590638930163447	0.532484929671802	0.8945	0	0
Leaf216	0.51556388536418	0.590638930163447	0.539348710990502	0.8561	0	0
Leaf22	0.486235400867415	0.585438335809807	0.494974874371859	0.9022	0	0
Leaf220	0.49086621420901	0.584695393759287	0.500954805856143	0.8903	0	0
Leaf222	0.518651094258576	0.609955423476969	0.5242656449553	0.8898	0	0
Leaf225	0.524825512047369	0.612184249628529	0.504283965728274	0.8996	0	0
Leaf226	0.495497027550604	0.593610698365527	0.50251572327044	0.9012	0	0
Leaf23	0.469255751948236	0.554234769687964	0.515905947441217	0.9058	0	0
Leaf230	0.501671445339397	0.594353640416048	0.50093926111459	0.9005	0	0
Leaf231	0.489322609761812	0.580980683506687	0.490897677338355	0.9016	0	0
Leaf233	0.520194698705775	0.598811292719168	0.52576647097195	0.8973	0	0
Leaf234	0.495497027550604	0.594353640416048	0.520494469746259	0.885	0	0
Leaf24	0.487779005314613	0.588410104011887	0.505102040816326	0.9058	0	0
Leaf242	0.504758654233793	0.600297176820208	0.493284493284493	0.9005	0	0
Leaf244	0.492409818656208	0.585438335809807	0.508387096774194	0.8945	0	0
Leaf245	0.463081334159443	0.542347696879643	0.567651632970451	0.8928	0	0
Leaf247	0.514020280916982	0.606983655274889	0.518072289156627	0.8996	0	0
Leaf25	0.493953423103406	0.590638930163447	0.488629379225569	0.9058	0	0
Leaf254	0.478517378631425	0.573551263001486	0.520215633423181	0.8945	0	0
Leaf257	0.481604587525821	0.564635958395245	0.534834623504574	0.9016	0	0
Leaf258	0.527912720941765	0.615156017830609	0.488495575221239	0.8996	0	0
Leaf26	0.486235400867415	0.575780089153046	0.500645994832041	0.9133	0	0
Leaf261	0.469255751948236	0.567607726597325	0.550829127613554	0.89	0	0
Leaf262	0.537174347624954	0.63075780089153	0.478849407783418	0.9396	0	0
Leaf263	0.461537729712245	0.545319465081724	0.544510385756677	0.8945	0	0
Leaf264	0.500127840892199	0.588410104011887	0.513285806869734	0.9018	0	0
Leaf265	0.534087138730558	0.62852897473997	0.462295081967213	0.8886	0	0
