Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	1.10024408719805	0.563357546408394	0.446006389776358	0.8725	0	0
Leaf10	1.12557865499537	0.569814366424536	0.440699126092385	0.9331	0	0
Leaf100	1.13643632690851	0.569814366424536	0.481254260395365	0.9908	1	0
Leaf102	1.12557865499537	0.569007263922518	0.472837022132797	0.9908	1	0
Leaf104	1.18348623853211	0.590799031476998	0.435973793924955	0.9908	1	0
Leaf106	1.17624779059002	0.588377723970944	0.43995171997586	0.9921	1	0
Leaf108	1.15091322279269	0.584342211460856	0.453634085213033	0.9908	1	0
Leaf11	1.12919787896642	0.573042776432607	0.449082858950032	0.9298	0	0
Leaf111	1.17262856661897	0.589184826472962	0.446210268948655	0.9908	1	0
Leaf112	1.15815167073479	0.577885391444714	0.468586387434555	0.9908	0	0
Leaf113	1.12557865499537	0.571428571428571	0.471057884231537	0.9908	1	0
Leaf117	1.12919787896642	0.574656981436642	0.47561790247161	0.9908	1	0
Leaf119	1.17262856661897	0.585956416464891	0.477946017116524	1	0	1
Leaf121	1.19434391044525	0.594027441485069	0.44741641337386	1	0	1
Leaf122	1.20158235838734	0.595641646489104	0.445652173913043	1	0	1
Leaf123	1.15453244676374	0.578692493946731	0.474520185307743	1	1	0
Leaf125	1.16900934264793	0.586763518966909	0.435590173756741	0.9908	1	0
Leaf126	1.10386331116909	0.570621468926554	0.420833333333333	0.8855	0	0
Leaf127	1.10386331116909	0.564164648910412	0.429097605893186	0.9131	0	0
Leaf129	1.11110175911119	0.5682001614205	0.429530201342282	0.9131	0	0
Leaf13	1.10024408719805	0.572235673930589	0.434436274509804	0.9201	0	0
Leaf130	1.10386331116909	0.569007263922518	0.425981873111782	0.8995	0	0
Leaf131	1.09300563925595	0.569007263922518	0.418894830659537	0.8982	0	0
Leaf137	1.08576719131386	0.556900726392252	0.432330827067669	0.8724	0	0
Leaf139	1.11834020705328	0.578692493946731	0.420035149384886	0.8855	0	0
Leaf141	1.06043262351654	0.540758676351897	0.46079779917469	0.8724	0	0
Leaf145	1.096624863227	0.556900726392252	0.432330827067669	0.8724	0	0
Leaf148	1.08214796734282	0.565778853914447	0.418757467144564	0.8982	0	0
Leaf15	1.15815167073479	0.586763518966909	0.416618911174785	0.9131	0	0
Leaf151	1.06767107145863	0.54317998385795	0.471288515406162	0.8736	0	0
Leaf154	1.03871727969026	0.541565778853914	0.446440452428476	0.8735	0	0
Leaf155	1.13643632690851	0.57546408393866	0.416228838295388	0.97	0	0
Leaf159	1.05681339954549	0.536723163841808	0.473309608540925	0.8736	0	0
Leaf16	1.08214796734282	0.546408393866021	0.45466756212223	0.9331	0	0
Leaf160	1.12195943102432	0.578692493946731	0.424763033175355	0.8722	0	0
Leaf161	1.09300563925595	0.560129136400323	0.45359477124183	0.8736	0	0
Leaf164	1.00614426395085	0.514124293785311	0.480754716981132	0.8821	0	0
Leaf168	1.04595572763235	0.544794188861985	0.446724023825281	0.9553	0	0
Leaf17	1.11472098308223	0.564164648910412	0.445222929936306	0.9213	0	0
Leaf171	1.07129029542968	0.539144471347861	0.463888888888889	0.8725	0	0
Leaf172	0.988048144095615	0.511702986279257	0.474550898203593	0.8781	0	0
Leaf176	1.07129029542968	0.548022598870056	0.459404600811908	0.8415	0	0
Leaf177	1.21244003030048	0.608555286521388	0.413377192982456	0.8869	0	0
Leaf179	1.02424038380608	0.527037933817595	0.466095645967166	0.8736	0	0
Leaf180	0.966332800269337	0.514124293785311	0.430696416497634	0.813	0	0
Leaf182	1.09300563925595	0.562550443906376	0.432382133995037	0.9234	0	0
Leaf183	1.03147883174817	0.531880548829701	0.438456420492349	0.8735	0	0
Leaf185	1.11472098308223	0.5682001614205	0.449840255591054	0.8781	0	0
Leaf186	1.06043262351654	0.543987086359968	0.459128065395095	0.8781	0	0
Leaf187	0.937379008500968	0.506053268765133	0.438768369489153	0.9135	0	0
Leaf189	1.08938641528491	0.560129136400323	0.428130783466996	0.8207	0	0
Leaf191	1.10386331116909	0.570621468926554	0.440224159402242	0.8722	0	0
Leaf194	1.07129029542968	0.55044390637611	0.459259259259259	0.8415	0	0
Leaf196	0.948236680414106	0.507667473769169	0.445467422096317	0.9135	0	0
Leaf198	1.16177089470583	0.581920903954802	0.448662103298071	0.9246	0	0
Leaf2	1.11110175911119	0.567393058918483	0.434487021013597	0.9391	0	0
Leaf20	1.15453244676374	0.58272800645682	0.433633633633634	0.9246	0	0
Leaf201	0.962713576298291	0.509281678773204	0.433081674673988	0.8111	0	0
Leaf202	1.08938641528491	0.559322033898305	0.449125081011018	0.97	0	0
Leaf203	1.096624863227	0.560936238902341	0.451591942820013	0.8736	0	0
Leaf208	1.14729399882165	0.576271186440678	0.435897435897436	0.9246	0	0
Leaf210	1.05319417557445	0.540758676351897	0.448760884125921	0.8781	0	0
Leaf216	1.06767107145863	0.552865213882163	0.46472184531886	0.8398	0	0
Leaf22	1.13643632690851	0.57546408393866	0.44786432160804	0.9262	0	0
Leaf220	1.08214796734282	0.562550443906376	0.443666454487588	0.8739	0	0
Leaf222	1.09300563925595	0.560936238902341	0.443805874840358	0.8733	0	0
Leaf225	1.14005555087956	0.576271186440678	0.436964504283966	0.8832	0	0
Leaf226	1.13643632690851	0.572235673930589	0.445911949685535	0.9252	0	0
Leaf23	1.07129029542968	0.54317998385795	0.465421853388658	0.9298	0	0
Leaf230	1.14005555087956	0.571428571428571	0.443331246086412	0.9246	0	0
Leaf231	1.10748253514014	0.562550443906376	0.437539234149404	0.9255	0	0
Leaf233	1.13281710293746	0.565778853914447	0.457273320287019	0.8809	0	0
