Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	0.506302258680991	0.596582466567608	0.521767381416504	0.889	0	0
Leaf10	0.514020280916982	0.597325408618128	0.531746031746032	0.9091	0	0
Leaf100	0.530999929836162	0.612184249628529	0.508014796547472	0.9304	0	0
Leaf102	0.534087138730558	0.615898959881129	0.509840098400984	0.9304	0	0
Leaf104	0.54026155651935	0.62184249628529	0.517305315203956	0.9304	0	0
Leaf106	0.534087138730558	0.62481426448737	0.510315533980582	0.9277	0	0
Leaf108	0.534087138730558	0.614413075780089	0.5101789019124	0.9304	0	0
Leaf11	0.497040631997802	0.580980683506687	0.53125	0.9058	0	0
Leaf111	0.547979578755341	0.634472511144131	0.515700483091787	0.9304	0	0
Leaf112	0.530999929836162	0.613670133729569	0.507682851874616	0.9304	0	0
Leaf113	0.534087138730558	0.62927191679049	0.521873074553296	0.9304	0	0
Leaf117	0.537174347624954	0.63150074294205	0.520514390691978	0.9304	0	0
Leaf119	0.538717952072152	0.617384843982169	0.504553734061931	0.9252	0	0
Leaf121	0.54026155651935	0.61887072808321	0.504237288135593	0.9252	0	0
Leaf122	0.538717952072152	0.618127786032689	0.504242424242424	0.9252	0	0
Leaf123	0.53254353428336	0.610698365527489	0.502138057422114	0.9252	0	0
Leaf125	0.54026155651935	0.62035661218425	0.514479359211337	0.9304	0	0
Leaf126	0.537174347624954	0.62778603268945	0.512431776834445	0.9019	0	0
Leaf127	0.572677249910511	0.660475482912333	0.490889011595803	0.9295	0	0
Leaf129	0.558784809885728	0.649331352154532	0.494343891402715	0.9295	0	0
Leaf13	0.659119098953607	0.721396731054978	0.535871964679912	0.9919	1	0
Leaf130	0.518651094258576	0.609212481426449	0.509950248756219	0.9158	0	0
Leaf131	0.541805160966549	0.62852897473997	0.534766118836915	0.9147	0	0
Leaf137	0.549523183202539	0.633729569093611	0.532792004996877	0.8889	0	0
Leaf139	0.524825512047369	0.604754829123328	0.531678641410843	0.9019	0	0
Leaf141	0.534087138730558	0.617384843982169	0.519699812382739	0.8889	0	0
