Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	1.04595572763235	0.523002421307506	0.421052631578947	0.8725	0	0
Leaf10	1.16177089470583	0.558514931396287	0.457671957671958	0.9331	0	0
Leaf100	1.34997054120024	0.635189669087974	0.485203452527744	0.9908	1	0
Leaf102	1.35358976517128	0.637610976594027	0.485854858548586	0.9908	1	0
Leaf104	1.35720898914233	0.63680387409201	0.487639060568603	0.9908	1	0
Leaf106	1.36444743708442	0.640032284100081	0.481189320388349	0.9921	1	0
Leaf108	1.37168588502651	0.640839386602098	0.4898210980876	0.9908	1	0
Leaf11	1.14729399882165	0.556093623890234	0.468070652173913	0.9298	0	0
Leaf111	1.38254355693965	0.645682001614205	0.483091787439614	0.9908	1	0
Leaf112	1.34273209325814	0.632768361581921	0.481868469575907	0.9908	0	0
Leaf113	1.3391128692871	0.634382566585956	0.484288354898336	0.9908	1	0
Leaf117	1.36806666105547	0.644067796610169	0.488671157379057	0.9908	1	0
Leaf119	1.40425890076593	0.649717514124294	0.488767455980571	1	0	1
Leaf121	1.40425890076593	0.649717514124294	0.48728813559322	1	0	1
Leaf122	1.40425890076593	0.649717514124294	0.487878787878788	1	0	1
Leaf123	1.40063967679488	0.648103309120258	0.490531459987783	1	1	0
Leaf125	1.36806666105547	0.639225181598063	0.487985212569316	0.9908	1	0
Leaf126	1.22329770221362	0.593220338983051	0.445724681625227	0.8855	0	0
Leaf127	1.29568218163454	0.620661824051655	0.424627277747101	0.9131	0	0
Leaf129	1.29568218163454	0.619047619047619	0.433823529411765	0.9131	0	0
Leaf13	1.1907246864742	0.578692493946731	0.395695364238411	0.9201	0	0
Leaf130	1.17624779059002	0.567393058918483	0.437189054726368	0.8995	0	0
Leaf131	1.18348623853211	0.578692493946731	0.453223767383059	0.8982	0	0
Leaf137	1.12919787896642	0.55044390637611	0.425983760149906	0.8724	0	0
Leaf139	1.16539011867688	0.569814366424536	0.461136512083606	0.8855	0	0
Leaf141	1.10386331116909	0.535108958837772	0.414634146341463	0.8724	0	0
Leaf145	1.11110175911119	0.544794188861985	0.412844036697248	0.8724	0	0
Leaf148	1.19434391044525	0.580306698950767	0.442461538461538	0.8982	0	0
Leaf15	1.30292062957663	0.619047619047619	0.421428571428571	0.9131	0	0
Leaf151	1.07852874337177	0.539144471347861	0.423857868020305	0.8736	0	0
Leaf154	1.01338271189294	0.508474576271186	0.434782608695652	0.8735	0	0
Leaf155	1.25587071795303	0.600484261501211	0.433313919627257	0.97	0	0
Leaf159	1.0495749516034	0.527037933817595	0.415130324221233	0.8736	0	0
Leaf16	1.16539011867688	0.560936238902341	0.455737704918033	0.9331	0	0
Leaf160	1.24863227001094	0.604519774011299	0.432697862507221	0.8722	0	0
Leaf161	1.02785960777712	0.517352703793382	0.414886731391586	0.8736	0	0
Leaf164	0.97357124821143	0.493139628732849	0.430281690140845	0.8821	0	0
Leaf168	1.07852874337177	0.531073446327684	0.47134670487106	0.9553	0	0
Leaf17	1.12919787896642	0.545601291364003	0.466850828729282	0.9213	0	0
Leaf171	1.04595572763235	0.523002421307506	0.421052631578947	0.8725	0	0
Leaf172	0.991667368066661	0.498789346246973	0.429763560500695	0.8781	0	0
Leaf176	1.09300563925595	0.535108958837772	0.474588403722262	0.8415	0	0
Leaf177	1.35720898914233	0.645682001614205	0.426666666666667	0.8869	0	0
Leaf179	1.03509805571922	0.518159806295399	0.41796875	0.8736	0	0
Leaf180	0.872232977022136	0.455205811138015	0.452648475120385	0.813	0	0
Leaf182	1.18710546250316	0.573849878934625	0.422459893048128	0.9234	0	0
Leaf183	1.02062115983503	0.509281678773204	0.422073578595318	0.8735	0	0
Leaf185	1.06767107145863	0.532687651331719	0.419313850063532	0.8781	0	0
Leaf186	1.00614426395085	0.498789346246973	0.433076384022425	0.8781	0	0
