Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	1.45854726033162	0.761513157894737	0.185906444489058	0.8725	0	0
Leaf10	1.50559717195522	0.778782894736842	0.188833499501495	0.9331	0	0
Leaf100	1.65760457873916	0.853618421052632	0.215980024968789	0.9908	1	0
Leaf102	1.65398535476812	0.851151315789474	0.213490099009901	0.9908	1	0
Leaf104	1.66484302668126	0.855263157894737	0.202452793459217	0.9908	1	0
Leaf106	1.65398535476812	0.858552631578947	0.196462175385773	0.9921	1	0
Leaf108	1.68293914653649	0.858552631578947	0.212065813528336	0.9908	1	0
Leaf11	1.50559717195522	0.778782894736842	0.198283082077052	0.9298	0	0
Leaf111	1.67931992256544	0.863486842105263	0.206286836935167	0.9908	1	0
Leaf112	1.65760457873916	0.849506578947368	0.214004557696292	0.9908	0	0
Leaf113	1.65036613079707	0.853618421052632	0.210975609756098	0.9908	1	0
Leaf117	1.67208147462335	0.859375	0.215819909128459	0.9908	1	0
Leaf119	1.70465449036276	0.875	0.201897533206831	1	0	1
Leaf121	1.70827371433381	0.874177631578947	0.195010089891763	1	0	1
Leaf122	1.69741604242067	0.870888157894737	0.201599086236436	1	0	1
Leaf123	1.70465449036276	0.873355263157895	0.20259442960702	1	1	0
Leaf125	1.67208147462335	0.864309210526316	0.197111777944486	0.9908	1	0
Leaf126	1.53455096372359	0.807565789473684	0.189429012345679	0.8855	0	0
Leaf127	1.58522009931824	0.833059210526316	0.179450841452613	0.9131	0	0
Leaf129	1.60331621917347	0.834703947368421	0.180444444444444	0.9131	0	0
Leaf13	1.53455096372359	0.800164473684211	0.174874191229331	0.9201	0	0
Leaf130	1.48750105209999	0.776315789473684	0.176845260397152	0.8995	0	0
Leaf131	1.48750105209999	0.786184210526316	0.18752451941938	0.8982	0	0
Leaf137	1.42959346856325	0.746710526315789	0.193438432040903	0.8724	0	0
Leaf139	1.4802626041579	0.777960526315789	0.174185232922114	0.8855	0	0
Leaf141	1.43683191650534	0.746710526315789	0.181854596435009	0.8724	0	0
Leaf145	1.46216648430267	0.765625	0.176962554647405	0.8724	0	0
Leaf148	1.50197794798418	0.791940789473684	0.175665815395841	0.8982	0	0
Leaf15	1.61055466711556	0.826480263157895	0.174025974025974	0.9131	0	0
Leaf151	1.41511657267907	0.740131578947368	0.188797986154814	0.8736	0	0
Leaf154	1.3861627809107	0.732730263157895	0.196082746478873	0.8735	0	0
Leaf155	1.58522009931824	0.814967105263158	0.18571964017991	0.97	0	0
Leaf159	1.41511657267907	0.738486842105263	0.173459532547808	0.8736	0	0
Leaf16	1.47664338018685	0.763157894736842	0.194386258902388	0.9331	0	0
Leaf160	1.54902785960778	0.808388157894737	0.193275658670861	0.8722	0	0
Leaf161	1.41149734870802	0.748355263157895	0.184621627104889	0.8736	0	0
Leaf164	1.35720898914233	0.71875	0.193877551020408	0.8821	0	0
Leaf168	1.41873579665011	0.750822368421053	0.205260791366906	0.9553	0	0
Leaf17	1.46216648430267	0.770559210526316	0.197846283783784	0.9213	0	0
Leaf171	1.42959346856325	0.744243421052632	0.185109429331152	0.8725	0	0
Leaf172	1.35720898914233	0.721217105263158	0.210160555954948	0.8781	0	0
Leaf176	1.47302415621581	0.762335526315789	0.197781096650309	0.8415	0	0
Leaf177	1.69379681844963	0.862664473684211	0.176361802286483	0.8869	0	0
Leaf179	1.37168588502651	0.726151315789474	0.185543181340618	0.8736	0	0
Leaf180	1.27396683780827	0.6875	0.20130026486877	0.813	0	0
Leaf182	1.52007406783941	0.786184210526316	0.183563748079877	0.9234	0	0
Leaf183	1.37892433296861	0.726973684210526	0.18957752519837	0.8735	0	0
Leaf185	1.46216648430267	0.763157894736842	0.195327299515891	0.8781	0	0
Leaf186	1.41873579665011	0.75	0.195666166058786	0.8781	0	0
Leaf187	1.3391128692871	0.71875	0.179946469013795	0.9135	0	0
Leaf189	1.49112027607104	0.784539473684211	0.184633249467776	0.8207	0	0
Leaf191	1.60331621917347	0.816611842105263	0.181568842567197	0.8722	0	0
Leaf194	1.46940493224476	0.765625	0.193434448369001	0.8415	0	0
Leaf196	1.31015907751873	0.706414473684211	0.198017519594283	0.9135	0	0
Leaf198	1.60331621917347	0.821546052631579	0.184147465437788	0.9246	0	0
Leaf2	1.50921639592627	0.787828947368421	0.188991911619649	0.9391	0	0
Leaf20	1.60693544314452	0.822368421052632	0.180831826401447	0.9246	0	0
