Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	0.592744107724087	0.702823179791976	0.273252455228192	0.889	0	0
Leaf10	0.554153996544134	0.687964338781575	0.266015512783683	0.9091	0	0
Leaf100	0.602005734407276	0.722882615156018	0.263471432439751	0.9304	0	0
Leaf102	0.600462129960078	0.718424962852897	0.263775231860338	0.9304	0	0
Leaf104	0.614354569984861	0.735512630014859	0.257946847316311	0.9304	0	0
Leaf106	0.605092943301672	0.728083209509658	0.255807883059253	0.9277	0	0
Leaf108	0.597374921065682	0.722882615156018	0.26723427629772	0.9304	0	0
Leaf11	0.551066787649737	0.688707280832095	0.265692175408426	0.9058	0	0
Leaf111	0.618985383326456	0.741456166419019	0.259692948217538	0.9304	0	0
Leaf112	0.59891852551288	0.720653789004458	0.262943887232312	0.9304	0	0
Leaf113	0.603549338854474	0.724368499257058	0.25965379494008	0.9304	0	0
Leaf117	0.606636547748871	0.731054977711738	0.26080042406573	0.9304	0	0
Leaf119	0.605092943301672	0.734026745913819	0.249117498739284	0.9252	0	0
Leaf121	0.608180152196069	0.736255572065379	0.251586697131252	0.9252	0	0
Leaf122	0.611267361090465	0.737741456166419	0.254354508196721	0.9252	0	0
Leaf123	0.609723756643267	0.734026745913819	0.250697792438467	0.9252	0	0
Leaf125	0.612810965537663	0.734769687964339	0.25715028601144	0.9304	0	0
Leaf126	0.608180152196069	0.74591381872214	0.248330447687361	0.9019	0	0
Leaf127	0.656031890059211	0.765230312035661	0.234037718700295	0.9295	0	0
Leaf129	0.651401076717617	0.761515601783061	0.254975124378109	0.9295	0	0
Leaf13	0.742473739102307	0.846953937592868	0.26861451460886	0.9919	1	0
Leaf130	0.571133645463313	0.691679049034175	0.242574257425743	0.9158	0	0
Leaf131	0.615898174432059	0.739227340267459	0.249123685528292	0.9147	0	0
Leaf137	0.625159801115248	0.734026745913819	0.266810694031866	0.8889	0	0
Leaf139	0.575764458804908	0.700594353640416	0.235691077230692	0.9019	0	0
Leaf141	0.617441778879258	0.732540861812779	0.265196342119419	0.8889	0	0
Leaf145	0.631334218904041	0.737741456166419	0.260972404730618	0.8889	0	0
Leaf148	0.617441778879258	0.742199108469539	0.254263171290405	0.9147	0	0
Leaf15	0.68999118789757	0.792719167904903	0.238489047831918	0.9295	0	0
Leaf151	0.605092943301672	0.725854383358098	0.288115600117959	0.89	0	0
Leaf154	0.55724120543853	0.684992570579495	0.287855135810178	0.89	0	0
Leaf155	0.622072592220852	0.760772659732541	0.260493513100992	0.9396	0	0
Leaf159	0.595831316618484	0.702823179791976	0.271917217591262	0.89	0	0
Leaf16	0.558784809885728	0.691679049034175	0.26822241428983	0.9091	0	0
Leaf160	0.617441778879258	0.735512630014859	0.254957507082153	0.8886	0	0
Leaf161	0.57422085435771	0.686478454680535	0.288569643972517	0.89	0	0
Leaf164	0.524825512047369	0.654531946508172	0.290759075907591	0.8985	0	0
Leaf168	0.524825512047369	0.661961367013373	0.274660912453761	0.9314	0	0
