Row	p_EC	sensitivity	precision	relation	genus	species
Leaf1	1.23415537412676	0.632768361581921	0.226458694396303	0.8725	0	0
Leaf10	1.29930140560559	0.653753026634383	0.232691755242746	0.9331	0	0
Leaf100	1.53455096372359	0.76271186440678	0.255889520714866	0.9908	1	0
Leaf102	1.53093173975255	0.758676351896691	0.256410256410256	0.9908	1	0
Leaf104	1.55988553152092	0.764326069410815	0.246743095362168	0.9908	1	0
Leaf106	1.54902785960778	0.768361581920904	0.248499086400418	0.9921	1	0
Leaf108	1.54902785960778	0.763518966908797	0.259818731117825	0.9908	1	0
Leaf11	1.2920629576635	0.656981436642454	0.233304671825738	0.9298	0	0
Leaf111	1.57074320343405	0.777239709443099	0.250585480093677	0.9908	1	0
Leaf112	1.53093173975255	0.759483454398709	0.255082678232583	0.9908	0	0
Leaf113	1.54540863563673	0.764326069410815	0.25219707057257	0.9908	1	0
Leaf117	1.56350475549196	0.770782889426957	0.253114232706069	0.9908	1	0
Leaf119	1.61055466711556	0.791767554479419	0.247352496217852	1	0	1
Leaf121	1.60693544314452	0.788539144471348	0.248032495557248	1	0	1
Leaf122	1.61779311505765	0.792574656981437	0.251536885245902	1	0	1
Leaf123	1.61055466711556	0.791767554479419	0.248921593504187	1	1	0
Leaf125	1.56350475549196	0.77320419693301	0.249089963598544	0.9908	1	0
Leaf126	1.42235502062116	0.725585149313963	0.222359633935197	0.8855	0	0
Leaf127	1.52007406783941	0.759483454398709	0.213815042035901	0.9131	0	0
Leaf129	1.50921639592627	0.752219531880549	0.2318407960199	0.9131	0	0
Leaf13	1.41511657267907	0.71589991928975	0.209000942507069	0.9201	0	0
Leaf130	1.33549364531605	0.681194511702986	0.21990620114643	0.8995	0	0
Leaf131	1.3861627809107	0.702986279257466	0.21807711567351	0.8982	0	0
Leaf137	1.31015907751873	0.660209846650525	0.220901971374561	0.8724	0	0
Leaf139	1.36082821311337	0.690072639225182	0.213696575856036	0.8855	0	0
Leaf141	1.30653985354768	0.662631154156578	0.220817643894567	0.8724	0	0
Leaf145	1.2920629576635	0.661016949152542	0.215243101182654	0.8724	0	0
Leaf148	1.39340122885279	0.703793381759483	0.221939424790023	0.8982	0	0
Leaf15	1.54902785960778	0.757062146892655	0.209655789003129	0.9131	0	0
Leaf151	1.26310916589513	0.643260694108152	0.235033913299912	0.8736	0	0
Leaf154	1.18348623853211	0.610976594027442	0.236340930377771	0.8735	0	0
Leaf155	1.41511657267907	0.711864406779661	0.22437038921394	0.97	0	0
Leaf159	1.2450130460399	0.639225181598063	0.227651624029894	0.8736	0	0
Leaf16	1.2920629576635	0.653753026634383	0.233362143474503	0.9331	0	0
Leaf160	1.42235502062116	0.717514124293785	0.228946690703065	0.8722	0	0
Leaf161	1.19796313441629	0.621468926553672	0.240474703310431	0.8736	0	0
Leaf164	1.15091322279269	0.605326876513317	0.247524752475248	0.8821	0	0
Leaf168	1.26672838986617	0.656981436642454	0.250924784217016	0.9553	0	0
Leaf17	1.29568218163454	0.664245359160613	0.243924125666864	0.9213	0	0
Leaf171	1.23415537412676	0.632768361581921	0.226655102630818	0.8725	0	0
Leaf172	1.17986701456106	0.617433414043584	0.24527092016672	0.8781	0	0
Leaf176	1.25948994192408	0.651331719128329	0.240967452971036	0.8415	0	0
Leaf177	1.57798165137615	0.779661016949153	0.203496945439225	0.8869	0	0
Leaf179	1.20158235838734	0.623890234059726	0.23360531882744	0.8736	0	0
Leaf180	1.00976348792189	0.554479418886199	0.257110778443114	0.813	0	0
Leaf182	1.42597424459221	0.715092816787732	0.211708482676225	0.9234	0	0
Leaf183	1.16177089470583	0.609362389023406	0.228580078716318	0.8735	0	0
Leaf185	1.23053615015571	0.63680387409201	0.225751072961373	0.8781	0	0
Leaf186	1.17624779059002	0.619854721549637	0.243732148524278	0.8781	0	0
Leaf187	1.15815167073479	0.615819209039548	0.242530197075652	0.9135	0	0
Leaf189	1.31739752546082	0.680387409200969	0.232744340143567	0.8207	0	0
Leaf191	1.47302415621581	0.729620661824052	0.221026894865526	0.8722	0	0
Leaf194	1.25587071795303	0.655367231638418	0.237426900584795	0.8415	0	0
Leaf196	1.14729399882165	0.609362389023406	0.244178525226391	0.9135	0	0
Leaf198	1.38978200488174	0.703793381759483	0.232968207320331	0.9246	0	0
Leaf2	1.33549364531605	0.686844229217111	0.233214579336805	0.9391	0	0
Leaf20	1.40787812473697	0.711864406779661	0.232288648933368	0.9246	0	0
Leaf201	1.04233650366131	0.580306698950767	0.248359240069085	0.8111	0	0
Leaf202	1.42959346856325	0.715092816787732	0.227121250961292	0.97	0	0
Leaf203	1.21605925427153	0.625504439063761	0.243710691823899	0.8736	0	0
Leaf208	1.37892433296861	0.705407586763519	0.224909933093155	0.9246	0	0
Leaf210	1.22329770221362	0.635996771589992	0.23951367781155	0.8781	0	0
Leaf216	1.2920629576635	0.673123486682809	0.227993439037726	0.8398	0	0
Leaf22	1.32101674943187	0.665052461662631	0.236441893830703	0.9262	0	0
Leaf220	1.37530510899756	0.706214689265537	0.227627471383975	0.8739	0	0
Leaf222	1.25587071795303	0.641646489104116	0.214806808970548	0.8733	0	0
Leaf225	1.41149734870802	0.70137207425343	0.195456590193432	0.8832	0	0
Leaf226	1.39702045282384	0.717514124293785	0.238401716277822	0.9252	0	0
Leaf23	1.28844373369245	0.656981436642454	0.234244604316547	0.9298	0	0
Leaf230	1.37530510899756	0.702986279257466	0.236299511665762	0.9246	0	0
Leaf231	1.36082821311337	0.694915254237288	0.242398648648649	0.9255	0	0
Leaf233	1.45492803636058	0.725585149313963	0.195137833731278	0.8809	0	0
Leaf234	1.2377745980978	0.633575464083939	0.22913018096906	0.8685	0	0
Leaf24	1.31739752546082	0.664245359160613	0.238896952104499	0.9298	0	0
Leaf242	1.38254355693965	0.702179176755448	0.23462783171521	0.9246	0	0
Leaf244	1.20882080632943	0.630347054075868	0.227497815321876	0.8781	0	0
Leaf245	1.28844373369245	0.664245359160613	0.234006255331248	0.8764	0	0
Leaf247	1.42597424459221	0.705407586763519	0.199908508691674	0.8832	0	0
Leaf25	1.2848245097214	0.646489104116223	0.232916545507415	0.9298	0	0
Leaf254	1.14729399882165	0.605326876513317	0.235774913549198	0.8781	0	0
Leaf257	1.36806666105547	0.695722356739306	0.241591928251121	0.9255	0	0
Leaf258	1.41149734870802	0.70137207425343	0.194886745907154	0.8832	0	0
Leaf26	1.35720898914233	0.689265536723164	0.212914485165794	0.9373	0	0
Leaf261	1.17986701456106	0.612590799031477	0.229860690490612	0.8735	0	0
Leaf262	1.44407036444744	0.73365617433414	0.226683291770574	0.97	0	0
Leaf263	1.17986701456106	0.616626311541566	0.245817245817246	0.8781	0	0
Leaf264	1.21967847824257	0.62953995157385	0.21978021978022	0.8855	0	0
Leaf265	1.49473950004208	0.747376916868442	0.194415284484569	0.8722	0	0
Leaf267	1.46216648430267	0.748991121872478	0.207792207792208	0.8739	0	0
Leaf272	1.28844373369245	0.657788539144471	0.228739825989335	0.8764	0	0
Leaf274	1.44768958841848	0.746569814366425	0.202451302254323	0.8722	0	0
Leaf278	1.42235502062116	0.711057304277643	0.194010129927329	0.8809	0	0
Leaf28	1.40063967679488	0.707021791767555	0.229860928890055	0.9246	0	0
Leaf280	1.27034761383722	0.6545601291364	0.255997474747475	0.9553	0	0
Leaf283	1.22329770221362	0.635996771589992	0.226241745621591	0.8781	0	0
Leaf285	1.30292062957663	0.679580306698951	0.223698193411265	0.8809	0	0
Leaf288	1.28120528575036	0.658595641646489	0.209876543209877	0.8736	0	0
Leaf289	1.29568218163454	0.665859564164649	0.234441602728048	0.8764	0	0
