Row	MNXM1026	MNXM111	MNXM114	MNXM11	MNXM128	MNXM131	MNXM140	MNXM1499	MNXM149	MNXM152150	MNXM153069	MNXM1542	MNXM157678	MNXM15	MNXM160410	MNXM160414	MNXM160440	MNXM161119	MNXM161163	MNXM161213	MNXM19009	MNXM196	MNXM198	MNXM1	MNXM21	MNXM2255	MNXM2276	MNXM231	MNXM27	MNXM2	MNXM304	MNXM32	MNXM3673	MNXM41	MNXM43229	MNXM43	MNXM4505	MNXM4	MNXM531993	MNXM53	MNXM55	MNXM58	MNXM59041	MNXM599	MNXM60	MNXM61025	MNXM61028	MNXM61032	MNXM61038	MNXM632	MNXM653	MNXM70	MNXM82680	MNXM88705	MNXM89	MNXM90852	MNXM90960	MNXM95120	MNXM95	MNXM9
Soil522	1	1	1	0.9943	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0.9866	1	1	1	1	1
Soil531	1	0	1	0.9636	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil535	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil538	1	0	1	0.9841	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil724D2	1	0	1	0.95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9901	1	1	1	1	1
Soil728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9972	1	1	1	1	1
Soil736	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0.9989	1	1	1	1	1
Soil745	1	1	1	0.9481	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil748	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9986	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil750	1	0	1	0.9269	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil768D1	1	1	1	0.9466	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.9992	1	1	1	1	1
Soil772	1	1	1	0.9733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0.9465	1	1	1	1	1
Soil773	1	1	1	0.9331	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil774	1	1	1	0.9474	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0.9996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
