Row	MNXM1004	MNXM1018	MNXM1020	MNXM1039	MNXM105630	MNXM105	MNXM107	MNXM10881	MNXM1118	MNXM1119	MNXM111	MNXM112	MNXM1135	MNXM114091	MNXM114119	MNXM1142	MNXM114	MNXM1154	MNXM1158	MNXM117	MNXM1184	MNXM118	MNXM11	MNXM1213	MNXM1214	MNXM12187	MNXM1233	MNXM1255	MNXM127	MNXM1282	MNXM1287	MNXM1289	MNXM129	MNXM12	MNXM131	MNXM13282	MNXM132	MNXM1333	MNXM1341	MNXM1380	MNXM138	MNXM139	MNXM13	MNXM1407	MNXM140	MNXM142	MNXM1434	MNXM143	MNXM144	MNXM145579	MNXM145844	MNXM145	MNXM146119	MNXM146389	MNXM146395	MNXM146998	MNXM147	MNXM149192	MNXM1499	MNXM1514	MNXM1542	MNXM154	MNXM155029	MNXM156	MNXM15783	MNXM157	MNXM158	MNXM15900	MNXM159	MNXM15	MNXM160	MNXM1611	MNXM161565	MNXM1617	MNXM161	MNXM162260	MNXM162281	MNXM162288	MNXM1626	MNXM162924	MNXM1653	MNXM165	MNXM167	MNXM168170	MNXM168	MNXM1705	MNXM1709	MNXM172	MNXM1737	MNXM1744	MNXM179	MNXM17	MNXM1802	MNXM1819	MNXM182	MNXM186	MNXM187	MNXM1897	MNXM189	MNXM1910	MNXM1914	MNXM192	MNXM195	MNXM196	MNXM1984	MNXM198	MNXM199	MNXM1	MNXM207	MNXM20	MNXM213	MNXM216	MNXM217	MNXM218	MNXM21	MNXM222	MNXM2276	MNXM228	MNXM22	MNXM230	MNXM231	MNXM2323	MNXM233	MNXM234	MNXM2356	MNXM2387	MNXM23	MNXM2403	MNXM241	MNXM242	MNXM2449	MNXM244	MNXM245	MNXM2474	MNXM249	MNXM251	MNXM254	MNXM255	MNXM2561	MNXM256	MNXM258	MNXM25	MNXM2646	MNXM26	MNXM271	MNXM2758	MNXM280	MNXM2813	MNXM2843	MNXM285	MNXM288	MNXM2905	MNXM291	MNXM295	MNXM29	MNXM301	MNXM303	MNXM305	MNXM310	MNXM3135	MNXM316	MNXM322	MNXM323	MNXM3270	MNXM32	MNXM331	MNXM3329	MNXM332	MNXM336	MNXM338	MNXM339	MNXM3414	MNXM341	MNXM3483	MNXM348	MNXM34	MNXM3509	MNXM356	MNXM361	MNXM362	MNXM3633	MNXM364	MNXM366	MNXM36	MNXM373	MNXM374	MNXM376	MNXM379	MNXM386	MNXM390	MNXM39	MNXM402	MNXM40472	MNXM4121	MNXM41271	MNXM418	MNXM419	MNXM422	MNXM427	MNXM429	MNXM42	MNXM432	MNXM435	MNXM4391	MNXM440	MNXM445	MNXM448	MNXM454	MNXM458	MNXM460	MNXM461	MNXM4631	MNXM4635	MNXM469	MNXM46	MNXM4708	MNXM475	MNXM477	MNXM480	MNXM486	MNXM490	MNXM493	MNXM4961	MNXM4	MNXM506	MNXM508	MNXM514	MNXM5189	MNXM526203	MNXM5311	MNXM548	MNXM55158	MNXM553	MNXM555	MNXM55	MNXM5613	MNXM5617	MNXM5663	MNXM56	MNXM572	MNXM5749	MNXM579	MNXM582	MNXM5861	MNXM58	MNXM59041	MNXM59384	MNXM59552	MNXM597	MNXM599	MNXM60	MNXM61025	MNXM61028	MNXM61032	MNXM61038	MNXM615	MNXM61741	MNXM622	MNXM6396	MNXM649	MNXM650	MNXM65196	MNXM652	MNXM658	MNXM659	MNXM662	MNXM66	MNXM679	MNXM6822	MNXM699	MNXM69	MNXM70	MNXM721	MNXM722711	MNXM722772	MNXM722790	MNXM730	MNXM742	MNXM7454	MNXM746	MNXM7489	MNXM74	MNXM750	MNXM753	MNXM75	MNXM761	MNXM7678	MNXM770	MNXM77	MNXM789	MNXM78	MNXM795	MNXM801	MNXM813	MNXM820	MNXM8263	MNXM83	MNXM8509	MNXM8664	MNXM8667	MNXM872	MNXM874	MNXM87584	MNXM87661	MNXM881	MNXM89557	MNXM89582	MNXM89588	MNXM89612	MNXM89621	MNXM89653	MNXM89661	MNXM89689	MNXM89735	MNXM89	MNXM901	MNXM90941	MNXM911	MNXM923	MNXM92	MNXM933	MNXM93	MNXM94026	MNXM943	MNXM962	MNXM963	MNXM96917	MNXM970	MNXM98	MNXM99	MNXM9
Soil522	1	1	1	1	1	1	1	0.9719	1	1	1	1	1	1	1	1	0.9913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9985	1	1	1	1	1	1	0.9854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9704	1	1	1	1	1	0.9961	1	1	1	1	1	1	1	1	1	1	0.9424	1	1	1	1	1	1	0.9789	1	0.9953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9713	1	1	1	0.9895	1	1	0.9976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9863	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9712
Soil531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9954	0.9963	0.9964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9952	1	1	0.9774	1	1	1	0.9787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9626	1	1	1	1	1	1	1	1	1	0.9952	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	1	1	1	0.9937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9918	1	0.9856	1	1	1	1	1	1	1	1	1	1	0.9947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9947	0.9921	1	0.9987	1	1	1	1	1	1	1	1	1	0.9794	1	0.9859	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9987	1	1	1	0.9812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9841	1	1	1	1	0.9974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9924	1	1	1	1	1	1	1	1	0.9628
Soil535	1	0.9998	1	1	1	1	1	0.9863	1	1	1	1	1	1	1	1	0.9964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9936	1	1	1	1	1	1	1	0.9903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9983	1	1	1	1	1	1	0.9643	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9845	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	1	1	1	1	1	0.9967	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9871	1	1	1	1	1	1	0.9971	1	1	1	1	0.9941	1	0.9493	1	1	0.984	1	1	1	1	1	1	1	0.9963	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9969	1	1	1	1	1	1	0.9983	1	1	1	1	1	0.999	1	1	1	1	1	1	0.9981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9548	0.9976	1	1	1	1	1	1	1	0.9472	1	1	1	1	1	1	1	1	1	1	0.992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9966	1	1	1	1	1	1	1	1	0.9787
Soil538	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9949	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9896	0.991	1	1	1	1	1	1	1	1	1	1	1	0.967	1	1	1	1	1	1	0.9947	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9989	1	1	1	1	1	1	1	1	1	0.9524	1	1	1	1	1	1	1	1	1	1	1	0.9849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9683
Soil724D2	1	1	1	1	1	1	1	0.9976	1	1	1	1	1	1	1	1	1	0.9951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	0.9987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9444
Soil736	1	1	1	1	1	1	1	0.9793	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9901	1	1	1	1	1	1	1	1	1	1	1	0.9873	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9927	1	1	1	1	1	1	1	1	1	0.9998	1	1	1	1	1	1	1	1	0.9662	1	1	1	1	1	1	0.9741	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9674	1	1	1	1	0.9966	1	1	1	1	1	1	0.9999	1	0.9685	1	1	0.988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9901	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9945	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	0.9982	1	0.9953	1	0.969	1	1	1	0.9913	1	0.999	1	1	0.9888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9875	0.9914	0.9999	1	1	1	1	1	0.9985	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1
Soil745	1	1	1	1	1	1	1	0.9843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9742	1	1	1	1	1	1	1	1	1	0.9987	1	0.9374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9813	0.987	1	1	0.9954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9852	1	1	1	1	1	0.9628	1	1	1	1	1	1	0.9954	1	1	1	0.9641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9987	1	0.9747	1	0.9986	1	1	1	1	1	1	0.9585	1	1	1	1	1	1	1	0.9874	1	1	1	1	1	1	1	1	0.9508
Soil748	1	1	1	1	1	1	1	0.9715	1	1	1	1	1	1	1	1	0.9808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.996	1	1	1	0.9784	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	0.9918	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	0.9991	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9823	1	1	1	1	0.9963	1	1	1	1	1	1	0.9845	1	0.9827	1	1	1	1	1	1	1	1	1	1	0.9983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9918	1	1	1	1	1	1	1	1	1	1	1	1	0.9858	1	1	1	1	1	1	1	1	1	0.9944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9757	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9807	1	1	1	1	1	1	1	1	1	1	0.9999	0.9733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9944	1	1	1	1	1	1	0.996	1	0.9733
Soil750	1	1	1	1	1	1	1	0.9783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9893	1	1	1	0.9783	1	1	1	1	1	1	1	0.9797	1	1	1	1	1	1	1	1	1	1	0.9605	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9783	1	0.9547	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9605	1	1	1	1	1	1	0.9589	1	1	1	1	1	0.9783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9783	1	1	1	1	1	1	1	1	0.9269
Soil761	1	1	1	1	1	1	1	0.9712	1	1	1	1	0.9997	1	1	1	0.9987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9839	1	1	1	1	1	1	1	1	1	0.9847	1	0.9904	1	0.9777	1	1	0.9744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9811	1	1	1	1	1	1	1	1	1	1	1	1	0.9808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9937	1	1	1	1	1	1	1	1	1	1	1	1	0.9969	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992	1	1	1	0.9904	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9899	1	1	1	1	1	0.9972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9904	1	1	1	1	1	1	1	1	0.976
