ID	brite
MNXM1004	Other
MNXM1018	Other
MNXM1020	Other
MNXM1039	Other
MNXM105630	Other
MNXM105	Other
MNXM107	Other
MNXM10881	Other
MNXM1118	Other
MNXM1119	Other
MNXM111	Minerals
MNXM112	Carbohydrates
MNXM1135	Other
MNXM114091	Other
MNXM114119	Other
MNXM1142	Carbohydrates
MNXM114	Peptides
MNXM1154	Other
MNXM1158	Other
MNXM117	Other
MNXM1184	Other
MNXM118	Peptides
MNXM11	Other
MNXM1213	Other
MNXM1214	Other
MNXM12187	Other
MNXM1233	Carbohydrates
MNXM1255	Other
MNXM127	Carbohydrates
MNXM1282	Carbohydrates
MNXM1287	Peptides
MNXM1289	Organic acids
MNXM129	Vitamins and Cofactors
MNXM12	Vitamins and Cofactors
MNXM131	Organic acids
MNXM13282	Other
MNXM132	Other
MNXM1333	Other
MNXM1341	Vitamins and Cofactors
MNXM1380	Carbohydrates
MNXM138	Other
MNXM139	Other
MNXM13	Other
MNXM1407	Other
MNXM140	Peptides
MNXM142	Peptides
MNXM1434	Carbohydrates
MNXM143	Carbohydrates
MNXM144	Peptides
MNXM145579	Other
MNXM145844	Other
MNXM145	Other
MNXM146119	Other
MNXM146389	Other
MNXM146395	Other
MNXM146998	Other
MNXM147	Peptides
MNXM149192	Other
MNXM1499	Other
MNXM1514	Other
MNXM1542	Other
MNXM154	Organic acids
MNXM155029	Other
MNXM156	Peptides
MNXM15783	Peptides
MNXM157	Other
MNXM158	Nucleic acids
MNXM15900	Other
MNXM159	Organic acids
MNXM15	Other
MNXM160	Other
MNXM1611	Other
MNXM161565	Vitamins and Cofactors
MNXM1617	Organic acids
MNXM161	Vitamins and Cofactors
MNXM162260	Organic acids
MNXM162281	Other
MNXM162288	Other
MNXM1626	Other
MNXM162924	Other
MNXM1653	Organic acids
MNXM165	Carbohydrates
MNXM167	Carbohydrates
MNXM168170	Organic acids
MNXM168	Nucleic acids
MNXM1705	Other
MNXM1709	Other
MNXM172	Organic acids
MNXM1737	Other
MNXM1744	Other
MNXM179	Organic acids
MNXM17	Nucleic acids
MNXM1802	Other
MNXM1819	Peptides
MNXM182	Carbohydrates
MNXM186	Other
MNXM187	Other
MNXM1897	Other
