Row	MNXM1026	MNXM111	MNXM11	MNXM128	MNXM131	MNXM140	MNXM147	MNXM149	MNXM152150	MNXM153069	MNXM157678	MNXM15	MNXM160410	MNXM160414	MNXM160440	MNXM161119	MNXM161163	MNXM161213	MNXM16	MNXM19009	MNXM196	MNXM1	MNXM2255	MNXM231	MNXM27	MNXM2	MNXM304	MNXM323	MNXM3673	MNXM41	MNXM43229	MNXM43	MNXM4505	MNXM4	MNXM531993	MNXM55	MNXM58	MNXM61	MNXM626	MNXM632	MNXM653	MNXM70	MNXM78	MNXM82680	MNXM88705	MNXM89	MNXM90852	MNXM90960	MNXM95120	MNXM95	MNXM9
Soil522	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil531	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil535	1	-0	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil538	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil724D2	1	0.5376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil736	1	0.9995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9982	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9687
Soil745	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil748	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil750	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil761	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil762	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil763	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil764	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil768D1	1	0.5376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil772	1	0.5376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil773	1	0.5376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil774	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil777	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil782	1	-0	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil787	1	0.5376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil796	1	-0	1	1	-0	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil802	1	-0	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil809	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Soil810	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
