CarveMe_genes	KBase_genes	AuReMe_genes	RAVEN_genes	consensus_genes	sums_genes
963	852	483	1179	1505	3477
809	764	279	1126	1362	2978
928	848	125	1273	1515	3174
927	859	159	1276	1536	3221
1014	908	211	1403	1673	3536
987	917	168	1363	1668	3435
899	847	181	1223	1499	3150
804	722	206	1097	1307	2829
997	934	253	1384	1671	3568
943	863	105	1297	1529	3208
998	909	139	1408	1665	3454
988	928	144	1409	1666	3469
1008	919	173	1460	1727	3560
1034	934	285	1459	1752	3712
1033	942	135	1463	1729	3573
997	895	173	1407	1672	3472
1043	968	269	1463	1781	3743
1042	882	185	1494	1617	3603
1418	1200	161	2099	2238	4878
1285	1023	346	1790	1943	4444
1253	1353	180	1854	2125	4640
1017	886	453	1390	1595	3746
976	817	130	1454	1572	3377
1056	970	120	1348	1599	3494
1043	844	258	1475	1654	3620
1013	939	191	1308	1557	3451
1119	993	297	1413	1704	3822
980	815	350	1431	1609	3576
1517	1264	149	2175	2356	5105
886	786	244	1044	1308	2960
850	765	201	1010	1280	2826
1194	1011	235	1641	1859	4081
936	880	529	1212	1495	3557
816	737	192	1102	1306	2847
1108	980	107	1550	1750	3745
929	802	462	1109	1375	3302
796	681	335	939	1198	2751
728	653	216	929	1143	2526
755	680	214	1015	1224	2664
941	855	482	1178	1495	3456
823	716	207	949	1224	2695
796	708	242	1033	1290	2779
1480	1374	208	2318	2518	5380
849	768	298	1041	1282	2956
650	565	330	763	999	2308
1245	1239	106	1861	2096	4451
866	769	169	1049	1306	2853
924	880	213	1205	1492	3222
830	704	273	970	1239	2777
861	780	398	1083	1366	3122
891	780	335	1174	1461	3180
1200	1080	246	1732	1981	4258
778	697	275	1034	1283	2784
841	757	214	1049	1287	2861
863	781	353	1203	1455	3200
818	760	160	1150	1353	2888
860	802	378	1233	1474	3273
684	624	65	897	1073	2270
1166	1024	258	1641	1864	4089
879	795	338	1001	1293	3013
889	832	212	1299	1526	3232
912	784	261	1060	1339	3017
827	760	123	1143	1373	2853
827	767	107	1139	1346	2840
1057	922	240	1470	1658	3689
1009	910	639	1246	1610	3804
1108	970	209	1514	1849	3801
840	791	204	1211	1436	3046
798	719	232	1093	1305	2842
838	786	290	1193	1421	3107
798	742	327	1068	1330	2935
1213	1089	238	1708	2028	4248
894	782	302	1063	1351	3041
818	747	174	1115	1335	2854
851	763	182	1190	1402	2986
943	854	167	1187	1465	3151
829	786	181	1090	1322	2886
1087	941	402	1489	1805	3919
818	747	160	1102	1309	2827
853	718	551	977	1329	3099
812	781	129	1159	1343	2881
1118	973	201	1521	1854	3813
912	869	204	1335	1583	3320
836	794	181	1072	1312	2883
1242	1077	149	1735	1983	4203
827	717	267	960	1234	2771
928	836	212	1161	1428	3137
1412	1550	200	2465	2775	5627
1338	1295	263	2065	2371	4961
870	817	169	1087	1368	2943
1333	1398	225	2234	2523	5190
1239	1117	112	1746	2064	4214
867	816	301	1232	1489	3216
704	622	182	894	1096	2402
934	860	332	1197	1494	3323
960	850	254	1171	1457	3235
1044	991	251	1334	1625	3620
867	806	302	1112	1375	3087
824	738	110	1102	1302	2774
851	800	417	1110	1398	3178
925	877	213	1206	1490	3221
934	847	433	1155	1474	3369
890	821	236	1140	1399	3087
960	768	298	1167	1406	3193
867	803	400	1225	1492	3295
803	725	439	975	1274	2942
1183	1040	363	1658	1926	4244
917	839	392	1169	1448	3317
1139	1007	218	1603	1840	3967
971	868	547	1205	1550	3591
825	738	322	1102	1346	2987
922	826	160	1111	1350	3019
1190	1036	325	1659	1909	4210
1139	1029	167	1570	1800	3905
934	819	222	1142	1401	3117
906	795	171	1083	1362	2955
695	650	629	952	1217	2926
948	854	406	1227	1527	3435
890	789	264	1083	1332	3026
964	905	406	1234	1552	3509
1183	1133	165	1567	1871	4048
817	745	284	1146	1374	2992
844	755	272	1168	1403	3039
1101	947	249	1460	1728	3757
789	705	214	1062	1275	2770
1032	979	317	1513	1729	3841
827	753	109	969	1204	2658
782	764	97	895	1175	2538
996	884	297	1354	1699	3531
793	749	655	1158	1437	3355
605	540	149	781	964	2075
1199	1212	123	1861	2130	4395
723	670	431	943	1206	2767
1057	978	421	1417	1765	3873
1172	1058	229	1665	1908	4124
844	768	415	1165	1443	3192
1080	976	178	1422	1741	3656
1100	977	177	1510	1747	3764
1078	980	415	1500	1788	3973
1352	1318	227	2044	2385	4941
1340	1298	181	2025	2359	4844
692	633	362	879	1144	2566
935	845	210	1170	1424	3160
1332	1227	110	2191	2445	4860
876	836	212	1223	1486	3147
1124	1001	130	1614	1814	3869
686	620	163	866	1058	2335
724	681	227	971	1188	2603
1052	1001	479	1372	1688	3904
798	737	337	1082	1301	2954
773	698	259	1019	1268	2749
751	722	408	1060	1311	2941
730	628	212	1039	1150	2609
853	720	574	977	1333	3124
729	627	252	1033	1150	2641
794	738	181	1080	1276	2793
1026	898	158	1402	1618	3484
1219	1119	155	1704	1959	4197
1398	1106	518	1914	2167	4936
845	762	197	1034	1250	2838
820	719	293	973	1248	2805
1072	933	227	1366	1641	3598
950	846	388	1207	1494	3391
1313	1280	221	1986	2315	4800
1120	1005	250	1528	1779	3903
1026	956	103	1409	1708	3494
720	626	252	1030	1142	2628
1222	1113	152	1697	1953	4184
1005	915	139	1393	1653	3452
876	815	113	1209	1454	3013
942	854	162	1279	1540	3237
1396	1126	190	1980	2137	4692
1014	952	158	1318	1539	3442
818	748	155	1115	1335	2836
1545	1259	164	2309	2286	5277
1520	1174	280	2205	2181	5179
1463	1164	153	2084	2073	4864
1349	1135	385	1951	2144	4820
1142	1010	222	1704	1854	4078
823	792	157	1161	1388	2933
1003	892	192	1406	1603	3493
848	782	266	1159	1405	3055
1166	1024	265	1641	1862	4096
1020	949	179	1288	1539	3436
1087	943	403	1490	1809	3923
855	735	169	1202	1319	2961
1143	1149	325	1834	2000	4451
1296	1338	157	1823	2144	4614
1200	1081	171	1731	1972	4183
1197	1052	195	1694	1917	4138
803	716	304	962	1230	2785
844	781	159	1138	1379	2922
1273	1042	259	1830	2008	4404
1202	1081	147	1728	1965	4158
1006	920	134	1360	1659	3420
986	968	202	1443	1733	3599
950	881	74	1315	1553	3220
972	901	203	1368	1617	3444
987	929	237	1404	1680	3557
804	723	206	1097	1307	2830
987	885	161	1443	1678	3476
1013	960	111	1435	1716	3519
1014	900	173	1425	1691	3512
980	905	154	1348	1640	3387
1006	927	130	1412	1663	3475
953	859	428	1305	1601	3545
