CarveMe_genes	KBase_genes	AuReMe_genes	RAVEN_genes	consensus_genes	sums_genes
1245	1105	154	1720	1998	4224
1022	861	179	1185	1491	3247
1451	1355	171	2220	2477	5197
1170	1111	227	1774	2009	4282
1247	1222	122	1847	2167	4438
1112	1150	440	1631	1977	4333
891	791	583	1110	1406	3375
1376	1308	258	2056	2371	4998
1359	1307	156	2039	2348	4861
1240	1112	368	1730	2031	4450
1181	1050	289	1742	1990	4262
1044	901	154	1260	1559	3359
1252	1151	158	1766	2052	4327
1287	1157	64	1875	2090	4383
1224	1045	215	1735	1981	4219
1214	1112	84	1800	2014	4210
1080	1005	442	1575	1897	4102
1087	954	386	1449	1771	3876
1521	1472	200	2363	2659	5556
1114	1053	231	1600	1919	3998
1502	1514	361	2416	2751	5793
1007	908	143	1435	1649	3493
935	868	329	1288	1596	3420
714	679	180	960	1165	2533
997	872	162	1398	1568	3429
938	868	588	1290	1657	3684
870	800	505	1100	1372	3275
1027	1028	211	1669	1949	3935
1374	1142	322	2078	2391	4916
1515	1485	153	2336	2635	5489
1260	1120	219	1841	2139	4440
1112	1147	623	1623	2028	4505
1470	1331	352	2234	2606	5387
1515	1486	129	2335	2636	5465
1184	1004	198	1672	1936	4058
1275	1134	104	1956	2158	4469
1392	1277	353	2034	2347	5056
1367	1320	367	2108	2533	5162
1237	1192	575	1961	2398	4965
944	838	452	1208	1499	3442
1078	1077	322	1610	1926	4087
1528	1484	180	2387	2699	5579
963	1303	163	1679	1987	4108
891	811	225	1100	1317	3027
1146	1006	272	1622	1879	4046
953	845	201	1352	1618	3351
1110	1007	763	1604	1981	4484
957	889	438	1208	1507	3492
1260	1319	663	1804	2199	5046
1030	895	975	1400	1751	4300
1006	953	178	1475	1762	3612
1133	987	129	1687	1862	3936
1273	1136	222	1980	2198	4611
1265	1121	235	1771	2035	4392
927	898	392	1403	1751	3620
1050	1029	381	1520	1838	3980
929	885	468	1406	1741	3688
1072	930	182	1373	1635	3557
843	787	302	1073	1307	3005
1213	1125	151	1812	2042	4301
1297	1258	251	2068	2259	4874
1440	1336	342	2244	2520	5362
834	722	129	1193	1312	2878
872	768	316	1037	1322	2993
1064	921	319	1247	1644	3551
834	791	216	1153	1383	2994
1172	1157	120	1735	2031	4184
1216	1189	65	1920	2156	4390
1004	997	182	1478	1726	3661
1120	955	103	1632	1804	3810
1219	1166	175	1810	2095	4370
933	888	467	1403	1744	3691
1305	1182	223	1987	2271	4697
1300	1196	166	1965	2278	4627
998	873	171	1180	1490	3222
1114	1051	231	1601	1918	3997
937	900	198	1237	1476	3272
1523	1457	215	2356	2650	5551
945	869	845	1256	1634	3915
1260	1283	246	1774	2076	4563
1012	967	159	1462	1726	3600
804	721	552	1111	1393	3188
1524	1471	169	2361	2650	5525
1350	1317	137	2112	2427	4916
1300	1294	172	2138	2540	4904
1236	1092	181	1742	2042	4251
1239	1111	368	1729	2031	4447
1087	954	386	1449	1771	3876
1260	1087	355	1742	2073	4444
1456	1449	182	2275	2572	5362
912	810	200	1102	1331	3024
1212	1110	151	1796	2027	4269
1531	1546	100	2487	2742	5664
1377	1292	166	2018	2320	4853
892	829	270	1127	1360	3118
1628	1335	157	2347	2536	5467
736	659	370	831	1078	2596
1196	1067	108	1844	1998	4215
1115	953	199	1629	1825	3896
950	854	443	1416	1699	3663
941	853	309	1423	1672	3526
954	887	873	1278	1650	3992
1293	1147	255	1941	2163	4636
1537	1529	132	2589	2901	5787
1221	1201	191	1835	2114	4448
929	853	245	1174	1416	3201
1505	1187	118	2142	2314	4952
1146	1036	249	1664	1906	4095
1207	1078	419	1709	1987	4413
1126	981	253	1600	1840	3960
1314	1285	289	2068	2340	4956
1191	1140	189	1792	2022	4312
1283	1111	194	1910	2140	4498
837	799	159	1156	1387	2951
1486	1438	162	2290	2576	5376
1188	1006	159	1608	1901	3961
1405	1361	265	2175	2456	5206
990	883	242	1312	1556	3427
1272	1312	209	1955	2231	4748
988	849	142	1187	1457	3166
937	890	679	1186	1549	3692
1314	1305	421	2036	2364	5076
886	760	384	1250	1413	3280
1223	1117	139	1745	1993	4224
1370	1382	318	2192	2468	5262
1310	1192	132	1977	2205	4611
956	862	364	1239	1520	3421
960	844	323	1350	1634	3477
1295	1132	342	1862	2089	4631
769	666	303	1083	1246	2821
811	796	662	1110	1402	3379
1030	1029	153	1678	1957	3890
1060	1078	164	1605	1828	3907
810	748	133	956	1174	2647
1295	1102	164	1873	2178	4434
1129	1023	114	1529	1774	3795
891	807	587	1085	1374	3370
1029	898	971	1402	1752	4300
1467	1422	249	2278	2566	5416
848	713	124	1176	1297	2861
845	738	289	1225	1378	3097
1466	1177	117	2120	2257	4880
977	841	692	1160	1542	3670
1211	1055	236	1711	1921	4213
1334	1259	661	2118	2337	5372
1167	1040	139	1669	1910	4015
1464	1183	124	2063	2227	4834
894	802	505	1100	1385	3301
845	720	354	1203	1379	3122
668	592	323	848	1070	2431
995	936	683	1303	1638	3917
1012	1016	457	1479	1824	3964
892	767	396	1258	1433	3313
1347	1146	232	2095	2347	4820
905	732	182	1241	1404	3060
955	847	86	1300	1491	3188
836	689	471	1169	1358	3165
1326	1151	268	1917	2127	4662
962	860	267	1400	1668	3489
1006	940	169	1481	1742	3596
1127	984	253	1599	1841	3963
838	725	184	1184	1309	2931
1283	1121	219	1839	2150	4462
1222	1170	280	1870	2080	4542
751	679	496	1074	1338	3000
1527	1278	255	2201	2414	5261
1018	1018	467	1479	1828	3982
1070	978	441	1530	1776	4019
931	766	188	1345	1497	3230
1414	1286	106	2086	2338	4892
