CarveMe_genes	KBase_genes	AuReMe_genes	RAVEN_genes	consensus_genes	sums_genes
1058	1124	115	1580	1792	3877
1289	1305	660	1823	2210	5077
1021	1024	111	1357	1647	3513
1245	1165	409	1839	2267	4658
1301	1329	157	1978	2253	4765
914	833	180	1153	1424	3080
959	809	275	1099	1414	3142
1215	1251	102	1734	2013	4302
1251	1281	199	1803	2050	4534
972	839	193	1131	1432	3135
1151	1214	207	1851	2066	4423
914	772	343	1070	1359	3099
1162	1101	136	1547	1820	3946
1117	1050	206	1417	1707	3790
908	829	268	1116	1364	3121
1088	998	146	1386	1653	3618
1119	1164	30	1785	1955	4098
1300	1362	113	1871	2155	4646
804	691	348	1123	1287	2966
855	749	143	1252	1356	2999
918	819	180	1105	1373	3022
1008	916	138	1283	1562	3345
911	798	296	1069	1338	3074
1214	1224	132	1778	2067	4348
1078	1078	279	1599	1906	4034
954	895	121	1331	1567	3301
1002	896	152	1227	1522	3277
1031	938	860	1271	1698	4100
1004	881	436	1223	1567	3544
706	653	364	828	1060	2551
1050	920	394	1238	1635	3602
1044	914	229	1262	1595	3449
