CarveMe_mets	KBase_mets	AuReMe_mets	RAVEN_mets	consensus_mets	sums_mets
1381	1033	1327	2397	3971	6138
1430	1025	951	2443	3851	5849
1296	1101	481	2583	3750	5461
1321	1104	615	2563	3789	5603
1537	1097	732	2661	4070	6027
1510	1141	767	2673	4112	6091
1407	1107	730	2509	3832	5753
1401	1005	788	2431	3798	5625
1472	1121	822	2663	4000	6078
1352	1104	555	2578	3802	5589
1364	1119	597	2602	3845	5682
1347	1120	538	2623	3780	5628
1333	1112	655	2760	3964	5860
1481	1114	990	2739	4185	6324
1478	1114	509	2703	3982	5804
1327	1109	650	2732	3947	5818
1515	1095	915	2676	4089	6201
1535	1115	675	2794	4100	6119
1411	1227	623	3005	4209	6266
1463	1209	1205	2753	4301	6630
1424	1241	683	2905	4176	6253
1490	1108	1118	2676	4139	6392
1484	1015	585	2753	3961	5837
1430	1056	396	2571	3698	5453
1523	1015	923	2785	4185	6246
1242	1054	862	2562	3760	5720
1429	1082	995	2615	4028	6121
1486	1054	1119	2696	4139	6355
1560	1231	729	3042	4375	6562
1217	1043	930	2288	3582	5478
1328	984	832	2216	3645	5360
1521	1155	714	2717	4067	6107
1201	1061	1450	2367	3903	6079
1285	1022	685	2426	3589	5418
1518	1187	506	2678	4008	5889
1342	1045	1316	2181	3764	5884
1161	979	1253	2087	3616	5480
1333	895	778	2258	3483	5264
1386	985	904	2389	3809	5664
1230	1033	1325	2394	3861	5982
1167	995	590	2144	3261	4896
1302	914	767	2294	3531	5277
1708	1241	746	3259	4687	6954
1195	1026	1021	2231	3577	5473
1322	830	938	1848	3187	4938
1427	1155	462	2890	4057	5934
1321	1014	645	2287	3571	5267
1351	1066	728	2417	3733	5562
1305	976	1169	2187	3771	5637
1289	1075	1318	2161	3789	5843
1415	1015	993	2484	3927	5907
1440	1140	879	2838	4173	6297
1287	881	944	2380	3645	5492
1279	1070	756	2116	3456	5221
1433	1061	1191	2614	4167	6299
1459	985	776	2563	3921	5783
1456	1043	1318	2682	4294	6499
1280	877	273	2013	3047	4443
1343	1138	798	2690	3960	5969
1325	1009	1162	2154	3640	5650
1467	1045	940	2744	4205	6196
1317	1002	1096	2273	3712	5688
1286	978	450	2547	3595	5261
1404	1019	562	2431	3739	5416
1365	1123	799	2643	3937	5930
1387	1077	1647	2556	4271	6667
1369	1084	834	3152	4395	6439
1443	1063	885	2625	4074	6016
1244	998	1008	2426	3808	5676
1404	1051	1053	2592	4059	6100
1411	998	1071	2485	3917	5965
1247	1116	843	3262	4376	6468
1354	1047	1124	2386	3906	5911
1393	1019	685	2402	3767	5499
1444	1054	716	2598	3972	5812
1365	1012	697	2382	3706	5456
1071	977	851	2459	3582	5358
1326	1098	1196	3085	4387	6705
1454	1002	710	2412	3808	5578
1327	982	1550	2209	3965	6068
1201	1018	470	2491	3500	5180
1444	1078	825	3161	4470	6508
1318	1052	745	2844	4027	5959
1195	1036	706	2303	3565	5240
1579	1147	650	2759	4112	6135
1179	995	1148	2136	3620	5458
1375	1059	830	2440	3905	5704
1610	1245	824	3312	4739	6991
1570	1197	995	3082	4573	6844
1197	957	774	2500	3658	5428
1607	1224	832	3201	4620	6864
1413	1141	502	3201	4348	6257
1453	1061	1055	2670	4118	6239
1324	872	667	2213	3399	5076
1228	1019	1187	2420	3874	5854
1372	1039	929	2647	3977	5987
1379	1049	897	2678	4060	6003
1239	961	1118	2448	3802	5766
1429	1022	379	2426	3635	5256
1195	956	1343	2533	3922	6027
1351	1066	728	2421	3736	5566
