CarveMe_mets	KBase_mets	AuReMe_mets	RAVEN_mets	consensus_mets	sums_mets
1301	1125	574	2802	3851	5802
1222	955	745	2615	3755	5537
1326	1195	628	3012	4107	6161
1199	1049	989	2664	3861	5901
1305	1134	470	3338	4375	6247
1074	1188	1254	2635	3928	6151
1077	1009	1627	2350	3871	6063
1342	1202	882	2974	4162	6400
1263	1195	781	3034	4185	6273
1306	1143	1191	2802	4145	6442
1262	1132	1017	2921	4208	6332
1224	1034	643	2788	3856	5689
1321	1157	770	2815	4002	6063
1336	1126	453	2927	4032	5842
1338	1129	953	2862	4182	6282
1273	1167	410	2960	4004	5810
1264	1048	1221	2815	4108	6348
1283	1116	1141	2788	4105	6328
1386	1188	727	3193	4330	6494
1165	1128	844	3040	4165	6177
1287	1191	1024	3181	4359	6683
1276	1073	622	2713	3799	5684
1246	992	1079	2812	4016	6129
1070	898	731	2185	3216	4884
1206	1044	705	2576	3699	5531
1246	992	1531	2815	4198	6584
1057	1039	1407	2349	3755	5852
1275	988	965	3121	4315	6349
1316	1115	947	3462	4660	6840
1363	1199	605	3215	4298	6382
1204	1089	923	3318	4462	6534
1074	1188	1504	2633	4029	6399
1343	1187	1206	3602	4923	7338
1365	1199	532	3215	4263	6311
1166	1060	860	3133	4238	6219
1374	1173	400	3182	4222	6129
1333	1184	1107	3077	4363	6701
1308	1188	1350	3633	4974	7479
1228	1098	1407	3394	4691	7127
1104	1013	1290	2497	3811	5904
1123	1084	1088	3121	4305	6416
1386	1191	601	3233	4303	6411
1177	918	574	2260	3282	4929
1058	1034	764	2258	3348	5114
1350	1139	981	2807	4136	6277
1268	1040	928	2901	4077	6137
1276	1013	1622	2734	4147	6645
1053	1079	1344	2506	3815	5982
1214	1231	1748	2835	4402	7028
1180	1061	2022	2627	4242	6890
1288	1083	779	3019	4111	6169
1260	1169	568	2892	3946	5889
1330	1171	832	3167	4322	6500
1367	1178	849	2988	4201	6382
1272	1019	1179	2909	4283	6379
1105	1078	1117	3059	4230	6359
1239	1039	1606	2948	4460	6832
1206	1095	731	2459	3583	5491
1022	999	985	2452	3584	5458
1272	1167	763	2961	4118	6163
1214	1174	977	2919	4087	6284
1250	1199	1089	3057	4297	6595
1231	1058	514	2524	3563	5327
1201	1015	977	2336	3583	5529
1272	1074	1001	2720	4060	6067
1157	956	721	2408	3469	5242
1158	1125	460	3207	4139	5950
1337	1160	390	2984	4022	5871
1000	1030	744	2945	3927	5719
1261	1182	397	2908	3899	5748
1290	1111	706	3000	4120	6107
1166	1039	1604	2944	4409	6753
1369	1162	835	3054	4281	6420
1372	1169	653	3062	4211	6256
1181	1023	679	2456	3604	5339
1167	1128	844	3040	4166	6179
1023	1044	831	2440	3574	5338
1386	1188	770	3191	4343	6535
1178	993	1778	2727	4175	6676
1219	1246	872	2817	3981	6154
1084	1040	613	2924	3862	5661
1252	1002	1443	2552	3938	6249
1386	1188	703	3191	4312	6468
1229	1176	422	3559	4514	6386
1310	1168	643	3569	4600	6690
1282	1156	771	2874	4054	6083
1303	1142	1191	2802	4144	6438
1283	1116	1141	2788	4105	6328
1398	1153	1171	2856	4229	6578
1364	1187	711	3152	4289	6414
1201	1047	863	2204	3476	5315
1271	1167	803	2960	4127	6201
1381	1199	391	3231	4235	6202
1351	1177	681	3127	4234	6336
1048	1036	854	2297	3425	5235
1233	1264	573	3280	4266	6350
1126	1013	1204	2085	3447	5428
1357	1113	432	3087	4137	5989
1260	1182	767	2925	4053	6134
1297	1025	1462	2964	4312	6748
1217	1025	1181	2960	4164	6383
1189	985	1786	2741	4197	6701
1407	1194	938	3140	4359	6679
1291	1178	631	3754	4808	6854
1296	1128	640	2758	3867	5822
1054	1016	1039	2321	3571	5430
1310	1229	553	3179	4230	6271
1212	1143	956	2850	4037	6161
1342	1163	1281	2955	4335	6741
1333	1133	874	2832	4057	6172
1231	1196	957	3146	4296	6530
1220	1051	708	2667	3744	5646
1429	1179	841	3173	4466	6622
1229	966	566	2344	3406	5105
1350	1191	671	3179	4282	6391
1305	1066	617	3092	4163	6080
1379	1179	1016	3199	4492	6773
1087	989	922	2407	3497	5405
1181	1192	644	2919	3914	5936
1172	983	684	2613	3680	5452
1102	1028	1612	2521	3913	6263
1342	1172	1292	3122	4454	6928
1254	1122	1056	2595	3841	6027
1307	1140	643	2756	3891	5846
1244	1141	1092	2964	4099	6441
1337	1164	558	2987	4081	6046
1127	1012	1116	2527	3784	5782
1189	1014	1242	2879	4084	6324
1340	1174	1019	2747	4045	6280
1114	976	968	2329	3482	5387
987	946	1620	2512	3845	6065
1275	988	726	3124	4199	6113
1119	1110	558	2577	3575	5364
1180	1032	469	2157	3218	4838
1350	1081	759	3306	4496	6496
1228	1113	492	2567	3612	5400
1064	1045	1421	2192	3578	5722
1180	1061	2018	2627	4240	6886
1360	1195	911	3201	4382	6667
1203	1021	434	2471	3423	5129
1230	1059	920	2568	3751	5777
1200	1203	557	3118	4085	6078
1078	949	1615	2597	3996	6239
1181	1144	681	2693	3722	5699
1291	1195	1688	2933	4479	7107
1227	1133	600	2859	3900	5819
1299	1186	439	3137	4087	6061
1168	1039	1407	2349	3822	5963
1165	1016	1043	2489	3685	5713
1124	871	1095	2137	3335	5227
1204	1050	1613	2597	4160	6464
1078	1056	1244	3022	4254	6400
1263	1108	1071	2542	3787	5984
1216	1117	940	3465	4592	6738
1239	974	654	2511	3566	5378
1092	962	329	2438	3264	4821
1228	979	1252	2453	3733	5912
1241	1156	907	2922	4050	6226
1277	1046	961	2992	4135	6276
1214	1067	794	2989	4082	6064
1332	1134	874	2826	4054	6166
1222	1028	571	2486	3509	5307
1312	1089	923	3318	4544	6642
1222	1105	913	2653	3794	5893
1065	915	1386	2514	3806	5880
1202	1234	1068	3226	4345	6730
1088	1056	1243	3022	4260	6409
1237	986	1280	2428	3753	5931
1277	1052	680	2666	3788	5675
1335	1186	418	2965	3974	5904
1247	1130	493	2793	3843	5663
1241	1037	797	2915	4011	5990
1319	1185	637	2956	4062	6097
