CarveMe_mets	KBase_mets	AuReMe_mets	RAVEN_mets	consensus_mets	sums_mets
1126	1141	419	2667	3570	5353
1217	1235	1813	2800	4415	7065
1035	1045	619	2594	3626	5293
1268	1162	1242	3484	4770	7156
1265	1196	539	2898	3944	5898
1031	1043	674	2627	3657	5375
1216	1002	915	2639	3849	5772
1267	1100	447	2951	3953	5765
1223	1262	781	2852	4016	6118
1186	964	795	2572	3719	5517
1174	1184	673	2840	3887	5871
1062	992	1170	2494	3708	5718
1245	1085	593	2717	3836	5640
1202	1083	847	2544	3714	5676
1200	1022	1009	2335	3579	5566
1239	1100	559	2665	3735	5563
1142	1160	143	2771	3647	5216
1267	1249	499	2941	4018	5956
1200	1011	943	2289	3476	5443
1167	1011	601	2612	3625	5391
994	1057	644	2494	3469	5189
1151	1047	626	2697	3774	5521
1181	1023	911	2389	3562	5504
1226	1189	561	2816	3880	5792
1172	1083	966	3101	4254	6322
1070	1051	472	2916	3820	5509
1067	1040	724	2695	3740	5526
1051	1038	1861	2711	4186	6661
1186	1045	1231	2640	3969	6102
984	1013	1197	2079	3336	5273
1285	1074	1214	2723	4137	6296
1263	1076	802	2669	3859	5810
